C-13(n,g) JEFF-3.2
Energy(eV) XS(b)
2.64300E+06 8.72419E-07
2.77950E+06 9.20291E-07
2.91600E+06 1.17678E-06
3.05250E+06 1.63534E-06
3.14175E+06 2.10344E-06
3.23100E+06 2.81453E-06
3.24000E+06 2.90670E-06
3.26750E+06 3.21695E-06
3.29500E+06 3.56938E-06
3.35000E+06 4.37448E-06
3.39500E+06 5.27394E-06
3.41750E+06 6.01682E-06
3.44000E+06 7.37950E-06
3.45125E+06 9.21241E-06
3.45688E+06 1.21855E-05
3.45969E+06 1.61619E-05
3.46109E+06 1.98986E-05
3.46250E+06 2.57905E-05
3.46425E+06 3.63557E-05
3.46600E+06 4.25278E-05
3.46900E+06 2.75346E-05
3.46950E+06 2.50292E-05
3.47077E+06 2.01799E-05
3.47203E+06 1.70263E-05
3.47456E+06 1.36108E-05
3.47963E+06 1.12485E-05
3.48975E+06 1.05165E-05
3.51000E+06 1.07925E-05
3.54500E+06 9.60361E-06
3.58000E+06 7.42955E-06
3.61250E+06 6.11977E-06
3.64500E+06 5.56102E-06
3.67750E+06 5.82704E-06
3.69375E+06 6.57086E-06
3.71000E+06 8.42815E-06
3.71950E+06 1.07976E-05
3.72900E+06 1.56454E-05
3.73375E+06 2.00999E-05
3.73850E+06 2.73236E-05
3.74325E+06 3.96462E-05
3.74800E+06 6.10581E-05
3.75300E+06 9.52384E-05
3.75800E+06 0.000115951
3.76800E+06 5.82982E-05
3.77112E+06 4.37681E-05
3.77424E+06 3.36315E-05
3.78047E+06 2.15672E-05
3.78670E+06 1.52440E-05
3.79294E+06 1.16129E-05
3.80541E+06 7.86517E-06
3.81788E+06 6.07446E-06
3.84281E+06 4.45198E-06
3.86775E+06 3.73328E-06
3.91763E+06 3.08489E-06
3.96750E+06 2.80157E-06
4.04952E+06 2.68366E-06
4.13154E+06 2.95623E-06
4.16500E+06 3.22601E-06
4.18000E+06 3.39165E-06
4.24125E+06 4.66259E-06
4.27188E+06 6.45407E-06
4.28719E+06 8.43009E-06
4.30250E+06 1.20842E-05
4.35000E+06 1.17098E-05
4.36188E+06 8.65746E-06
4.37375E+06 6.73934E-06
4.39750E+06 4.71561E-06
4.43188E+06 3.40528E-06
4.46625E+06 2.71382E-06
4.53500E+06 1.95880E-06
4.59150E+06 1.64240E-06
4.64800E+06 1.55198E-06
4.67625E+06 1.66890E-06
4.70450E+06 2.14840E-06
4.71863E+06 2.82489E-06
4.72569E+06 3.46631E-06
4.73275E+06 4.55199E-06
4.73981E+06 6.58306E-06
4.74688E+06 1.09884E-05
4.75394E+06 2.29564E-05
4.75747E+06 3.72594E-05
4.76100E+06 6.40632E-05
4.76325E+06 8.68443E-05
4.76550E+06 0.000101190
4.76775E+06 9.31286E-05
4.77000E+06 7.10714E-05
4.77225E+06 5.04201E-05
4.77450E+06 3.57822E-05
4.77900E+06 1.97011E-05
4.78295E+06 1.29430E-05
4.78691E+06 9.19157E-06
4.79086E+06 6.92857E-06
4.79481E+06 5.46954E-06
4.80272E+06 3.77466E-06
4.81063E+06 2.86880E-06
4.82644E+06 1.98294E-06
4.84225E+06 1.58008E-06
4.87388E+06 1.24188E-06
4.90550E+06 1.13035E-06
4.93713E+06 1.13015E-06
4.96875E+06 1.25230E-06
5.00038E+06 1.68902E-06
5.01619E+06 2.34784E-06
5.02409E+06 3.03925E-06
5.03200E+06 4.27017E-06
5.03950E+06 6.04571E-06
5.04700E+06 7.12643E-06
5.05450E+06 6.04664E-06
5.06200E+06 4.61832E-06
5.07175E+06 3.73080E-06
5.08150E+06 3.62158E-06
5.09125E+06 4.01580E-06
5.10100E+06 4.91875E-06
5.11075E+06 6.58592E-06
5.12050E+06 9.69572E-06
5.13025E+06 1.59371E-05
5.13513E+06 2.13481E-05
5.14000E+06 2.92120E-05
5.14750E+06 4.59665E-05
5.15500E+06 5.53509E-05
5.17000E+06 2.68340E-05
5.17538E+06 1.90765E-05
5.18075E+06 1.39630E-05
5.18613E+06 1.05721E-05
5.19150E+06 8.26243E-06
5.20225E+06 5.46434E-06
5.21300E+06 3.92435E-06
5.22375E+06 2.99608E-06
5.23450E+06 2.39607E-06
5.25600E+06 1.69505E-06
5.27750E+06 1.31704E-06
5.29900E+06 1.09036E-06
5.34200E+06 8.44796E-07
