Nd-150(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 52.3458
1.25000E-05 46.8195
1.50000E-05 42.7401
2.00000E-05 37.0140
2.75000E-05 31.5657
3.50000E-05 27.9800
4.25000E-05 25.3914
5.00000E-05 23.4097
6.25000E-05 20.9383
7.50000E-05 19.1140
0.000100000 16.5532
0.000125000 14.8056
0.000150000 13.5156
0.000200000 11.7049
0.000275000 9.98193
0.000350000 8.84803
0.000425000 8.02945
0.000500000 7.40279
0.000625000 6.62125
0.000750000 6.04434
0.00100000 5.23455
0.00125000 4.68191
0.00150000 4.27398
0.00200000 3.70136
0.00275000 3.15652
0.00350000 2.79794
0.00425000 2.53908
0.00500000 2.34091
0.00625000 2.09376
0.00750000 1.91132
0.0100000 1.65523
0.0125000 1.48046
0.0150000 1.35145
0.0200000 1.17036
0.0253000 1.04054
0.0314750 0.932871
0.0376500 0.852918
0.0500000 0.740073
0.0625000 0.661895
0.0750000 0.604182
0.100000 0.523164
0.125000 0.467866
0.150000 0.427042
0.200000 0.369726
0.275000 0.315171
0.350000 0.279253
0.500000 0.233445
0.750000 0.190344
1.00000 0.164618
1.50000 0.134047
2.00000 0.115780
2.75000 0.0983533
3.50000 0.0868506
5.00000 0.0721381
7.50000 0.0582489
10.0000 0.0499526
15.0000 0.0401696
20.0000 0.0344959
27.5000 0.0295285
35.0000 0.0270116
50.0000 0.0283279
57.1912 0.0348815
60.7868 0.0422367
64.3824 0.0562081
67.9780 0.0867168
69.7758 0.117377
71.5736 0.173578
72.4725 0.221145
73.3714 0.294110
74.2703 0.414444
75.1692 0.634338
75.6187 0.820056
76.0681 1.10442
76.5176 1.57219
76.9670 2.42364
77.1917 3.13977
77.4165 4.23145
77.6412 6.01633
77.7535 7.36809
77.8097 8.22236
77.8659 9.23489
77.8940 9.81323
77.9221 10.4476
77.9502 11.1456
77.9783 11.9163
78.0064 12.7699
78.0345 13.7188
78.0625 14.7779
78.0906 15.9646
78.1187 17.3006
78.1468 18.8117
78.2030 22.4955
78.2592 27.3787
78.3154 34.0436
78.3715 43.4757
78.4277 57.4381
78.4839 79.3641
78.5120 95.3418
78.5401 116.648
78.5682 145.924
78.5963 187.652
78.6244 249.920
78.6524 348.452
78.6805 516.850
78.6946 648.999
78.7086 835.927
78.7227 1110.31
78.7367 1528.14
78.7508 2187.43
78.7648 3233.63
78.7824 5173.17
78.8000 6465.43
78.8176 5171.53
78.8352 3231.81
78.8559 1836.42
78.8765 1128.12
78.8972 748.989
78.9179 528.906
78.9386 391.673
78.9592 300.976
79.0006 192.986
79.0419 133.879
79.0832 98.1779
79.1659 59.1606
79.2486 39.4666
79.3313 28.1774
79.4139 21.1141
79.4966 16.4061
79.6620 10.7178
79.8273 7.54466
79.9927 5.59661
80.1580 4.31577
80.4887 2.79000
80.8194 1.95078
81.1501 1.44060
81.4808 1.10758
82.1422 0.713859
82.8036 0.498970
83.4650 0.369055
84.1264 0.284612
85.4492 0.185227
86.7720 0.131242
88.0948 0.0987158
89.4176 0.0776263
92.0632 0.0528591
94.7088 0.0394223
100.000 0.0260540
106.250 0.0190670
112.500 0.0155493
125.000 0.0122403
150.000 0.0101467
175.000 0.0100063
200.000 0.0111204
216.471 0.0127826
232.941 0.0157766
249.412 0.0215418
257.647 0.0268194
261.764 0.0317315
263.823 0.0399051
264.338 0.0467885
264.853 0.0652367
265.110 0.0901520
265.239 0.114689
265.367 0.158911
265.496 0.251661
265.560 0.342087
265.625 0.502422
265.657 0.634126
265.689 0.830028
265.721 1.13961
265.753 1.66861
265.786 2.69205
265.802 3.60242
265.818 5.05302
265.834 7.59731
265.850 12.5795
265.858 17.0462
265.866 24.0049
265.874 35.4490
265.882 54.5624
265.891 87.4745
265.900 109.096
265.909 87.0917
265.918 54.5661
265.924 39.7870
265.930 29.7166
265.941 17.7509
265.953 11.5816
265.964 8.08852
265.976 5.94733
265.987 4.54940
266.010 2.90962
266.033 2.01769
266.056 1.48319
266.102 0.904002
266.148 0.612800
266.194 0.446862
266.240 0.343275
266.286 0.274331
266.378 0.191117
266.469 0.144819
266.653 0.0978844
266.837 0.0758222
267.021 0.0637961
267.388 0.0519352
