V-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
15195.3 0.155685
15215.0 0.178964
15257.5 0.256036
15300.0 0.307096
15342.5 0.244451
15385.0 0.155147
15418.5 0.107546
15452.0 0.0772165
15485.5 0.0576916
15518.9 0.0446857
15585.9 0.0292224
15652.9 0.0208204
15719.9 0.0157744
15786.8 0.0125141
15920.8 0.00871169
16054.7 0.00669209
16188.6 0.00553688
16456.5 0.00453555
16724.4 0.00466309
16858.3 0.00522716
16992.3 0.00640661
17126.2 0.00887988
17193.2 0.0111453
17260.1 0.0148331
17293.6 0.0175941
17310.4 0.0193211
17327.1 0.0213493
17343.9 0.0237521
17360.6 0.0266203
17377.3 0.0300791
17394.1 0.0342939
17410.8 0.0394920
17427.6 0.0459741
17444.3 0.0541665
17461.0 0.0646577
17477.8 0.0782619
17494.5 0.0960808
17511.3 0.119511
17528.0 0.150031
17546.0 0.191517
17564.0 0.238912
17600.0 0.297687
17618.0 0.279792
17636.0 0.237656
17672.0 0.148822
17708.4 0.0917321
17744.8 0.0600419
17781.1 0.0418844
17817.5 0.0308417
17890.3 0.0189114
17963.0 0.0130509
18035.8 0.00978646
18108.5 0.00780358
18254.0 0.00566285
18399.5 0.00465133
18545.0 0.00416412
18836.0 0.00398775
19127.0 0.00454004
19418.0 0.00600338
19563.5 0.00733761
19709.0 0.00941848
19854.5 0.0128346
20000.0 0.0188512
20127.0 0.0283921
20254.0 0.0456817
20377.0 0.0718263
20500.0 0.0887629
20623.0 0.0710166
20746.0 0.0451969
20842.7 0.0316093
20939.4 0.0231125
21036.1 0.0178161
21132.8 0.0144653
21326.1 0.0110174
21519.5 0.0100197
21712.9 0.0107549
21809.6 0.0118331
21906.3 0.0135461
22002.9 0.0161346
22099.6 0.0199886
22196.3 0.0257004
22293.0 0.0340186
22369.8 0.0427721
22446.5 0.0527429
22600.0 0.0647528
22676.8 0.0606742
22753.5 0.0515400
22907.0 0.0325172
23081.2 0.0192596
23255.4 0.0123857
23429.6 0.00864754
23603.8 0.00646278
23952.1 0.00423762
24300.5 0.00332910
24648.9 0.00317113
24823.1 0.00340386
24997.3 0.00399509
25171.4 0.00531070
25258.5 0.00652880
25345.6 0.00850133
25432.7 0.0119314
25519.8 0.0185295
25563.4 0.0242685
25606.9 0.0331017
25650.5 0.0472076
25694.0 0.0699222
25747.0 0.111026
25800.0 0.138151
25853.0 0.110414
25906.0 0.0693048
25952.0 0.0457002
25998.0 0.0314498
26044.0 0.0227218
26090.0 0.0171441
26182.0 0.0108236
26274.0 0.00757190
26366.0 0.00570249
26458.0 0.00453845
26642.0 0.00324194
26826.0 0.00259832
27010.0 0.00226459
27378.0 0.00208663
27746.0 0.00242123
27930.0 0.00286922
28114.0 0.00368161
28298.0 0.00523684
28390.0 0.00657027
28482.0 0.00861247
28574.0 0.0119288
28620.0 0.0143987
28666.0 0.0177291
28712.0 0.0223217
28758.0 0.0287913
28804.0 0.0380395
28850.0 0.0511818
28887.5 0.0652342
28925.0 0.0812365
29000.0 0.100962
29037.5 0.0949035
29075.0 0.0806863
29150.0 0.0506405
29203.1 0.0359260
29256.3 0.0261581
29309.4 0.0196693
29362.5 0.0152547
29468.8 0.00992406
29575.0 0.00700889
29681.3 0.00526490
29787.5 0.00414746
30000.0 0.00286204
30230.8 0.00214870
30461.5 0.00175923
30923.0 0.00141727
31384.5 0.00136586
31846.0 0.00151982
32307.5 0.00194375
32769.0 0.00292521
32999.8 0.00388185
33230.5 0.00551506
33345.9 0.00677554
33461.3 0.00851011
33576.6 0.0109227
33692.0 0.0142516
33794.0 0.0180594
33896.0 0.0223873
34100.0 0.0276645
34202.0 0.0259928
34304.0 0.0221525
34508.0 0.0141370
34645.7 0.0104138
34783.4 0.00793107
35058.8 0.00521644
35334.1 0.00406897
35609.5 0.00376509
35884.9 0.00416848
36160.3 0.00562996
36297.9 0.00712396
36435.6 0.00961971
36573.3 0.0139383
36642.2 0.0172093
36711.0 0.0215080
36855.5 0.0337569
37000.0 0.0417556
37144.5 0.0333459
37289.0 0.0210290
37458.4 0.0122280
37627.9 0.00776563
37797.3 0.00538167
37966.8 0.00400671
38305.6 0.00262273
38644.5 0.00205065
