Ag-109(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4499.64
1.25000E-05 4024.87
1.50000E-05 3674.41
2.00000E-05 3182.48
2.75000E-05 2714.40
3.50000E-05 2406.35
4.25000E-05 2183.97
5.00000E-05 2013.72
6.25000E-05 1801.40
7.50000E-05 1644.67
0.000100000 1424.68
0.000125000 1274.55
0.000150000 1163.73
0.000200000 1008.18
0.000275000 860.169
0.000350000 762.765
0.000425000 692.449
0.000500000 638.621
0.000625000 571.491
0.000750000 521.941
0.00100000 452.392
0.00125000 404.934
0.00150000 369.905
0.00200000 320.742
0.00275000 273.973
0.00350000 243.202
0.00425000 220.994
0.00500000 203.997
0.00625000 182.807
0.00750000 167.173
0.0100000 145.241
0.0125000 130.288
0.0150000 119.260
0.0200000 103.800
0.0253000 92.7393
0.0314750 83.5850
0.0376500 76.8031
0.0500000 67.2641
0.0625000 60.6877
0.0750000 55.8571
0.100000 49.1261
0.125000 44.5811
0.150000 41.2631
0.200000 36.6845
0.275000 32.4648
0.350000 29.8109
0.500000 26.6894
0.750000 24.3152
1.00000 23.5061
1.50000 24.2310
2.00000 27.3612
2.75000 38.4830
3.12500 49.7636
3.50000 69.6770
3.68750 85.7506
3.87500 109.211
4.06250 145.314
4.25000 204.993
4.34375 250.622
4.43750 314.142
4.53125 406.238
4.62500 546.901
4.71875 777.046
4.81250 1191.12
4.85938 1534.04
4.90625 2046.93
4.95313 2859.26
5.00000 4243.24
5.02965 5670.53
5.05930 7872.89
5.08895 11402.3
5.11860 17115.6
5.15430 27376.5
5.19000 34197.6
5.22570 27332.3
5.26140 17073.0
5.29842 10326.9
5.33544 6629.99
5.37246 4534.27
5.40948 3268.61
5.44650 2457.08
5.48352 1909.74
5.55756 1244.59
5.63160 873.433
5.70564 646.327
5.85373 395.120
6.00181 266.936
6.14989 192.935
6.29797 146.416
6.44605 115.293
6.74221 77.5454
7.03838 56.3984
7.33454 43.3695
7.63070 34.7745
8.22303 24.4860
8.81535 18.7840
9.40768 15.2869
10.0000 12.9809
11.2500 10.0984
12.5000 8.51995
13.7500 7.54837
15.0000 6.89859
17.5000 6.09095
20.0000 5.61075
22.6328 5.29170
23.9492 5.19577
25.2657 5.17023
26.5821 5.31309
27.2403 5.54737
27.8985 6.06399
28.2276 6.54343
28.5567 7.31648
28.8858 8.64213
29.2149 11.1307
29.3795 13.2537
29.5440 16.5034
29.7086 21.8013
29.8731 31.2237
30.0377 50.2626
30.1199 67.9290
30.2022 97.4856
30.2433 120.272
30.2845 152.140
30.3256 198.462
30.3668 269.059
30.4079 383.302
30.4285 468.149
30.4490 582.279
30.4696 739.186
30.4902 959.397
30.5107 1272.83
30.5313 1716.27
30.5657 2762.55
30.6000 3475.82
30.6344 2799.62
30.6687 1762.72
30.6992 1151.45
30.7296 784.556
30.7601 560.965
30.7906 418.573
30.8515 257.487
30.9124 174.560
30.9734 126.704
31.0343 96.6921
31.1562 62.6278
