Gd-160(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 80.2721
1.25000E-05 72.7843
1.50000E-05 67.2571
2.00000E-05 59.4985
2.75000E-05 52.1163
3.50000E-05 47.2579
4.25000E-05 43.7505
5.00000E-05 41.0654
6.25000E-05 37.7168
7.50000E-05 35.2449
0.000100000 31.7752
0.000125000 29.4073
0.000150000 27.6595
0.000200000 25.2060
0.000275000 22.8715
0.000350000 21.3352
0.000425000 20.2260
0.000500000 19.3769
0.000625000 18.3180
0.000750000 17.5363
0.00100000 16.4391
0.00125000 15.6903
0.00150000 15.1376
0.00200000 14.3617
0.00275000 13.6234
0.00350000 13.1376
0.00425000 12.7868
0.00500000 12.5183
0.00625000 12.1834
0.00750000 11.9362
0.0100000 11.5891
0.0125000 11.3523
0.0150000 11.1774
0.0200000 10.9320
0.0253000 10.7560
0.0314750 10.6100
0.0376500 10.5016
0.0500000 10.3484
0.0625000 10.2423
0.0750000 10.1638
0.100000 10.0536
0.125000 9.97822
0.150000 9.92244
0.200000 9.84385
0.275000 9.76854
0.350000 9.71848
0.500000 9.65362
0.750000 9.59056
1.00000 9.55105
1.50000 9.50034
2.00000 9.46631
2.75000 9.42882
3.50000 9.39941
5.00000 9.35199
7.50000 9.28784
10.0000 9.23186
15.0000 9.13089
20.0000 9.03770
27.5000 8.90655
35.0000 8.78273
50.0000 8.55144
75.0000 8.20191
100.000 7.88410
125.000 7.58526
150.000 7.28925
162.500 7.13321
175.000 6.96096
187.500 6.75145
193.750 6.61694
200.000 6.44136
202.739 6.34223
205.479 6.22126
208.218 6.06769
210.958 5.86301
212.327 5.73203
213.697 5.57446
215.067 5.38365
216.436 5.15760
217.121 5.03801
217.806 4.93079
218.491 4.87781
219.176 5.00328
219.518 5.23833
219.861 5.73331
220.203 6.76138
220.545 8.99623
220.717 11.0704
220.802 12.5335
220.845 13.4127
220.888 14.4124
220.931 15.5535
220.973 16.8615
221.016 18.3678
221.038 19.2071
221.059 20.1112
221.102 22.1400
221.145 24.5153
221.187 27.3148
221.230 30.6389
221.273 34.6180
221.316 39.4252
221.359 45.2926
221.401 52.5374
221.444 61.6014
221.487 73.1134
221.530 87.9908
221.573 107.610
221.615 134.102
221.658 170.898
221.701 223.759
221.744 302.849
221.787 427.131
221.829 634.013
221.872 999.851
221.915 1667.86
221.958 2731.39
222.000 3496.27
222.043 2865.38
222.085 1835.27
222.134 1085.94
222.183 692.335
222.231 475.865
222.280 347.591
222.329 265.853
222.378 210.896
222.475 144.034
222.573 106.327
222.670 82.9528
222.865 56.4646
223.061 42.4429
223.256 34.0365
223.451 28.5496
223.646 24.7409
224.036 19.8809
224.426 16.9657
224.816 15.0508
225.207 13.7096
225.987 11.9717
226.767 10.9058
227.548 10.1901
228.328 9.67840
229.889 8.99692
231.449 8.56389
233.010 8.26364
234.571 8.04230
237.692 7.73504
240.814 7.52852
243.935 7.37717
247.056 7.25926
253.299 7.08193
259.542 6.94895
272.028 6.74748
284.513 6.58756
296.999 6.44716
321.970 6.19026
346.942 5.93700
371.913 5.66149
396.884 5.32578
409.370 5.11112
415.613 4.98579
417.174 4.95441
418.734 4.92893
419.515 4.92565
419.905 4.93163
420.295 4.95026
420.685 5.00036
420.880 5.05422
421.075 5.15445
421.173 5.23892
421.270 5.36650
421.368 5.57160
421.466 5.92949
421.563 6.63773
421.612 7.28292
421.661 8.34229
