42-Mo_n-tot
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
1.785210e+01 5.51132629e+00
1.792140e+01 5.51009484e+00
1.804000e+01 5.50799005e+00
1.806000e+01 5.50764786e+00
1.833710e+01 5.50291337e+00
1.889140e+01 5.49348196e+00
2.000000e+01 5.47475695e+00
2.154430e+01 5.44973631e+00
2.154440e+01 5.44973433e+00
2.154450e+01 5.44973394e+00
2.154460e+01 5.44973196e+00
2.154490e+01 5.44972603e+00
2.154540e+01 5.44971773e+00
2.154650e+01 5.44970073e+00
2.154880e+01 5.44966475e+00
2.155320e+01 5.44959201e+00
2.156210e+01 5.44944929e+00
2.157990e+01 5.44916385e+00
2.161550e+01 5.44859138e+00
2.168670e+01 5.44744804e+00
2.182910e+01 5.44516453e+00
2.187500e+01 5.44443072e+00
2.211400e+01 5.44064335e+00
2.268360e+01 5.43166693e+00
2.375000e+01 5.41510969e+00
2.382300e+01 5.41398288e+00
2.610160e+01 5.38051112e+00
2.610170e+01 5.38050916e+00
2.610180e+01 5.38050721e+00
2.610200e+01 5.38050488e+00
2.610230e+01 5.38050060e+00
2.610300e+01 5.38049168e+00
2.610430e+01 5.38047261e+00
2.610700e+01 5.38043568e+00
2.611240e+01 5.38036025e+00
2.612320e+01 5.38020938e+00
2.614480e+01 5.37990923e+00
2.618790e+01 5.37931088e+00
2.627420e+01 5.37811698e+00
2.644670e+01 5.37575173e+00
2.679180e+01 5.37110798e+00
2.748190e+01 5.36223427e+00
2.750000e+01 5.36203117e+00
2.886220e+01 5.34681487e+00
3.162280e+01 5.33341774e+00
3.162290e+01 5.33341896e+00
3.162300e+01 5.33341860e+00
3.162320e+01 5.33341945e+00
3.162360e+01 5.33341957e+00
3.162450e+01 5.33342104e+00
3.162610e+01 5.33342470e+00
3.162940e+01 5.33343324e+00
3.163590e+01 5.33344752e+00
3.164890e+01 5.33347767e+00
3.167510e+01 5.33354199e+00
3.172730e+01 5.33368560e+00
3.183190e+01 5.33403230e+00
3.204090e+01 5.33498620e+00
3.245900e+01 5.33803728e+00
3.329510e+01 5.34978361e+00
3.496740e+01 5.40871155e+00
3.500000e+01 5.41169076e+00
3.663960e+01 5.56105269e+00
3.831190e+01 5.94604190e+00
3.831200e+01 5.94607239e+00
3.831210e+01 5.94611397e+00
3.831230e+01 5.94618129e+00
3.831270e+01 5.94631911e+00
3.831340e+01 5.94658880e+00
3.831490e+01 5.94713253e+00
3.831790e+01 5.94821842e+00
3.832400e+01 5.95039772e+00
3.833600e+01 5.95478087e+00
3.836010e+01 5.96364182e+00
3.840840e+01 5.98175931e+00
3.850480e+01 6.01962661e+00
3.869770e+01 6.10245872e+00
3.908360e+01 6.30167800e+00
3.985520e+01 6.89317527e+00
4.062680e+01 7.93845686e+00
4.101270e+01 8.77102270e+00
4.139850e+01 9.95876926e+00
4.178430e+01 1.17170884e+01
4.217010e+01 1.44466214e+01
4.250000e+01 1.83056264e+01
4.255590e+01 1.89595114e+01
4.294170e+01 2.71013462e+01
4.313460e+01 3.38192623e+01
