Mg-24(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2.52948
1.25000E-05 2.26243
1.50000E-05 2.06531
2.00000E-05 1.78861
2.75000E-05 1.52533
3.50000E-05 1.35206
4.25000E-05 1.22698
5.00000E-05 1.13122
6.25000E-05 1.01179
7.50000E-05 0.923634
0.000100000 0.799890
0.000125000 0.715444
0.000150000 0.653108
0.000200000 0.565608
0.000275000 0.482352
0.000350000 0.427559
0.000425000 0.388004
0.000500000 0.357722
0.000625000 0.319956
0.000750000 0.292079
0.00100000 0.252948
0.00125000 0.226243
0.00150000 0.206531
0.00200000 0.178861
0.00275000 0.152533
0.00350000 0.135206
0.00425000 0.122698
0.00500000 0.113122
0.00625000 0.101179
0.00750000 0.0923634
0.0100000 0.0799891
0.0125000 0.0715444
0.0150000 0.0653108
0.0200000 0.0565608
0.0253000 0.0502887
0.0314750 0.0450866
0.0376500 0.0412238
0.0500000 0.0357722
0.0625000 0.0319957
0.0750000 0.0292079
0.100000 0.0252948
0.125000 0.0226244
0.150000 0.0206531
0.200000 0.0178862
0.275000 0.0152534
0.350000 0.0135207
0.500000 0.0113123
0.750000 0.00923647
1.00000 0.00799905
1.50000 0.00653126
2.00000 0.00565629
2.75000 0.00482376
3.50000 0.00427587
5.00000 0.00357755
7.50000 0.00292119
10.0000 0.00252994
15.0000 0.00206588
20.0000 0.00178927
27.5000 0.00152610
35.0000 0.00135293
50.0000 0.00113225
75.0000 0.000924907
100.000 0.000801363
150.000 0.000654916
200.000 0.000567703
275.000 0.000484819
350.000 0.000430355
500.000 0.000361092
750.000 0.000296266
1000.00 0.000257853
1500.00 0.000212710
2000.00 0.000186196
2750.00 0.000161491
3500.00 0.000145721
5000.00 0.000126691
7500.00 0.000111133
10000.0 0.000104318
15000.0 0.000102402
20000.0 0.000109420
26587.3 0.000129331
33174.6 0.000163190
38587.3 0.000206054
44000.0 0.000273515
45174.6 0.000304006
45761.8 0.000364927
46055.5 0.000575902
46202.3 0.00139920
46275.7 0.00464196
46312.4 0.0172472
46330.7 0.0648389
46335.3 0.111377
46339.9 0.234598
46342.2 0.391498
46344.5 0.775488
46345.7 1.22130
46346.8 2.17006
46347.4 3.12289
46348.0 4.77699
46348.5 7.96673
46348.8 10.7218
46349.1 14.5404
46349.6 23.4115
46350.0 29.1725
46350.5 23.2056
46350.9 14.5407
46351.4 8.98312
46351.8 5.85710
46352.3 4.04843
46352.7 2.95952
46353.6 1.75135
46354.5 1.14944
46356.3 0.600417
46358.0 0.367103
46361.6 0.177388
46365.2 0.104301
46372.3 0.0485356
46379.4 0.0280426
46407.9 0.00747286
46465.0 0.00213229
46579.0 0.000772162
46807.1 0.000431673
47263.2 0.000353175
48175.5 0.000349159
50000.0 0.000384216
57249.5 0.000639604
60874.3 0.000871556
64499.0 0.00124784
68123.8 0.00191170
71748.5 0.00322898
73560.9 0.00441672
75373.3 0.00631945
77185.6 0.00954160
78998.0 0.0152158
81249.0 0.0273292
82374.5 0.0334677
83500.0 0.0353594
88002.0 0.0140545
89501.8 0.00978207
91001.5 0.00707617
92501.3 0.00531368
94001.0 0.00412176
97000.5 0.00268003
100000 0.00188368
104794 0.00119863
109587 0.000838397
114381 0.000626442
119175 0.000491626
128762 0.000337375
138349 0.000257754
157524 0.000190421
167111 0.000180421
171905 0.000179979
174302 0.000182894
175500 0.000193489
176099 0.000234464
176399 0.000396645
176549 0.00103686
176623 0.00353149
176661 0.0130294
176680 0.0471757
176689 0.159407
176694 0.465509
176696 1.05795
176697 1.88411
176698 3.76206
176699 6.06051
176700 7.54772
176701 6.06046
176702 3.76206
176703 2.10134
176704 1.26456
176706 0.599247
176709 0.216573
176717 0.0661419
176733 0.0185485
176764 0.00501566
176826 0.00142345
176950 0.000495973
177199 0.000260333
177695 0.000201138
178689 0.000186847
180676 0.000184754
184651 0.000188410
192601 0.000202656
208500 0.000256516
220000 0.000321802
220000 0.000321804
220001 0.000321807
220001 0.000321811
220002 0.000321817
220004 0.000321831
220008 0.000321857
220011 0.000321878
220022 0.000321952
220032 0.000322020
220033 0.000322027
220036 0.000322046
220039 0.000322064
220044 0.000322101
220048 0.000322129
220055 0.000322176
