Mo-92(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 10.0236
1.25000E-05 9.59951
1.50000E-05 9.28646
2.00000E-05 8.84705
2.75000E-05 8.42894
3.50000E-05 8.15378
4.25000E-05 7.95514
5.00000E-05 7.80306
6.25000E-05 7.61341
7.50000E-05 7.47341
0.000100000 7.27690
0.000125000 7.14279
0.000150000 7.04380
0.000200000 6.90484
0.000275000 6.77263
0.000350000 6.68561
0.000425000 6.62280
0.000500000 6.57471
0.000625000 6.51473
0.000750000 6.47046
0.00100000 6.40832
0.00125000 6.36591
0.00150000 6.33460
0.00200000 6.29066
0.00275000 6.24885
0.00350000 6.22134
0.00425000 6.20147
0.00500000 6.18626
0.00625000 6.16730
0.00750000 6.15330
0.0100000 6.13364
0.0125000 6.12023
0.0150000 6.11033
0.0200000 6.09643
0.0253000 6.08647
0.0314750 6.07821
0.0376500 6.07207
0.0500000 6.06340
0.0625000 6.05740
0.0750000 6.05297
0.100000 6.04674
0.125000 6.04249
0.150000 6.03934
0.200000 6.03493
0.275000 6.03071
0.350000 6.02792
0.500000 6.02434
0.750000 6.02092
1.00000 6.01883
1.50000 6.01626
2.00000 6.01463
2.75000 6.01295
3.50000 6.01172
5.00000 6.00990
7.50000 6.00766
10.0000 6.00586
15.0000 6.00276
20.0000 5.99998
27.5000 5.99608
35.0000 5.99234
50.0000 5.98516
75.0000 5.97365
100.000 5.96251
150.000 5.94083
200.000 5.91918
236.730 5.90230
273.459 5.88226
291.824 5.86885
301.007 5.86010
310.189 5.84864
314.780 5.84121
319.371 5.83194
323.963 5.81978
328.554 5.80281
330.849 5.79138
333.145 5.77686
335.441 5.75774
337.736 5.73140
338.884 5.71418
340.032 5.69319
341.180 5.66746
342.327 5.63661
342.901 5.62012
343.475 5.60514
344.049 5.59731
344.623 5.61340
344.910 5.64465
345.197 5.71089
345.484 5.84889
345.771 6.14859
345.914 6.42620
346.058 6.87216
346.201 7.62899
346.345 9.01532
346.488 11.8643
346.560 14.5066
346.632 18.8636
346.704 26.6892
346.775 42.3928
346.811 56.6271
346.847 79.2794
346.865 95.7902
346.883 117.195
346.901 145.164
346.919 181.398
346.939 233.934
346.959 294.821
347.000 377.233
347.020 360.154
347.041 310.970
347.082 201.715
347.119 134.065
347.156 93.6910
347.194 69.0692
347.231 53.4209
347.306 35.6229
347.380 26.3839
347.455 20.9803
347.530 17.5479
347.679 13.5795
347.828 11.4377
347.978 10.1402
348.127 9.28729
348.276 8.69249
348.575 7.93029
348.874 7.47180
349.172 7.17034
349.471 6.95923
350.068 6.68594
350.666 6.51880
351.263 6.40696
351.860 6.32732
353.055 6.22197
354.250 6.15575
355.444 6.11040
356.639 6.07744
359.028 6.03271
361.418 6.00373
363.807 5.98334
366.196 5.96816
370.975 5.94689
375.754 5.93249
380.533 5.92192
385.311 5.91370
394.869 5.90143
404.426 5.89236
423.541 5.87896
442.656 5.86873
461.770 5.86009
500.000 5.84529
625.000 5.80567
750.000 5.77096
1000.00 5.70641
1217.17 5.65101
1434.33 5.59260
1542.92 5.56112
1651.50 5.52741
1705.79 5.50954
1760.09 5.49094
1787.23 5.48147
1814.38 5.47227
1827.95 5.46831
1841.52 5.46640
1848.31 5.46834
1851.70 5.47159
1855.10 5.47865
1858.49 5.49528
1860.19 5.51254
1861.88 5.54453
1862.73 5.57172
1863.58 5.61335
1864.43 5.68168
1865.28 5.80525
1865.70 5.90866
1866.12 6.06466
1866.55 6.31657
1866.97 6.76245
1867.18 7.12680
1867.40 7.66653
1867.61 8.51462
1867.82 9.95785
1868.03 12.7092
1868.14 15.1245
1868.24 18.9505
1868.35 25.4991
1868.46 37.9356
1868.51 48.6510
1868.56 65.0201
1868.62 90.9133
1868.67 132.201
1868.73 208.498
1868.80 259.466
1868.87 208.501
1868.93 132.206
1869.00 84.4964
1869.06 57.3427
1869.12 41.4882
1869.19 31.7077
1869.25 25.3395
1869.32 20.9949
1869.44 15.6534
1869.57 12.6382
1869.70 10.7788
1869.96 8.70677
1870.21 7.64200
1870.47 7.02444
1870.72 6.63493
1870.98 6.37368
1871.49 6.05603
1872.00 5.87761
1872.52 5.76751
1873.03 5.69479
1874.05 5.60769
1875.08 5.55940
1876.10 5.52980
1877.12 5.51028
1879.17 5.48681
1881.22 5.47357
1885.32 5.45949
1889.41 5.45204
1893.51 5.44721
1901.70 5.44070
1918.08 5.43164
1934.47 5.42392
1967.23 5.40908
2000.00 5.39402
2080.62 5.35439
2161.23 5.30998
2201.54 5.28560
2241.85 5.25967
2262.01 5.24626
2282.16 5.23313
2292.24 5.22749
2302.31 5.22499
2307.35 5.22820
2309.87 5.23333
2312.39 5.24431
2314.91 5.27002
2316.17 5.29656
2317.43 5.34556
2318.06 5.38706
2318.69 5.45043
2319.32 5.55401
2319.95 5.73976
2320.26 5.89391
2320.58 6.12539
2320.89 6.49580
2321.21 7.14275
2321.52 8.42701
2321.68 9.60889
2321.84 11.5570
2322.00 15.1521
2322.08 18.1858
2322.15 22.7255
2322.23 30.1204
2322.31 42.7384
2322.39 66.7443
2322.47 113.689
2322.53 178.407
2322.60 221.401
2322.67 177.380
2322.73 112.896
2322.78 82.2882
2322.82 61.6155
2322.87 47.6707
2322.91 38.0601
2323.00 26.2953
2323.09 19.7687
2323.18 15.8224
2323.27 13.2708
2323.45 10.2963
2323.63 8.70149
2323.81 7.75086
2323.99 7.13974
2324.17 6.72407
2324.53 6.21136
2324.89 5.91927
2325.25 5.73726
2325.61 5.61621
2326.33 5.47018
2327.05 5.38869
2328.49 5.30541
2329.93 5.26546
2331.37 5.24296
2334.25 5.21920
2337.13 5.20683
2340.01 5.19899
2345.77 5.18876
2357.29 5.17515
2368.80 5.16386
2391.84 5.14230
2414.87 5.12029
2460.94 5.07302
2507.01 5.02012
2599.15 4.89165
2691.29 4.71898
2783.43 4.47251
2829.50 4.30438
2875.57 4.08941
2921.64 3.80467
2967.71 3.41005
2990.74 3.15021
3013.77 2.83048
3025.29 2.64249
3036.81 2.43391
3042.57 2.32407
3048.33 2.22014
3051.21 2.18351
3052.65 2.17862
3054.09 2.19649
3055.53 2.27157
3056.25 2.36170
3056.96 2.53643
3057.32 2.68675
3057.68 2.91643
3058.04 3.28844
3058.40 3.94297
3058.76 5.24590
3058.94 6.43909
3059.12 8.41299
3059.30 12.0118
3059.39 15.0247
3059.48 19.5681
3059.57 26.8189
3059.66 39.2178
3059.75 62.1154
3059.84 105.776
3059.92 168.202
