16-S_n-g
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
2.403330e+04 5.82180609e-04
2.405870e+04 4.94275902e-04
2.408420e+04 4.44440201e-04
2.410960e+04 4.13662706e-04
2.416050e+04 3.79365892e-04
2.421130e+04 3.61804302e-04
2.426220e+04 3.51703333e-04
2.431310e+04 3.45411019e-04
2.436390e+04 3.41265196e-04
2.446570e+04 3.36403566e-04
2.456740e+04 3.33874992e-04
2.466910e+04 3.32491693e-04
2.477090e+04 3.31735802e-04
2.497430e+04 3.31200759e-04
2.517390e+04 3.31314345e-04
2.517780e+04 3.31410898e-04
2.538120e+04 3.36758837e-04
2.558470e+04 3.42278390e-04
2.599160e+04 3.53574437e-04
2.639850e+04 3.65041398e-04
2.646730e+04 3.66997712e-04
2.721240e+04 4.29083305e-04
2.750000e+04 4.53086659e-04
2.776080e+04 4.74859475e-04
2.802620e+04 5.36667971e-04
2.840750e+04 6.25488795e-04
2.873090e+04 7.75751925e-04
2.884010e+04 8.68193167e-04
2.905420e+04 1.04944262e-03
2.937760e+04 1.63004894e-03
2.953930e+04 2.20192587e-03
2.970100e+04 3.22948690e-03
2.978180e+04 4.08201664e-03
2.986270e+04 5.36337411e-03
2.994350e+04 7.41714402e-03
3.002430e+04 1.10130123e-02
3.010520e+04 1.81795793e-02
3.014560e+04 2.47766269e-02
3.018600e+04 3.57713914e-02
3.022640e+04 5.60673670e-02
3.024670e+04 7.32886850e-02
3.026690e+04 9.96220701e-02
3.028710e+04 1.42480143e-01
3.030730e+04 2.17914495e-01
3.032750e+04 3.63485077e-01
3.033760e+04 4.86791577e-01
3.034770e+04 6.63838345e-01
3.036390e+04 1.06552473e+00
3.038000e+04 1.33355632e+00
3.039620e+04 1.06344424e+00
3.041230e+04 6.62473198e-01
3.042470e+04 4.53907495e-01
3.043710e+04 3.20684945e-01
3.044950e+04 2.34950746e-01
3.046190e+04 1.78115394e-01
3.046780e+04 1.62196374e-01
3.048670e+04 1.11201545e-01
3.051150e+04 7.54978821e-02
3.053620e+04 5.44412418e-02
3.056100e+04 4.10694912e-02
3.061060e+04 2.57396097e-02
3.066020e+04 1.76501152e-02
3.070970e+04 1.28773382e-02
3.075930e+04 9.83079710e-03
3.080890e+04 7.76943883e-03
3.090800e+04 5.24030090e-03
3.100720e+04 3.80714371e-03
3.110630e+04 2.91747865e-03
3.120540e+04 2.32760351e-03
3.140370e+04 1.61863276e-03
3.160200e+04 1.22502235e-03
3.199860e+04 8.26021737e-04
3.239510e+04 6.38161314e-04
3.279170e+04 5.35200991e-04
3.358480e+04 4.32582804e-04
3.372310e+04 4.26369389e-04
3.500000e+04 3.69016484e-04
3.517100e+04 3.61338607e-04
3.675730e+04 3.40100522e-04
3.697850e+04 3.39817754e-04
3.992980e+04 3.36073166e-04
4.023390e+04 3.37911750e-04
4.151600e+04 3.45678484e-04
4.186160e+04 3.55975056e-04
4.230910e+04 3.69314385e-04
4.250000e+04 4.09460933e-04
4.270570e+04 4.52721531e-04
4.290400e+04 7.79591065e-04
4.300310e+04 2.07504795e-03
4.305270e+04 7.17118355e-03
4.307750e+04 2.68766645e-02
4.308370e+04 4.66178458e-02
4.308990e+04 1.00383763e-01
4.309300e+04 1.71414889e-01
4.309610e+04 3.56654414e-01
4.309760e+04 5.87275200e-01
4.309920e+04 1.13828465e+00
4.310000e+04 1.75884038e+00
4.310070e+04 3.01685226e+00
4.310110e+04 4.21024548e+00
4.310150e+04 6.13982782e+00
4.310190e+04 9.65156984e+00
4.310230e+04 1.60393362e+01
4.310260e+04 2.56123408e+01
4.310300e+04 3.21193316e+01
4.310340e+04 2.56126258e+01
4.310370e+04 1.60398112e+01
4.310400e+04 1.18514733e+01
4.310420e+04 8.96250997e+00
4.310460e+04 5.41645413e+00
4.310510e+04 3.55798841e+00
4.310550e+04 2.49454501e+00
4.310640e+04 1.40720923e+00
4.310730e+04 8.97820966e-01
4.310910e+04 4.54525749e-01
4.311090e+04 2.73311353e-01
4.311450e+04 1.30063507e-01
4.311810e+04 7.58156581e-02
4.313250e+04 2.02026663e-02
4.316130e+04 5.44516926e-03
4.321890e+04 1.64073544e-03
4.333410e+04 6.74785739e-04
4.348930e+04 5.11228056e-04
4.356440e+04 4.32086070e-04
4.402510e+04 3.73625598e-04
4.494650e+04 3.66195380e-04
4.511690e+04 3.69351552e-04
4.586780e+04 3.83311040e-04
4.632850e+04 4.41571776e-04
4.655880e+04 6.65387463e-04
4.667400e+04 1.55020649e-03
4.673160e+04 5.03345595e-03
4.674460e+04 1.11192740e-02
4.676040e+04 1.85158855e-02
4.677480e+04 6.90232281e-02
4.677840e+04 1.17970391e-01
4.678200e+04 2.46127568e-01
4.678380e+04 4.06490524e-01
4.678560e+04 7.92472543e-01
4.678650e+04 1.22723300e+00
4.678740e+04 2.13075425e+00
4.678780e+04 2.98823874e+00
4.678830e+04 4.43703811e+00
4.678870e+04 7.06646277e+00
4.678920e+04 1.19218682e+01
4.678960e+04 1.90693456e+01
4.679000e+04 2.38710003e+01
4.679040e+04 1.90694406e+01
4.679080e+04 1.19221532e+01
4.679120e+04 7.47623361e+00
4.679160e+04 4.93794197e+00
4.679240e+04 2.51725972e+00
4.679320e+04 1.48755064e+00
4.679400e+04 9.79939808e-01
4.679550e+04 5.12239220e-01
4.679710e+04 3.14174763e-01
4.680020e+04 1.52022017e-01
4.680340e+04 8.94903073e-02
4.681590e+04 2.41413893e-02
4.684100e+04 6.51607171e-03
4.689110e+04 1.93565449e-03
4.699140e+04 7.67815791e-04
4.719200e+04 4.73783107e-04
4.755850e+04 4.08516079e-04
4.759310e+04 4.02360469e-04
4.837230e+04 3.90688262e-04
4.839540e+04 3.90351171e-04
4.918620e+04 3.95780794e-04
4.959310e+04 3.98832019e-04
5.000000e+04 4.02249664e-04
5.046790e+04 4.09802653e-04
5.070190e+04 4.14463117e-04
5.093590e+04 4.20447786e-04
5.116980e+04 4.29359100e-04
5.128680e+04 4.36170652e-04
5.140380e+04 4.46237829e-04
5.146230e+04 4.53363714e-04
5.152080e+04 4.62752200e-04
5.157930e+04 4.75570855e-04
5.163770e+04 4.93806209e-04
5.169620e+04 5.21001701e-04
5.175470e+04 5.63740248e-04
5.178400e+04 5.94484167e-04
5.181320e+04 6.34395836e-04
5.184250e+04 6.86449386e-04
5.187170e+04 7.53674286e-04
5.193590e+04 9.52269170e-04
5.200000e+04 1.08410621e-03
5.203210e+04 1.04532310e-03
5.206420e+04 9.52596086e-04
5.212830e+04 7.56090793e-04
5.220540e+04 6.13220536e-04
5.228240e+04 5.42535581e-04
5.235940e+04 5.05874028e-04
5.243650e+04 4.85537524e-04
