17-Cl_n-g
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
5.780380e-04 2.19288442e+02
5.903870e-04 2.16982097e+02
6.027350e-04 2.14746967e+02
6.196420e-04 2.11802879e+02
6.250000e-04 2.10890331e+02
6.274330e-04 2.10476356e+02
6.400000e-04 2.08400744e+02
6.540140e-04 2.06160059e+02
6.678830e-04 2.04010353e+02
6.815990e-04 2.01947843e+02
7.015240e-04 1.99053629e+02
7.217610e-04 1.96247151e+02
7.385710e-04 1.93995315e+02
7.500000e-04 1.92512535e+02
7.509190e-04 1.92393433e+02
7.756160e-04 1.89307236e+02
8.003130e-04 1.86364984e+02
8.250110e-04 1.83554553e+02
8.497080e-04 1.80867612e+02
8.777860e-04 1.77957589e+02
8.991020e-04 1.75829346e+02
9.238000e-04 1.73462869e+02
9.484970e-04 1.71188062e+02
9.740270e-04 1.68930408e+02
9.978910e-04 1.66895275e+02
1.000000e-03 1.66722090e+02
1.023030e-03 1.64833325e+02
1.052090e-03 1.62545713e+02
1.078200e-03 1.60567102e+02
1.101570e-03 1.58853504e+02
1.122440e-03 1.57366986e+02
1.146080e-03 1.55734391e+02
1.174280e-03 1.53855318e+02
1.199860e-03 1.52206381e+02
1.220170e-03 1.50930600e+02
1.244860e-03 1.49425048e+02
1.250000e-03 1.49123481e+02
1.280000e-03 1.47365112e+02
1.318960e-03 1.45168479e+02
1.343650e-03 1.43828009e+02
1.368350e-03 1.42524661e+02
1.393050e-03 1.41255404e+02
1.417750e-03 1.40019482e+02
1.443520e-03 1.38763686e+02
1.469600e-03 1.37527537e+02
1.495310e-03 1.36341450e+02
1.500000e-03 1.36131993e+02
1.541230e-03 1.34292669e+02
1.590630e-03 1.32192200e+02
1.640020e-03 1.30186431e+02
1.689420e-03 1.28270059e+02
1.738810e-03 1.26434750e+02
1.797450e-03 1.24360488e+02
1.837620e-03 1.22987623e+02
1.886990e-03 1.21367475e+02
1.948050e-03 1.19454301e+02
1.985780e-03 1.18308241e+02
2.000000e-03 1.17894834e+02
2.046060e-03 1.16557713e+02
2.084570e-03 1.15472282e+02
2.133970e-03 1.14128468e+02
2.183360e-03 1.12830869e+02
2.244870e-03 1.11277829e+02
2.282150e-03 1.10362190e+02
2.348560e-03 1.08794396e+02
2.399730e-03 1.07628489e+02
2.430330e-03 1.06944407e+02
2.479730e-03 1.05874087e+02
2.529120e-03 1.04834072e+02
2.578520e-03 1.03825118e+02
2.627910e-03 1.02844195e+02
2.677310e-03 1.01890546e+02
2.726700e-03 1.00962656e+02
2.750000e-03 1.00537652e+02
2.780620e-03 9.99798955e+01
2.834180e-03 9.90318283e+01
2.924280e-03 9.74925865e+01
2.990620e-03 9.64075351e+01
3.072460e-03 9.51126388e+01
3.171250e-03 9.36199493e+01
3.270040e-03 9.21946861e+01
3.368830e-03 9.08323038e+01
3.467620e-03 8.95282566e+01
3.500000e-03 8.91187130e+01
3.566410e-03 8.82796470e+01
3.675240e-03 8.69644531e+01
3.763990e-03 8.59317855e+01
3.862770e-03 8.48252815e+01
3.963200e-03 8.37444784e+01
4.060350e-03 8.27357616e+01
4.159140e-03 8.17466852e+01
4.250000e-03 8.08690555e+01
4.257930e-03 8.07925232e+01
4.356720e-03 7.98716797e+01
4.489750e-03 7.86824910e+01
4.564080e-03 7.80373081e+01
4.653090e-03 7.72856699e+01
4.751880e-03 7.64784664e+01
4.850670e-03 7.56952031e+01
4.957140e-03 7.48783249e+01
5.000000e-03 7.45584635e+01
5.048240e-03 7.41987751e+01
5.147030e-03 7.34834491e+01
5.245820e-03 7.27884269e+01
5.344610e-03 7.21126476e+01
5.452790e-03 7.13945586e+01
5.561240e-03 7.06955557e+01
5.668350e-03 7.00246107e+01
5.838560e-03 6.89945931e+01
5.981240e-03 6.81680855e+01
6.134920e-03 6.73066604e+01
6.250000e-03 6.66898198e+01
6.332500e-03 6.62480420e+01
6.530080e-03 6.52382835e+01
6.727660e-03 6.42732233e+01
6.925240e-03 6.33496039e+01
7.122810e-03 6.24645465e+01
7.350490e-03 6.14912401e+01
7.500000e-03 6.08741364e+01
7.517970e-03 6.08000439e+01
7.715550e-03 6.00168416e+01
7.926400e-03 5.92142591e+01
8.110700e-03 5.85369548e+01
8.308280e-03 5.78367854e+01
8.505860e-03 5.71610865e+01
8.703440e-03 5.65084944e+01
8.901020e-03 5.58776454e+01
9.128160e-03 5.51789889e+01
9.296170e-03 5.46766312e+01
9.493750e-03 5.41043447e+01
9.691330e-03 5.35496345e+01
9.914270e-03 5.29444335e+01
1.000000e-02 5.27178496e+01
1.008650e-02 5.24895145e+01
1.028410e-02 5.19829538e+01
1.048160e-02 5.14907124e+01
1.068610e-02 5.09959216e+01
1.090560e-02 5.04807214e+01
1.112250e-02 4.99863736e+01
1.146950e-02 4.92230696e+01
1.175680e-02 4.86189796e+01
1.206230e-02 4.79977909e+01
1.225980e-02 4.76091893e+01
1.250000e-02 4.71534781e+01
1.265500e-02 4.68596957e+01
1.305020e-02 4.61448134e+01
1.344530e-02 4.54615235e+01
1.384050e-02 4.48077037e+01
1.423560e-02 4.41811580e+01
1.470100e-02 4.34775774e+01
1.500000e-02 4.30406857e+01
1.502590e-02 4.30028814e+01
1.542110e-02 4.24484658e+01
1.585280e-02 4.18674009e+01
1.621140e-02 4.14009248e+01
1.660660e-02 4.09053747e+01
1.700170e-02 4.04270983e+01
1.739690e-02 3.99651856e+01
1.779200e-02 3.95186526e+01
1.825630e-02 3.90136074e+01
1.858230e-02 3.86686937e+01
1.897750e-02 3.82636768e+01
1.937270e-02 3.78710088e+01
1.982850e-02 3.74334211e+01
2.000000e-02 3.72730352e+01
2.016300e-02 3.71207913e+01
2.055810e-02 3.67623040e+01
2.102830e-02 3.63496901e+01
2.152010e-02 3.59322500e+01
2.213880e-02 3.54253270e+01
2.253390e-02 3.51132806e+01
2.305500e-02 3.47147081e+01
2.371940e-02 3.42239606e+01
2.411450e-02 3.39422182e+01
2.464740e-02 3.35747540e+01
2.530000e-02 3.31366130e+01
2.604130e-02 3.26615824e+01
2.678260e-02 3.22062494e+01
2.752380e-02 3.17694020e+01
2.826510e-02 3.13498278e+01
2.904750e-02 3.09248780e+01
2.974770e-02 3.05581050e+01
3.048890e-02 3.01839869e+01
3.123020e-02 2.98232023e+01
3.147500e-02 2.97084220e+01
3.201340e-02 2.94562240e+01
3.294260e-02 2.90384824e+01
3.345400e-02 2.88143985e+01
3.419530e-02 2.85001631e+01
3.493660e-02 2.81959280e+01
3.567790e-02 2.79012387e+01
3.641910e-02 2.76155650e+01
3.716040e-02 2.73383762e+01
3.765000e-02 2.71607077e+01
3.790170e-02 2.70694662e+01
3.864300e-02 2.68085477e+01
3.938420e-02 2.65549780e+01
4.044170e-02 2.62061138e+01
4.160810e-02 2.58351789e+01
4.262250e-02 2.55262799e+01
4.383190e-02 2.51706847e+01
4.510590e-02 2.48128329e+01
4.605570e-02 2.45548285e+01
4.753830e-02 2.41683745e+01
4.902080e-02 2.37994969e+01
5.000000e-02 2.35672390e+01
5.060000e-02 2.34250985e+01
5.198590e-02 2.31101237e+01
5.346850e-02 2.27872088e+01
5.496070e-02 2.24754246e+01
5.643360e-02 2.21797895e+01
5.809500e-02 2.18604741e+01
5.939870e-02 2.16183565e+01
6.088120e-02 2.13530193e+01
6.236380e-02 2.10972278e+01
6.250000e-02 2.10746310e+01
6.402680e-02 2.08215740e+01
6.532890e-02 2.06124006e+01
6.681140e-02 2.03820821e+01
6.829400e-02 2.01593394e+01
6.977650e-02 1.99437183e+01
7.125910e-02 1.97347640e+01
7.274160e-02 1.95322493e+01
7.422420e-02 1.93358712e+01
7.500000e-02 1.92360789e+01
7.570670e-02 1.91452731e+01
7.718930e-02 1.89603132e+01
7.867180e-02 1.87805807e+01
8.088340e-02 1.85222742e+01
8.318110e-02 1.82637881e+01
8.524500e-02 1.80413644e+01
8.756710e-02 1.77996132e+01
9.021190e-02 1.75365439e+01
9.349730e-02 1.72247031e+01
9.646240e-02 1.69572108e+01
9.942750e-02 1.67017643e+01
1.000000e-01 1.66545848e+01
1.023930e-01 1.64576269e+01
