Ba-130(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 438.683
1.25000E-05 392.474
1.50000E-05 358.365
2.00000E-05 310.485
2.75000E-05 264.929
3.50000E-05 234.946
4.25000E-05 213.302
5.00000E-05 196.732
6.25000E-05 176.067
7.50000E-05 160.812
0.000100000 139.400
0.000125000 124.787
0.000150000 114.001
0.000200000 98.8597
0.000275000 84.4530
0.000350000 74.9715
0.000425000 68.1266
0.000500000 62.8865
0.000625000 56.3512
0.000750000 51.5270
0.00100000 44.7552
0.00125000 40.1338
0.00150000 36.7223
0.00200000 31.9335
0.00275000 27.3766
0.00350000 24.3773
0.00425000 22.2119
0.00500000 20.5540
0.00625000 18.4862
0.00750000 16.9596
0.0100000 14.8163
0.0125000 13.3531
0.0150000 12.2728
0.0200000 10.7557
0.0253000 9.66753
0.0314750 8.76442
0.0376500 8.09333
0.0500000 7.14520
0.0625000 6.48743
0.0750000 6.00116
0.100000 5.31716
0.125000 4.84902
0.150000 4.50247
0.200000 4.01407
0.275000 3.54631
0.350000 3.23611
0.500000 2.83676
0.750000 2.45545
1.00000 2.22429
1.50000 1.94511
2.00000 1.77560
2.75000 1.61178
3.50000 1.50226
5.00000 1.35938
7.50000 1.21705
10.0000 1.12273
15.0000 0.988602
20.0000 0.889846
26.5554 0.818078
29.8331 0.836093
33.1108 0.945704
34.7496 1.07032
35.5690 1.16292
35.9787 1.21958
36.1836 1.25099
36.3884 1.28465
36.5933 1.32077
36.7982 1.35955
37.0030 1.40121
37.2079 1.44599
37.4127 1.49420
37.6176 1.54613
38.0273 1.66259
38.4370 1.79873
38.8467 1.95878
39.2564 2.14820
39.6661 2.37417
40.4856 2.97718
41.3050 3.89477
42.1244 5.38651
42.5341 6.51043
42.9438 8.05703
43.3535 10.2718
43.7632 13.6110
44.1730 19.0048
44.5827 28.6019
44.7875 36.5118
44.9924 48.3516
45.1972 67.2592
45.4021 100.264
45.6069 165.930
45.7094 226.382
45.8118 327.254
45.9142 514.079
45.9654 673.280
46.0167 917.823
46.0679 1318.71
46.1191 2031.82
46.1703 3431.16
46.1959 4635.30
46.2215 6387.27
46.2608 10204.3
46.3000 12735.0
46.3393 10172.0
46.3785 6348.41
46.4068 4449.13
46.4351 3198.88
46.4634 2374.31
46.4917 1816.73
46.5483 1147.54
46.6049 783.764
46.6614 566.792
46.7180 427.931
46.8312 267.707
46.9444 182.709
47.0575 132.450
47.1707 100.351
47.2839 78.6420
47.5102 52.0667
47.7366 37.0896
47.9629 27.8668
48.1893 21.8195
48.4156 17.6677
48.6419 14.7194
48.8683 12.5734
49.0946 10.9858
49.3210 9.80087
49.5473 8.91673
49.7737 8.26441
49.8868 8.00978
50.0000 7.79662
50.0607 7.69812
50.1213 7.60998
50.1820 7.53175
50.2427 7.46303
50.3034 7.40345
50.3640 7.35269
50.4247 7.31046
50.4854 7.27649
50.6067 7.23243
50.7280 7.21895
50.9707 7.27939
51.2134 7.45239
51.4560 7.73718
51.9414 8.66027
52.4267 10.1287
52.9121 12.3056
53.3974 15.4776
53.8828 20.1401
54.3681 27.1765
54.8534 38.2584
55.3388 56.8309
55.8241 90.8890
56.0668 119.429
56.3095 162.490
56.5522 231.497
56.7948 351.544
56.9162 447.582
57.0375 586.567
57.1588 797.770
57.2802 1139.55
57.4015 1741.41
57.4622 2226.94
57.5228 2931.93
57.5835 4000.36
57.6442 5698.84
57.7048 8527.84
57.7655 13324.0
57.8328 21461.8
57.9000 26996.1
57.9673 21732.4
58.0345 13673.3
58.0755 10161.5
58.1165 7680.42
58.1984 4694.38
58.2804 3115.49
58.3624 2205.45
58.4443 1639.93
58.5263 1266.74
58.6902 822.130
58.8542 578.121
59.0181 430.043
59.3459 266.864
59.6738 183.416
60.0016 134.903
60.3295 104.116
60.6574 83.2934
61.3131 57.6136
61.9688 42.8671
62.6245 33.5517
63.2802 27.2523
64.5916 19.4490
65.9030 14.9194
67.2145 12.0183
68.5259 10.0262
71.1487 7.49992
73.7716 5.98126
76.3944 4.97170
79.0173 4.25012
84.2629 3.27411
89.5086 2.62159
94.7543 2.12842
100.000 1.71886
109.003 1.11136
113.504 0.845404
118.005 0.651578
120.256 0.628864
120.818 0.638449
121.381 0.656694
121.944 0.685417
122.506 0.726849
122.788 0.753193
123.069 0.783810
123.350 0.819173
123.632 0.859806
123.913 0.906318
124.194 0.959344
124.757 1.08812
125.320 1.25359
125.882 1.46541
126.445 1.73648
127.008 2.08394
127.570 2.53144
128.133 3.11153
128.696 3.87041
129.258 4.87472
129.821 6.22423
130.384 8.07085
130.946 10.6576
131.509 14.3863
132.072 19.9645
132.634 28.7150
133.197 43.3539
133.759 70.1216
134.041 92.4770
134.322 126.041
134.603 179.435
134.885 271.224
135.166 447.434
135.307 602.294
135.447 846.703
135.588 1262.08
135.729 2037.59
135.799 2693.87
135.869 3674.64
135.940 5183.78
136.010 7513.27
136.105 12142.6
136.200 15325.6
136.295 12379.0
136.390 7813.80
136.484 4886.96
136.577 3224.23
136.671 2252.62
136.765 1653.32
136.858 1261.93
136.952 994.505
137.139 663.991
137.327 476.055
137.514 359.233
137.888 227.540
138.263 158.669
138.638 118.028
139.012 91.9517
139.387 74.1654
140.136 52.0089
140.885 39.1470
141.634 30.9484
142.383 25.3622
143.882 18.3736
145.380 14.2636
146.878 11.5966
148.376 9.73954
151.373 7.32930
154.369 5.82031
157.366 4.76162
160.363 3.94966
166.356 2.69008
169.352 2.15358
172.349 1.68177
173.847 1.50438
