60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
3.172730e+00 2.63721992e+00
3.183190e+00 2.63526429e+00
3.204090e+00 2.63180374e+00
3.245900e+00 2.62678111e+00
3.329510e+00 2.62580321e+00
3.496740e+00 2.67730348e+00
3.500000e+00 2.68091848e+00
3.663960e+00 2.88989035e+00
3.831190e+00 3.43178427e+00
3.831200e+00 3.43182511e+00
3.831210e+00 3.43186181e+00
3.831220e+00 3.43193997e+00
3.831250e+00 3.43209152e+00
3.831310e+00 3.43240293e+00
3.831430e+00 3.43301744e+00
3.831670e+00 3.43423818e+00
3.832150e+00 3.43669625e+00
3.833110e+00 3.44163725e+00
3.835020e+00 3.45160696e+00
3.838850e+00 3.47191480e+00
3.846510e+00 3.51403979e+00
3.861830e+00 3.60479149e+00
3.892470e+00 3.81640679e+00
3.953740e+00 4.40529481e+00
4.015020e+00 5.35834857e+00
4.076300e+00 7.02899563e+00
4.137570e+00 1.03300844e+01
4.168210e+00 1.33284048e+01
4.198850e+00 1.82457254e+01
4.229490e+00 2.70986550e+01
4.244810e+00 3.44172206e+01
4.250000e+00 3.81127294e+01
4.260120e+00 4.53198143e+01
4.275440e+00 6.24333982e+01
4.290760e+00 9.10310454e+01
4.306080e+00 1.42151900e+02
4.321400e+00 2.37044038e+02
4.335700e+00 3.77454331e+02
4.350000e+00 4.70445250e+02
4.364300e+00 3.76166960e+02
4.378600e+00 2.35446211e+02
4.395040e+00 1.35814852e+02
4.411470e+00 8.45714925e+01
4.427910e+00 5.68834840e+01
4.444350e+00 4.07115499e+01
4.460790e+00 3.05859592e+01
4.477220e+00 2.38746002e+01
4.510100e+00 1.58602378e+01
4.542970e+00 1.14625393e+01
4.575840e+00 8.80031687e+00
4.641590e+00 5.88039477e+00
4.641600e+00 5.88010508e+00
4.641610e+00 5.87969514e+00
4.641640e+00 5.87902924e+00
4.641680e+00 5.87769632e+00
4.641770e+00 5.87503519e+00
4.641940e+00 5.86975797e+00
4.642290e+00 5.85921653e+00
4.642990e+00 5.83824146e+00
4.644390e+00 5.79673915e+00
4.647190e+00 5.71545948e+00
4.652790e+00 5.55947648e+00
4.663990e+00 5.27169286e+00
4.686390e+00 4.77834243e+00
4.731190e+00 4.03483379e+00
4.820800e+00 3.12005481e+00
4.910400e+00 2.59374011e+00
5.000000e+00 2.25752586e+00
5.155850e+00 1.90986970e+00
5.311710e+00 1.69899405e+00
5.623410e+00 1.44465827e+00
5.623420e+00 1.44465356e+00
5.623430e+00 1.44464760e+00
5.623450e+00 1.44463735e+00
5.623480e+00 1.44461866e+00
5.623560e+00 1.44457765e+00
5.623700e+00 1.44449926e+00
5.623990e+00 1.44434066e+00
5.624570e+00 1.44402347e+00
5.625740e+00 1.44338727e+00
5.628060e+00 1.44212347e+00
5.632710e+00 1.43960734e+00
5.642000e+00 1.43462829e+00
5.660580e+00 1.42487504e+00
5.697760e+00 1.40612290e+00
5.772100e+00 1.37129838e+00
5.920790e+00 1.31005415e+00
6.218170e+00 1.20938954e+00
6.812920e+00 1.05054387e+00
6.812930e+00 1.05054123e+00
6.812940e+00 1.05053859e+00
6.812960e+00 1.05053332e+00
6.813010e+00 1.05052179e+00
6.813090e+00 1.05050234e+00
6.813260e+00 1.05046165e+00
6.813590e+00 1.05038206e+00
6.814260e+00 1.05022026e+00
6.815610e+00 1.04989567e+00
6.818290e+00 1.04925011e+00
6.823660e+00 1.04795884e+00
6.834390e+00 1.04538308e+00
6.855860e+00 1.04024967e+00
6.898810e+00 1.03005897e+00
6.984690e+00 1.00996898e+00
7.156460e+00 9.70782332e-01
7.500000e+00 8.95453405e-01
8.254040e+00 8.02527290e-01
8.254050e+00 8.02526325e-01
8.254060e+00 8.02525361e-01
8.254070e+00 8.02524397e-01
8.254100e+00 8.02520675e-01
8.254150e+00 8.02515025e-01
8.254260e+00 8.02501930e-01
8.254470e+00 8.02476706e-01
8.254890e+00 8.02427086e-01
8.255750e+00 8.02325919e-01
8.257450e+00 8.02125512e-01
8.260860e+00 8.01723734e-01
8.267680e+00 8.00920179e-01
8.281320e+00 7.99314726e-01
8.308600e+00 7.96110456e-01
8.363160e+00 7.89724306e-01
8.472290e+00 7.77038947e-01
