Zr-91(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 61.1523
1.25000E-05 54.6963
1.50000E-05 49.9307
2.00000E-05 43.2412
2.75000E-05 36.8763
3.50000E-05 32.6873
4.25000E-05 29.6632
5.00000E-05 27.3482
6.25000E-05 24.4609
7.50000E-05 22.3297
0.000100000 19.3381
0.000125000 17.2965
0.000150000 15.7895
0.000200000 13.6741
0.000275000 11.6613
0.000350000 10.3366
0.000425000 9.38033
0.000500000 8.64823
0.000625000 7.73521
0.000750000 7.06124
0.00100000 6.11521
0.00125000 5.46961
0.00150000 4.99304
0.00200000 4.32409
0.00275000 3.68759
0.00350000 3.26869
0.00425000 2.96628
0.00500000 2.73476
0.00625000 2.44604
0.00750000 2.23290
0.0100000 1.93373
0.0125000 1.72957
0.0150000 1.57886
0.0200000 1.36730
0.0253000 1.21566
0.0314750 1.08988
0.0376500 0.996479
0.0500000 0.864659
0.0625000 0.773338
0.0750000 0.705924
0.100000 0.611289
0.125000 0.546701
0.150000 0.499020
0.200000 0.432081
0.275000 0.368375
0.350000 0.326436
0.500000 0.272960
0.750000 0.222659
1.00000 0.192645
1.50000 0.156997
2.00000 0.135708
2.75000 0.115409
3.50000 0.102016
5.00000 0.0848866
7.50000 0.0686948
10.0000 0.0589796
15.0000 0.0473697
20.0000 0.0403965
27.5000 0.0337327
35.0000 0.0293513
50.0000 0.0238480
75.0000 0.0190236
100.000 0.0167461
129.637 0.0162865
144.456 0.0175793
151.865 0.0200536
153.717 0.0217739
155.569 0.0258303
156.496 0.0308908
156.959 0.0356896
157.422 0.0440986
157.885 0.0611131
158.116 0.0771409
158.348 0.104608
158.580 0.157714
158.695 0.205067
158.811 0.281272
158.927 0.415087
159.043 0.679082
159.100 0.916297
159.158 1.29420
159.216 1.92607
159.274 3.00053
159.337 4.78792
159.400 5.97976
159.463 4.78986
159.526 3.00301
159.569 2.14754
159.613 1.57326
159.656 1.18718
159.699 0.921863
159.785 0.597842
159.872 0.418945
159.958 0.310920
160.045 0.241288
160.218 0.160235
160.391 0.116893
160.563 0.0911262
160.909 0.0634232
161.255 0.0497200
161.601 0.0420267
162.292 0.0343158
163.676 0.0293512
165.059 0.0285964
167.825 0.0312868
170.592 0.0385095
173.358 0.0548149
174.741 0.0712198
176.124 0.101248
176.816 0.126621
177.508 0.165466
178.199 0.229328
178.891 0.345390
179.237 0.442804
179.582 0.590955
179.928 0.832284
180.274 1.26495
180.447 1.62315
180.620 2.16058
180.793 3.01990
180.966 4.51944
181.138 7.49271
181.225 10.2169
181.311 14.7253
181.398 22.9840
181.441 29.9195
181.484 40.4224
181.527 57.2851
181.571 86.3773
181.614 140.828
181.657 248.266
181.694 395.982
181.730 493.959
181.767 396.044
181.803 248.351
181.839 154.919
181.874 101.792
181.910 70.6627
181.945 51.5110
181.981 39.0054
182.016 30.4986
182.087 20.0235
182.159 14.1118
182.230 10.4667
182.372 6.40736
182.514 4.31976
182.656 3.10915
182.798 2.34569
182.940 1.83399
183.225 1.21141
183.509 0.861977
183.793 0.646426
184.078 0.504181
184.646 0.334037
185.215 0.240074
185.784 0.182764
186.352 0.145276
187.490 0.100857
188.627 0.0765919
190.902 0.0524762
193.176 0.0414874
195.451 0.0357465
200.000 0.0306977
209.991 0.0297108
219.982 0.0346270
224.977 0.0399339
229.972 0.0508147
232.470 0.0630109
233.719 0.0741386
234.968 0.0934171
236.217 0.132781
236.841 0.170777
237.465 0.238259
238.090 0.376914
238.402 0.509349
238.714 0.739681
239.026 1.19449
239.183 1.60926
239.339 2.29373
239.495 3.53865
239.573 4.57974
239.651 6.14524
239.729 8.64216
239.807 12.8962
239.885 20.7402
239.963 35.8686
240.032 57.3426
240.100 71.6541
240.169 57.3579
240.237 35.8885
240.288 24.9886
240.338 17.8772
240.389 13.2273
240.439 10.1024
240.541 6.37729
240.642 4.36599
240.743 3.16956
240.844 2.40611
241.046 1.52615
241.249 1.05973
241.451 0.783844
241.856 0.488136
242.260 0.341737
242.665 0.258985
243.474 0.174203
244.283 0.134384
245.092 0.113035
246.711 0.0932510
249.948 0.0845311
253.184 0.0889326
259.658 0.115589
266.132 0.170679
269.368 0.217955
272.605 0.290446
275.842 0.409442
279.079 0.624937
280.697 0.805168
282.316 1.07841
283.934 1.52176
285.552 2.31261
286.362 2.96433
287.171 3.93803
287.980 5.48646
288.789 8.16834
289.194 10.3135
289.598 13.4261
290.003 18.1832
290.408 25.9664
290.812 39.9424
291.015 51.4684
291.217 68.5969
291.419 95.3965
291.621 139.973
291.824 219.116
292.026 364.681
292.218 582.841
292.410 727.666
292.602 581.947
292.794 363.803
292.947 246.270
293.100 172.204
293.253 125.143
293.405 94.2569
293.711 58.2822
294.017 39.2847
294.323 28.1663
294.628 21.1395
295.240 13.1277
295.851 8.92213
296.462 6.45010
297.074 4.87677
297.685 3.81471
298.908 2.51525
300.131 1.78131
301.354 1.32695
302.576 1.02643
305.022 0.666349
307.468 0.467205
309.913 0.345716
312.359 0.266233
317.250 0.172069
322.141 0.120595
327.032 0.0894555
