42-Mo_n-g
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
1.785210e+01 1.10296382e-01
1.792140e+01 1.10294848e-01
1.804000e+01 1.10299678e-01
1.806000e+01 1.10313221e-01
1.833710e+01 1.10536523e-01
1.889140e+01 1.11128431e-01
2.000000e+01 1.12920185e-01
2.154430e+01 1.17711331e-01
2.154440e+01 1.17711593e-01
2.154450e+01 1.17711854e-01
2.154460e+01 1.17712433e-01
2.154490e+01 1.17713377e-01
2.154540e+01 1.17715478e-01
2.154650e+01 1.17719625e-01
2.154880e+01 1.17727864e-01
2.155320e+01 1.17744610e-01
2.156210e+01 1.17777732e-01
2.157990e+01 1.17844291e-01
2.161550e+01 1.17978360e-01
2.168670e+01 1.18249508e-01
2.182910e+01 1.18805109e-01
2.187500e+01 1.18992801e-01
2.211400e+01 1.20003870e-01
2.268360e+01 1.22639368e-01
2.375000e+01 1.28500487e-01
2.382300e+01 1.28908380e-01
2.610160e+01 1.46585467e-01
2.610170e+01 1.46586227e-01
2.610180e+01 1.46587225e-01
2.610200e+01 1.46588745e-01
2.610230e+01 1.46591977e-01
2.610300e+01 1.46598407e-01
2.610430e+01 1.46611300e-01
2.610700e+01 1.46637055e-01
2.611240e+01 1.46688405e-01
2.612320e+01 1.46791423e-01
2.614480e+01 1.46998092e-01
2.618790e+01 1.47413679e-01
2.627420e+01 1.48255435e-01
2.644670e+01 1.49980004e-01
2.679180e+01 1.53601766e-01
2.748190e+01 1.61596613e-01
2.750000e+01 1.61853471e-01
2.886220e+01 1.81439896e-01
3.162280e+01 2.42787795e-01
3.162290e+01 2.42790158e-01
3.162300e+01 2.42794105e-01
3.162320e+01 2.42800415e-01
3.162360e+01 2.42811452e-01
3.162450e+01 2.42836679e-01
3.162610e+01 2.42885575e-01
3.162940e+01 2.42981771e-01
3.163590e+01 2.43175759e-01
3.164890e+01 2.43565319e-01
3.167510e+01 2.44349165e-01
3.172730e+01 2.45927972e-01
3.183190e+01 2.49147336e-01
3.204090e+01 2.55828442e-01
3.245900e+01 2.70245585e-01
3.329510e+01 3.04026715e-01
3.496740e+01 3.99700211e-01
3.500000e+01 4.02843321e-01
3.663960e+01 5.61162646e-01
3.831190e+01 8.65024292e-01
3.831200e+01 8.65045677e-01
3.831210e+01 8.65075775e-01
3.831230e+01 8.65123298e-01
3.831270e+01 8.65221512e-01
3.831340e+01 8.65413187e-01
3.831490e+01 8.65799706e-01
3.831790e+01 8.66571160e-01
3.832400e+01 8.68118823e-01
3.833600e+01 8.71228401e-01
3.836010e+01 8.77498246e-01
3.840840e+01 8.90258114e-01
3.850480e+01 9.16674390e-01
3.869770e+01 9.73381409e-01
3.908360e+01 1.10482454e+00
3.985520e+01 1.46829004e+00
4.062680e+01 2.05836733e+00
4.101270e+01 2.50260610e+00
4.139850e+01 3.11299064e+00
4.178430e+01 3.98445005e+00
4.217010e+01 5.29066994e+00
4.250000e+01 7.07567396e+00
4.255590e+01 7.37814012e+00
4.294170e+01 1.10217019e+01
4.313460e+01 1.39600443e+01
4.332760e+01 1.82589478e+01
4.352050e+01 2.49038502e+01
4.371340e+01 3.59551239e+01
4.390630e+01 5.63036856e+01
4.400270e+01 7.35325480e+01
4.409920e+01 9.98225241e+01
4.419570e+01 1.42504524e+02
4.429210e+01 2.17352020e+02
4.438860e+01 3.61008159e+02
4.443680e+01 4.81965573e+02
4.448500e+01 6.54889275e+02
4.456250e+01 1.04667743e+03
4.464000e+01 1.30609228e+03
