Nd-146(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 74.9188
1.25000E-05 67.0094
1.50000E-05 61.1709
2.00000E-05 52.9756
2.75000E-05 45.1777
3.50000E-05 40.0458
4.25000E-05 36.3409
5.00000E-05 33.5047
6.25000E-05 29.9675
7.50000E-05 27.3565
0.000100000 23.6914
0.000125000 21.1902
0.000150000 19.3439
0.000200000 16.7523
0.000275000 14.2864
0.000350000 12.6636
0.000425000 11.4920
0.000500000 10.5951
0.000625000 9.47652
0.000750000 8.65084
0.00100000 7.49184
0.00125000 6.70089
0.00150000 6.11704
0.00200000 5.29750
0.00275000 4.51770
0.00350000 4.00450
0.00425000 3.63401
0.00500000 3.35038
0.00625000 2.99665
0.00750000 2.73553
0.0100000 2.36901
0.0125000 2.11888
0.0150000 1.93424
0.0200000 1.67505
0.0253000 1.48926
0.0314750 1.33516
0.0376500 1.22073
0.0500000 1.05922
0.0625000 0.947333
0.0750000 0.864734
0.100000 0.748780
0.125000 0.669638
0.150000 0.611210
0.200000 0.529179
0.275000 0.451101
0.350000 0.399696
0.500000 0.334137
0.750000 0.272451
1.00000 0.235630
1.50000 0.191871
2.00000 0.165716
2.75000 0.140753
3.50000 0.124262
5.00000 0.103134
7.50000 0.0830987
10.0000 0.0710268
15.0000 0.0565128
20.0000 0.0477175
27.5000 0.0392143
35.0000 0.0335341
50.0000 0.0261979
75.0000 0.0192565
100.000 0.0151748
150.000 0.0105743
200.000 0.00814075
279.726 0.00654647
299.657 0.00676701
319.588 0.00805437
329.554 0.0101067
334.537 0.0122248
339.520 0.0161567
344.503 0.0246715
346.994 0.0332231
349.485 0.0489214
350.731 0.0622295
351.977 0.0826722
353.223 0.116439
354.468 0.178249
355.091 0.230523
355.714 0.310620
356.337 0.442524
356.960 0.682799
357.271 0.885083
357.583 1.19351
357.894 1.69797
358.205 2.60799
358.361 3.36682
358.439 3.87713
358.517 4.51215
358.556 4.89091
358.595 5.31830
358.634 5.80429
358.673 6.36007
358.712 7.00145
358.750 7.74288
358.789 8.60858
358.828 9.62788
358.867 10.8427
358.906 12.2984
358.945 14.0676
358.984 16.2469
359.023 18.9809
359.062 22.4549
359.101 26.9727
359.140 32.9954
359.179 41.2925
359.218 53.0881
359.256 70.6797
359.295 98.4941
359.334 146.138
359.354 183.516
359.373 236.104
359.393 313.555
359.412 430.789
359.432 616.233
359.451 908.483
359.476 1453.51
359.500 1816.78
359.525 1453.34
359.549 908.303
359.566 642.975
359.583 466.976
359.601 348.879
359.618 268.709
359.652 171.198
359.686 117.639
359.721 85.4728
359.755 64.7734
359.823 40.7575
359.892 27.9397
359.961 20.3226
360.029 15.4368
360.098 12.1234
360.235 8.03748
360.372 5.71639
360.509 4.27155
360.646 3.31306
360.921 2.15905
361.195 1.51816
361.469 1.12572
361.744 0.868160
362.292 0.561819
362.841 0.393610
363.390 0.291429
363.938 0.224758
365.035 0.145935
366.133 0.102905
367.230 0.0768757
368.327 0.0599453
370.522 0.0399912
372.716 0.0291309
374.911 0.0225732
377.105 0.0183122
381.495 0.0132925
385.884 0.0105572
394.662 0.00781957
412.218 0.00582213
429.775 0.00509032
500.000 0.00438675
562.493 0.00455086
593.740 0.00490921
609.363 0.00547862
617.174 0.00708012
619.127 0.00864681
621.080 0.0130543
622.057 0.0191766
623.033 0.0365456
623.521 0.0606868
623.766 0.0848069
624.010 0.128889
624.254 0.223025
624.376 0.316548
624.498 0.486092
624.559 0.628419
624.620 0.844239
624.681 1.19505
624.742 1.82216
624.773 2.34190
624.803 3.11760
624.834 4.35367
624.864 6.50019
624.895 10.7243
624.910 14.5765
624.925 20.8625
624.940 32.2949
624.948 41.7221
624.956 55.7959
624.963 78.3262
624.971 115.792
624.978 183.267
624.986 309.770
624.993 495.661
625.000 619.600
625.007 495.662
625.014 309.773
625.020 202.378
625.026 138.425
625.032 99.0118
625.038 73.7013
625.050 44.8766
625.062 29.9684
625.074 21.3571
625.086 15.9629
625.110 9.86294
625.134 6.67512
625.158 4.81953
625.182 3.64178
625.206 2.84823
625.254 1.87748
625.302 1.33135
625.350 0.993409
625.398 0.769897
625.494 0.501785
625.591 0.353435
625.783 0.203567
625.975 0.133115
626.167 0.0945093
626.551 0.0558027
626.935 0.0377486
627.320 0.0279004
628.088 0.0180719
629.625 0.0110368
631.162 0.00858524
634.236 0.00687226
637.310 0.00631777
649.606 0.00603615
674.199 0.00681875
698.791 0.00854928
711.087 0.0107905
714.161 0.0122723
717.235 0.0158722
718.772 0.0205639
720.309 0.0335405
721.078 0.0514226
721.462 0.0692693
721.846 0.101890
722.231 0.171705
722.423 0.241199
722.615 0.367695
722.711 0.474120
722.807 0.636319
722.903 0.901330
722.999 1.37796
723.047 1.77517
723.095 2.37266
723.143 3.33367
723.191 5.02535
723.215 6.40726
723.239 8.43721
723.263 11.6058
723.287 16.9473
723.311 26.9827
723.323 35.6577
723.335 49.1799
723.347 71.7947
723.359 113.247
723.365 147.685
723.371 198.459
723.377 275.230
723.383 392.612
723.392 627.488
723.400 785.346
723.408 627.484
723.417 392.612
723.422 288.136
723.427 215.890
723.438 130.020
723.448 84.9224
723.459 59.4994
723.469 43.7027
723.479 33.4625
723.500 21.3131
723.521 14.7258
723.542 10.7707
723.584 6.47815
723.626 4.31572
723.667 3.08232
723.709 2.31017
723.751 1.79729
723.834 1.17747
723.918 0.832044
724.001 0.620086
724.085 0.480756
724.252 0.314717
724.419 0.223440
724.753 0.131673
725.087 0.0887739
725.421 0.0653539
726.089 0.0419888
727.425 0.0253502
728.762 0.0196663
731.434 0.0159591
734.106 0.0150728
744.796 0.0168348
755.485 0.0217946
766.175 0.0311539
771.520 0.0390588
776.865 0.0511276
782.209 0.0709044
784.882 0.0859239
786.218 0.0954347
787.554 0.106725
788.890 0.120273
789.558 0.128086
790.226 0.136721
790.895 0.146300
791.563 0.156964
792.899 0.182268
794.235 0.214473
795.571 0.256342
796.907 0.312170
798.244 0.388928
799.580 0.498571
800.916 0.662939
802.252 0.925525
802.920 1.12004
803.588 1.38332
804.256 1.75187
804.925 2.29003
805.593 3.11944
806.261 4.49261
806.929 7.00255
807.263 9.11117
807.597 12.3018
807.931 17.4228
808.265 26.2488
808.599 42.7545
808.766 56.3098
808.933 75.3119
809.217 120.403
809.500 150.383
809.784 120.212
810.068 75.0765
810.347 46.5427
810.626 30.4234
810.906 21.0617
811.185 15.3125
811.464 11.5792
811.743 9.03913
812.301 5.92331
812.859 4.16841
813.418 3.08803
814.534 1.88627
815.651 1.26972
816.767 0.912622
817.884 0.687620
819.000 0.536869
821.234 0.353795
823.467 0.251164
825.700 0.187956
827.933 0.146310
832.399 0.0966178
836.865 0.0692689
841.331 0.0526608
845.798 0.0418495
854.730 0.0291578
863.662 0.0223514
881.527 0.0158860
899.392 0.0133230
917.257 0.0124266
935.121 0.0125862
944.054 0.0135646
948.520 0.0167053
949.637 0.0198225
950.753 0.0286001
951.311 0.0407721
951.870 0.0751646
952.149 0.122721
952.288 0.170023
952.428 0.255935
952.567 0.437925
952.637 0.616945
952.707 0.937676
952.777 1.60359
952.812 2.24400
952.847 3.36458
952.881 5.59636
952.899 7.65715
952.916 11.0704
952.934 17.4060
952.943 22.7507
952.951 30.9095
952.960 44.1561
952.969 67.3887
952.977 111.974
952.982 150.021
952.986 203.174
952.993 325.082
953.000 406.358
953.007 325.082
953.014 203.175
953.020 135.443
953.026 94.1198
953.031 67.7499
953.037 50.8996
953.049 31.2649
953.060 21.0589
953.071 15.0562
953.083 11.2798
953.106 7.00525
953.129 4.75758
953.152 3.44447
953.175 2.60582
953.198 2.04252
953.244 1.35181
953.289 0.961735
953.381 0.560657
953.473 0.368852
953.565 0.262635
953.748 0.155256
954.115 0.0770621
954.482 0.0492972
955.217 0.0292994
955.951 0.0222744
957.419 0.0172857
958.887 0.0155911
964.761 0.0142584
976.507 0.0148107
1000.00 0.0176270
1010.10 0.0193790
1015.15 0.0204050
1017.68 0.0209606
1020.20 0.0215471
1022.73 0.0221664
1025.25 0.0228206
1027.78 0.0235123
1030.30 0.0242439
1032.83 0.0250184
1035.35 0.0258389
1037.88 0.0267089
1040.40 0.0276321
1045.45 0.0296559
1050.50 0.0319494
1055.55 0.0345611
1060.60 0.0375508
1070.70 0.0449843
1080.80 0.0551299
1090.90 0.0694718
1101.00 0.0906730
1111.10 0.123899
1116.15 0.148069
1121.20 0.180257
1126.25 0.224418
1131.30 0.287257
1136.35 0.380843
1141.40 0.528588
1146.45 0.780344
1148.98 0.977290
1151.50 1.25540
1154.03 1.66208
1156.55 2.27942
1159.08 3.24784
1161.60 4.77597
1164.80 7.62414
1168.00 9.49462
1171.20 7.57019
1174.40 4.72408
1176.97 3.18669
1179.53 2.22214
1182.10 1.61187
1184.67 1.21216
1189.80 0.748023
1194.93 0.503697
1200.06 0.360990
1205.20 0.270983
1215.46 0.168585
1225.72 0.114993
1235.99 0.0835952
1246.25 0.0636890
1256.52 0.0503170
1277.05 0.0341135
1297.58 0.0251707
1318.11 0.0198778
1338.64 0.0166897
1379.69 0.0142867
1400.22 0.0149386
1420.75 0.0175744
1441.28 0.0245563
1451.55 0.0318984
1461.81 0.0454349
1466.95 0.0568244
1472.08 0.0741008
1477.21 0.102077
1478.49 0.111785
1479.78 0.123045
1481.06 0.136203
1481.70 0.143636
1482.34 0.151711
1482.98 0.160531
1483.63 0.170176
1484.27 0.180752
1484.91 0.192362
1486.19 0.219358
1487.47 0.252655
1488.76 0.294372
1490.04 0.347593
1491.32 0.416947
1492.61 0.509636
1493.89 0.637345
1495.17 0.820021
1496.46 1.09390
1497.74 1.53012
