47-Ag_n-tot
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
3.042850e+01 2.28230471e+02
3.044900e+01 2.83195883e+02
3.046960e+01 3.58763123e+02
3.049020e+01 4.64818202e+02
3.051070e+01 6.15769932e+02
3.053130e+01 8.29334329e+02
3.056570e+01 1.33323200e+03
3.060000e+01 1.67674873e+03
3.063440e+01 1.35108282e+03
3.066870e+01 8.51700174e+02
3.069920e+01 5.57305332e+02
3.072960e+01 3.80604420e+02
3.076010e+01 2.72919662e+02
3.079060e+01 2.04341154e+02
3.085150e+01 1.26758336e+02
3.091240e+01 8.68176738e+01
3.097340e+01 6.37675524e+01
3.103430e+01 4.93113316e+01
3.115620e+01 3.29012412e+01
3.127800e+01 2.42864456e+01
3.139990e+01 1.92011254e+01
3.152170e+01 1.59431815e+01
3.164360e+01 1.37268120e+01
3.188730e+01 1.09846722e+01
3.191940e+01 1.07793907e+01
3.213110e+01 9.42738164e+00
3.237480e+01 8.54173500e+00
3.249660e+01 8.41651076e+00
3.255760e+01 8.59140188e+00
3.261850e+01 9.23177180e+00
3.270000e+01 1.06108501e+01
3.278150e+01 8.89327237e+00
3.283970e+01 8.02044930e+00
3.289790e+01 7.58223109e+00
3.301430e+01 7.14842797e+00
3.324720e+01 6.72567735e+00
3.371280e+01 6.25954094e+00
3.384390e+01 6.18983184e+00
3.464410e+01 5.76959727e+00
3.480620e+01 5.72543609e+00
3.528740e+01 5.59783434e+00
3.552790e+01 5.53748518e+00
3.557540e+01 5.53321905e+00
3.576850e+01 5.54201322e+00
3.584000e+01 5.57891108e+00
3.591150e+01 5.52464487e+00
3.608610e+01 5.46527139e+00
3.626070e+01 5.44051599e+00
3.650670e+01 5.41236767e+00
3.660990e+01 5.41543111e+00
3.730830e+01 5.45232094e+00
3.743790e+01 5.46512390e+00
3.790360e+01 5.60745604e+00
3.800670e+01 5.67271214e+00
3.836920e+01 5.93863480e+00
3.860210e+01 6.22524931e+00
3.870520e+01 6.41903464e+00
3.883490e+01 6.69718960e+00
3.906770e+01 7.47646596e+00
3.930050e+01 8.83499876e+00
3.940360e+01 9.81785454e+00
3.941690e+01 9.95138517e+00
3.953330e+01 1.16623220e+01
3.964980e+01 1.43405705e+01
3.975280e+01 1.83884045e+01
3.976620e+01 1.89263616e+01
3.988260e+01 2.78464875e+01
3.994080e+01 3.57428378e+01
3.999900e+01 4.83834319e+01
4.002810e+01 5.77443737e+01
4.005720e+01 7.03679342e+01
4.008630e+01 8.79015088e+01
4.010200e+01 1.01499639e+02
4.011540e+01 1.13122886e+02
4.014450e+01 1.50869419e+02
4.017360e+01 2.09804866e+02
4.020270e+01 3.05719292e+02
4.021730e+01 3.75217629e+02
4.023180e+01 4.63916968e+02
4.026590e+01 7.44610660e+02
4.027660e+01 8.04977108e+02
4.030000e+01 9.37032071e+02
4.031710e+01 8.85985137e+02
4.033410e+01 7.57234773e+02
4.036820e+01 4.79900373e+02
4.040580e+01 2.87350202e+02
4.044350e+01 1.85116827e+02
4.045120e+01 1.73527082e+02
4.048110e+01 1.28612690e+02
4.051870e+01 9.51194431e+01
4.055630e+01 7.39361474e+01
4.059400e+01 5.98251045e+01
4.062580e+01 5.26941547e+01
4.066920e+01 4.32256544e+01
4.074450e+01 3.45356482e+01
4.080040e+01 3.08696649e+01
4.081970e+01 2.98784606e+01
4.097020e+01 2.74474501e+01
4.097500e+01 2.74723511e+01
4.106230e+01 3.00367961e+01
4.112070e+01 3.38234849e+01
4.114960e+01 3.59706612e+01
4.123690e+01 4.90223332e+01
4.127120e+01 5.80651683e+01
4.128060e+01 6.05888195e+01
4.132420e+01 7.87509371e+01
4.136790e+01 1.08538650e+02
4.138970e+01 1.30878311e+02
4.141150e+01 1.61121346e+02
4.142170e+01 1.80729847e+02
4.143330e+01 2.03061419e+02
4.145520e+01 2.62395375e+02
4.147700e+01 3.47638528e+02
4.149880e+01 4.69386185e+02
4.153440e+01 7.51228784e+02
4.157000e+01 9.43779743e+02
4.157220e+01 9.37372046e+02
4.158780e+01 8.91969975e+02
4.160560e+01 7.62126618e+02
4.164120e+01 4.82773224e+02
4.167550e+01 3.07191180e+02
4.170980e+01 2.06226192e+02
4.174410e+01 1.46741735e+02
4.177840e+01 1.09752294e+02
4.181270e+01 8.54856991e+01
4.184700e+01 6.88062599e+01
4.187320e+01 6.08742538e+01
4.191550e+01 4.81321076e+01
4.198410e+01 3.63230939e+01
4.205270e+01 2.89290523e+01
4.217420e+01 2.14478455e+01
4.218990e+01 2.04930244e+01
4.232700e+01 1.60649317e+01
4.246420e+01 1.34061248e+01
4.247520e+01 1.32694733e+01
4.260130e+01 1.17562290e+01
4.273850e+01 1.09917886e+01
4.277620e+01 1.10235388e+01
4.281000e+01 1.10634212e+01
4.288150e+01 1.01149995e+01
4.300300e+01 9.14068929e+00
4.312460e+01 8.62136319e+00
4.336760e+01 7.95057410e+00
4.337810e+01 7.93342267e+00
4.361070e+01 7.60755965e+00
4.385370e+01 7.51086740e+00
4.398010e+01 7.65644650e+00
4.409680e+01 7.80835916e+00
4.421830e+01 8.25175917e+00
4.433980e+01 9.10957051e+00
4.446130e+01 1.08757566e+01
4.452210e+01 1.24844300e+01
4.458290e+01 1.50853537e+01
4.464360e+01 1.96198924e+01
4.470440e+01 2.83855100e+01
4.473480e+01 3.60413295e+01
4.476510e+01 4.78666321e+01
4.479550e+01 6.68143855e+01
4.482590e+01 9.74673332e+01
4.484440e+01 1.23570204e+02
4.486300e+01 1.53562016e+02
4.490000e+01 1.91974954e+02
4.493710e+01 1.55977135e+02
4.497410e+01 1.00457287e+02
4.501340e+01 6.29790166e+01
4.505260e+01 4.25589075e+01
4.509190e+01 3.10204577e+01
4.513120e+01 2.40588212e+01
4.517040e+01 1.95878100e+01
4.518410e+01 1.85337693e+01
4.520970e+01 1.65664181e+01
4.528820e+01 1.28747165e+01
4.536680e+01 1.07925524e+01
4.544530e+01 9.50135935e+00
4.560230e+01 8.04035450e+00
4.575940e+01 7.26570715e+00
4.591650e+01 6.79858947e+00
4.623060e+01 6.27536088e+00
4.638810e+01 6.16517228e+00
4.685880e+01 5.85487683e+00
4.748710e+01 5.74486513e+00
4.759210e+01 5.76045502e+00
4.811530e+01 5.85150417e+00
4.874350e+01 6.25506914e+00
4.879600e+01 6.34322541e+00
4.937180e+01 7.32476390e+00
4.968590e+01 8.42214885e+00
5.000000e+01 1.03643333e+01
5.018460e+01 1.22617555e+01
5.036930e+01 1.51857999e+01
5.055390e+01 1.99792079e+01
5.064620e+01 2.35922103e+01
5.073860e+01 2.85375296e+01
5.083090e+01 3.55358261e+01
5.092320e+01 4.58557584e+01
5.101550e+01 6.18999085e+01
5.110780e+01 8.86461165e+01
5.115400e+01 1.09169375e+02
5.120020e+01 1.37729234e+02
5.124630e+01 1.78953876e+02
5.129250e+01 2.41184202e+02
5.133860e+01 3.40436384e+02
5.138480e+01 5.09646336e+02
5.142800e+01 7.99988601e+02
5.143100e+01 8.20151560e+02
5.145400e+01 1.07041763e+03
5.147710e+01 1.41605192e+03
5.151860e+01 2.28522098e+03
5.156000e+01 2.88362457e+03
5.160150e+01 2.33144083e+03
5.164290e+01 1.47404459e+03
5.169180e+01 8.47649081e+02
5.174080e+01 5.27917554e+02
5.178970e+01 3.55905910e+02
5.183860e+01 2.55536801e+02
5.188760e+01 1.92617754e+02
5.193650e+01 1.50807535e+02
5.203430e+01 1.00633619e+02
5.213220e+01 7.28717889e+01
5.214200e+01 7.11731366e+01
5.223000e+01 5.59354361e+01
5.242580e+01 3.71580804e+01
5.262150e+01 2.74961160e+01
5.281720e+01 2.18591389e+01
5.285600e+01 2.11489773e+01
5.301290e+01 1.83209295e+01
5.320860e+01 1.59552423e+01
5.321300e+01 1.59231098e+01
5.356990e+01 1.34497605e+01
5.360000e+01 1.32623479e+01
5.392690e+01 1.23065465e+01
5.399150e+01 1.22135816e+01
5.428390e+01 1.22761500e+01
5.438290e+01 1.25193453e+01
5.446240e+01 1.27882704e+01
5.464090e+01 1.39041794e+01
5.477430e+01 1.54307470e+01
5.481940e+01 1.59803827e+01
5.499790e+01 2.00069344e+01
5.517640e+01 2.82894256e+01
5.526570e+01 3.59713086e+01
5.535490e+01 4.87037690e+01
5.544420e+01 7.17784855e+01
5.548880e+01 9.08788212e+01
5.553340e+01 1.19266524e+02
5.555720e+01 1.42923706e+02
5.557800e+01 1.63609561e+02
5.562270e+01 2.36944653e+02
5.566730e+01 3.65787299e+02
5.571190e+01 5.99364708e+02
5.575600e+01 9.64194701e+02
5.580000e+01 1.21535036e+03
5.584410e+01 9.83296999e+02
5.588810e+01 6.23313648e+02
5.591750e+01 4.53650835e+02
5.594690e+01 3.37600847e+02
5.600560e+01 2.03358800e+02
5.606430e+01 1.35170528e+02
5.612310e+01 9.68501881e+01
5.618180e+01 7.34145619e+01
5.624060e+01 5.81079562e+01
5.634000e+01 4.28033023e+01
5.635810e+01 4.00211275e+01
5.647560e+01 3.01619624e+01
5.659300e+01 2.41780729e+01
5.682800e+01 1.75393072e+01
5.706300e+01 1.40805642e+01
5.712290e+01 1.35533465e+01
5.729800e+01 1.20378277e+01
5.753300e+01 1.07097604e+01
