Mn-55(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4971.34 0.0323269
4985.67 0.0268545
5000.00 0.0249067
5041.61 0.0231959
5083.22 0.0227345
5166.44 0.0224654
5332.87 0.0225648
5665.74 0.0241482
5998.61 0.0284795
6165.04 0.0327741
6248.26 0.0363244
6289.87 0.0404391
6300.27 0.0433056
6310.67 0.0505076
6315.87 0.0599642
6321.07 0.0857249
6323.68 0.120198
6324.98 0.153597
6326.28 0.212619
6327.58 0.332260
6328.23 0.444330
6328.88 0.634892
6329.53 0.997774
6329.85 1.31598
6330.18 1.81944
6330.50 2.67973
6330.83 4.30926
6330.99 5.71470
6331.15 7.84252
6331.31 11.2175
6331.48 16.5416
6331.68 26.4567
6331.88 33.0725
6332.09 26.4574
6332.29 16.5426
6332.45 11.4550
6332.60 8.17799
6332.75 6.04328
6332.90 4.61268
6333.21 2.91207
6333.51 1.99556
6333.81 1.45054
6334.12 1.10422
6334.73 0.705672
6335.34 0.494324
6335.94 0.369606
6337.16 0.235892
6338.38 0.169568
6339.59 0.132023
6342.03 0.0932968
6346.89 0.0646122
6351.76 0.0544167
6361.49 0.0473382
6371.22 0.0451989
6410.16 0.0450658
6488.02 0.0506503
6565.88 0.0590005
6643.75 0.0707464
6721.61 0.0876274
6799.47 0.112622
6877.34 0.150608
6955.20 0.209897
6959.89 0.218493
6962.24 0.236456
6963.41 0.289935
6964.00 0.435913
6964.29 0.737018
6964.44 1.15827
6964.58 2.16924
6964.68 3.33697
6964.77 4.12220
6964.87 3.33719
6964.96 2.16965
6965.16 0.971982
6965.36 0.588131
6965.75 0.358655
6966.54 0.263017
6968.12 0.232748
6971.29 0.226640
6977.61 0.230365
6990.25 0.242554
7015.55 0.269732
7066.13 0.327693
7167.30 0.397344
7273.40 0.320458
7379.50 0.206050
7461.00 0.146699
7542.50 0.109179
7624.00 0.0855740
7705.50 0.0705131
7868.50 0.0548344
8031.50 0.0502486
8194.50 0.0540682
8357.50 0.0694763
8439.00 0.0851177
8520.50 0.110703
8602.00 0.153454
8683.50 0.224647
8777.20 0.344562
8870.90 0.411003
8964.55 0.319814
9058.20 0.201977
9144.68 0.132657
9231.15 0.0921065
9317.63 0.0677488
9404.10 0.0523455
9577.05 0.0349608
9750.00 0.0260209
9771.21 0.0254783
9781.81 0.0260349
9787.11 0.0294143
9789.77 0.0424318
9791.09 0.0867721
9791.75 0.215313
9792.08 0.498339
9792.25 0.925558
9792.42 2.06050
9792.60 4.09594
9792.79 2.06055
9793.00 0.793797
9793.20 0.398902
9793.60 0.164979
9794.41 0.0683046
9796.03 0.0366318
9799.27 0.0274691
9805.74 0.0248357
9818.69 0.0238009
9844.59 0.0228703
9896.40 0.0214462
10000.0 0.0191784
10309.8 0.0149366
10464.7 0.0136456
10542.1 0.0131719
10580.8 0.0131310
10600.2 0.0137792
10609.9 0.0166836
10614.7 0.0279295
10617.1 0.0688521
10618.4 0.204018
10619.0 0.584150
10619.3 1.35638
10619.4 2.41971
10619.6 5.02136
10619.7 7.98906
10619.8 10.0543
10619.9 7.98918
10620.0 5.02149
10620.1 2.64171
10620.2 1.50712
10620.5 0.674268
10621.1 0.240443
10622.1 0.0806620
10624.3 0.0312587
10628.7 0.0174892
10637.4 0.0138170
10654.9 0.0128017
10689.8 0.0124133
10759.6 0.0121609
10829.5 0.0126308
10846.9 0.0133668
10864.4 0.0155770
10873.1 0.0186802
10877.5 0.0217736
10881.8 0.0273664
10886.2 0.0391473
10888.4 0.0506034
10890.6 0.0709262
10892.8 0.112282
10893.8 0.151229
10894.9 0.217792
10896.0 0.345540
10896.6 0.459769
10897.1 0.638732
10897.7 0.954451
10898.2 1.55299
10898.5 2.09916
10898.8 2.92133
10899.0 4.24667
10899.3 6.40679
10899.6 10.2337
10899.9 12.7804
10900.3 10.2332
10900.6 6.40651
10900.9 3.73064
10901.3 2.33284
10901.7 1.56890
10902.0 1.11913
10902.4 0.835911
10902.7 0.647389
10903.4 0.423553
10904.2 0.298040
10904.9 0.222805
10906.3 0.139340
10907.7 0.0967536
10909.2 0.0724552
10912.0 0.0470094
10914.9 0.0346260
10917.8 0.0277242
10923.5 0.0206608
10935.0 0.0154456
10946.4 0.0135544
10969.3 0.0121317
10992.2 0.0115783
11083.9 0.0108240
11267.2 0.0102154
11450.5 0.00981464
11542.2 0.00973131
11588.0 0.0100258
11610.9 0.0114661
11622.4 0.0171495
11628.1 0.0382876
11631.0 0.110663
11631.7 0.175283
11632.4 0.324281
11632.8 0.488631
11633.1 0.817131
11633.5 1.59689
11633.7 2.41278
11633.8 3.72219
11634.0 5.93287
11634.2 7.39968
11634.4 5.93296
11634.6 3.72230
11634.9 1.94942
11635.1 1.13673
11635.6 0.507767
11636.2 0.285058
11636.7 0.183306
11638.7 0.0615778
11642.9 0.0237389
11651.2 0.0131655
11667.7 0.0103483
11700.9 0.00957819
11767.1 0.00929604
11899.6 0.00906837
12164.6 0.00875834
12429.6 0.00856373
12562.2 0.00867858
12595.3 0.00888246
12628.4 0.00950869
12645.0 0.0104024
12661.5 0.0129503
12669.8 0.0164797
12678.1 0.0263609
12682.2 0.0398227
12684.3 0.0530304
12686.4 0.0766674
12688.4 0.125463
12689.5 0.172435
12690.5 0.253354
