Pb-208(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.0116698
1.25000E-05 0.0104378
1.50000E-05 0.00952838
2.00000E-05 0.00825182
2.75000E-05 0.00703717
3.50000E-05 0.00623779
4.25000E-05 0.00566070
5.00000E-05 0.00521891
6.25000E-05 0.00466793
7.50000E-05 0.00426122
0.000100000 0.00369033
0.000125000 0.00330073
0.000150000 0.00301314
0.000200000 0.00260946
0.000275000 0.00222535
0.000350000 0.00197257
0.000425000 0.00179008
0.000500000 0.00165037
0.000625000 0.00147614
0.000750000 0.00134753
0.00100000 0.00116700
0.00125000 0.00104380
0.00150000 0.000952864
0.00200000 0.000825217
0.00275000 0.000703766
0.00350000 0.000623841
0.00500000 0.000521979
0.00750000 0.000426255
0.0100000 0.000369210
0.0150000 0.000301580
0.0200000 0.000261300
0.0253000 0.000231996
0.0376500 0.000190191
0.0500000 0.000165045
0.0750000 0.000134757
0.100000 0.000116702
0.150000 9.52890E-05
0.200000 8.25203E-05
0.275000 7.03755E-05
0.350000 6.23818E-05
0.500000 5.21951E-05
0.750000 4.26200E-05
1.00000 3.69122E-05
1.50000 3.01420E-05
2.00000 2.61067E-05
2.75000 2.22679E-05
3.50000 1.97420E-05
5.00000 1.65233E-05
7.50000 1.34994E-05
10.0000 1.16981E-05
15.0000 9.56333E-06
20.0000 8.29261E-06
27.5000 7.08561E-06
35.0000 6.29304E-06
50.0000 5.28618E-06
75.0000 4.34571E-06
100.000 3.78994E-06
150.000 3.13936E-06
200.000 2.75933E-06
275.000 2.40736E-06
350.000 2.18407E-06
500.000 1.91594E-06
750.000 1.69450E-06
1000.00 1.58899E-06
1500.00 1.51407E-06
2000.00 1.51708E-06
2750.00 1.58231E-06
3500.00 1.68222E-06
5000.00 1.92848E-06
7500.00 2.39724E-06
10000.0 2.89965E-06
15000.0 3.96773E-06
20000.0 5.11993E-06
26815.0 6.87551E-06
33629.9 8.97216E-06
40444.9 1.16849E-05
43852.3 1.34482E-05
45556.1 1.45261E-05
46407.9 1.53006E-05
46833.9 1.64593E-05
47046.8 2.00830E-05
47153.3 3.40524E-05
47206.6 8.94803E-05
47233.2 0.000309240
47246.5 0.00117314
47253.2 0.00451628
47256.5 0.0170210
47258.1 0.0604211
47259.0 0.192041
47259.4 0.513008
47259.8 2.64262
47260.0 5.28518
47260.2 2.64258
47260.5 0.637555
47260.9 0.265307
47261.5 0.0876817
47262.9 0.0253833
47265.6 0.00684654
47270.9 0.00179171
47281.6 0.000468583
47303.0 0.000130072
47345.8 4.44532E-05
47431.4 2.29676E-05
47602.7 1.76828E-05
47945.2 1.65811E-05
48630.1 1.67756E-05
50000.0 1.78599E-05
55289.9 2.41365E-05
57934.8 2.90596E-05
60579.8 3.62127E-05
63224.7 4.73703E-05
65869.6 6.66426E-05
67192.1 8.24702E-05
68514.6 0.000107404
69175.8 0.000127432
69837.0 0.000162275
70167.7 0.000196554
70498.3 0.000273131
70663.6 0.000363709
70746.2 0.000445906
70828.9 0.000583167
70911.6 0.000840685
70952.9 0.00106438
70994.2 0.00141591
71035.5 0.00201277
71076.9 0.00313574
71097.5 0.00409785
71118.2 0.00556292
71138.8 0.00788502
71159.5 0.0116459
71210.0 0.0255831
71222.6 0.0252865
71235.3 0.0222787
71260.5 0.0142751
71285.9 0.00874147
71311.4 0.00565721
71336.8 0.00390946
71362.2 0.00285896
71387.7 0.00218893
71413.1 0.00173968
71464.0 0.00119765
71514.8 0.000898109
71565.7 0.000716736
71667.4 0.000519597
71769.1 0.000422484
71870.9 0.000369424
72074.3 0.000320925
72481.2 0.000305884
72888.1 0.000328316
73701.9 0.000429019
74515.8 0.000618219
75329.6 0.000987274
75736.5 0.00131407
76143.4 0.00183491
76550.3 0.00273361
76957.2 0.00446143
77160.7 0.00597014
77364.1 0.00830739
77567.6 0.0120790
77771.0 0.0182623
78250.0 0.0377091
78489.5 0.0310045
78729.0 0.0195371
78972.6 0.0119161
79216.1 0.00768138
79459.6 0.00526594
79703.2 0.00380275
79946.7 0.00286305
80190.3 0.00222864
80677.3 0.00145705
81164.4 0.00102619
81651.5 0.000762437
82625.7 0.000470683
83599.8 0.000322202
84574.0 0.000237999
85548.1 0.000194072
86035.2 0.000211683
86157.0 0.000242560
86278.8 0.000327509
86339.7 0.000432206
86370.1 0.000524658
86400.5 0.000671347
86431.0 0.000922467
86461.4 0.00139826
86476.6 0.00180724
86491.9 0.00243097
86507.1 0.00341714
86522.3 0.00499585
86560.0 0.0102072
86578.9 0.00843684
86597.7 0.00536452
86610.8 0.00384574
86623.9 0.00282626
86637.0 0.00214534
86650.1 0.00168057
