In-115(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
39.7981 86.4293
39.8275 67.3995
39.8862 45.1705
39.9450 33.1867
40.0037 25.9909
40.0624 21.3275
40.1212 18.1293
40.2386 14.1421
40.3561 11.8568
40.4735 10.4947
40.5910 9.95633
40.6800 10.0727
40.7690 8.95232
40.8561 8.19916
40.9432 7.77321
41.1175 7.24290
41.4659 6.63876
41.8144 6.29053
42.1629 6.06497
42.8598 5.79387
43.5567 5.64045
44.2536 5.54832
44.9506 5.50908
45.2990 5.52876
45.4733 5.56491
45.6475 5.64259
45.8217 5.82019
45.9088 5.99754
45.9959 6.31174
46.0831 6.93708
46.1266 7.50581
46.1702 8.43541
46.2137 10.0942
46.2573 13.4387
46.2791 16.4984
46.3009 21.4574
46.3226 29.9342
46.3444 44.7674
46.3672 68.9238
46.3900 85.4960
46.4128 70.0837
46.4356 46.2190
46.4618 29.1026
46.4881 20.2283
46.5143 15.4007
46.5406 12.5645
46.5668 10.7776
46.5930 9.58683
46.6455 8.15546
46.6980 7.36386
46.7505 6.88266
46.8554 6.35671
46.9604 6.09895
47.0653 5.96579
47.2752 5.89693
47.4851 6.05186
47.5901 6.26910
47.6950 6.68967
47.8000 7.57520
47.8524 8.40951
47.9049 9.81319
47.9574 12.4143
47.9836 14.6168
48.0099 17.9646
48.0361 23.3578
48.0623 32.6774
48.0886 50.1161
48.1148 84.4647
48.1374 133.087
48.1600 166.524
48.1826 135.608
48.2052 87.6147
48.2192 66.2908
48.2333 51.3026
48.2613 33.3713
48.2893 23.9441
48.3174 18.5298
48.3454 15.1699
48.3735 12.9543
48.4296 10.3131
48.4856 8.85984
48.5417 7.97478
48.6539 6.99305
48.7661 6.48506
48.8783 6.18561
49.1026 5.85956
49.3270 5.69088
49.5513 5.58957
50.0000 5.47432
50.5419 5.39966
51.0839 5.35370
52.1678 5.29660
53.2516 5.25946
54.3355 5.23134
56.5033 5.18807
57.5871 5.17045
58.1291 5.16339
58.4000 5.16268
58.5355 5.16735
58.6033 5.17545
58.6710 5.19596
58.7600 5.23663
58.8490 5.19372
58.9130 5.17226
58.9769 5.16237
59.1048 5.15403
59.3606 5.14782
59.8723 5.14246
60.3839 5.14171
60.8956 5.14952
61.4072 5.18054
61.6630 5.21903
61.9188 5.29696
62.0467 5.36635
62.1747 5.47543
62.3026 5.65774
62.4305 5.98996
62.5584 6.67872
62.6223 7.33099
62.6863 8.44171
62.7503 10.5432
62.7822 12.3626
62.8142 15.1917
62.8462 19.8948
62.8782 28.3985
62.9101 45.4458
62.9261 60.3886
62.9421 82.4624
62.9661 130.211
62.9900 163.161
63.0140 132.895
63.0379 85.8178
63.0635 53.7850
63.0891 36.3885
63.1146 26.5854
