Pd-104(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 37.3847
1.25000E-05 33.9417
1.50000E-05 31.4001
2.00000E-05 27.8326
2.75000E-05 24.4380
3.50000E-05 22.2040
4.25000E-05 20.5913
5.00000E-05 19.3566
6.25000E-05 17.8168
7.50000E-05 16.6802
0.000100000 15.0848
0.000125000 13.9960
0.000150000 13.1923
0.000200000 12.0641
0.000275000 10.9907
0.000350000 10.2842
0.000425000 9.77423
0.000500000 9.38380
0.000625000 8.89688
0.000750000 8.53745
0.00100000 8.03292
0.00125000 7.68862
0.00150000 7.43447
0.00200000 7.07772
0.00275000 6.73828
0.00350000 6.51488
0.00425000 6.35361
0.00500000 6.23015
0.00625000 6.07617
0.00750000 5.96252
0.0100000 5.80298
0.0125000 5.69411
0.0150000 5.61374
0.0200000 5.50093
0.0253000 5.42007
0.0314750 5.35300
0.0376500 5.30320
0.0500000 5.23291
0.0625000 5.18421
0.0750000 5.14826
0.100000 5.09779
0.125000 5.06334
0.150000 5.03789
0.200000 5.00215
0.275000 4.96810
0.350000 4.94564
0.500000 4.91690
0.750000 4.88966
1.00000 4.87320
1.50000 4.85322
2.00000 4.84084
2.75000 4.82840
3.50000 4.81958
5.00000 4.80697
7.50000 4.79227
10.0000 4.78073
15.0000 4.76108
20.0000 4.74298
27.5000 4.71606
35.0000 4.68802
50.0000 4.62545
75.0000 4.48940
87.5000 4.39742
100.000 4.27847
102.412 4.25155
104.825 4.22583
106.031 4.21832
106.634 4.22010
107.237 4.23229
107.840 4.27275
108.141 4.32041
108.443 4.41410
108.745 4.62209
108.895 4.82896
109.046 5.19593
109.197 5.92912
109.272 6.59740
109.348 7.68902
109.423 9.63722
109.498 13.5513
109.536 17.1130
109.574 22.8478
109.611 32.5544
109.649 49.2700
109.690 77.1047
109.730 96.3785
109.771 78.9982
109.811 51.6416
109.857 32.1225
109.903 21.8387
109.948 16.1778
109.994 12.8219
110.040 10.6940
110.086 9.26787
110.177 7.54195
110.269 6.57632
110.360 5.98266
110.544 5.31728
110.727 4.96992
110.910 4.76430
111.276 4.53964
111.642 4.42309
112.009 4.35292
112.741 4.27236
114.206 4.19422
115.671 4.14927
121.531 4.02696
133.251 3.77522
139.111 3.61520
144.971 3.41989
150.831 3.17763
153.761 3.03607
155.226 2.96477
155.959 2.94606
156.325 2.98756
156.508 3.11135
156.600 3.30318
156.645 3.49378
156.691 3.80569
156.800 4.74020
156.909 3.79378
156.958 3.45748
157.008 3.25784
157.106 3.05920
157.303 2.92192
157.698 2.84249
158.486 2.77604
160.063 2.67315
163.218 2.47176
166.372 2.29391
169.526 2.24674
171.103 2.37088
172.680 2.73640
173.469 3.08577
173.863 3.32555
174.060 3.46609
174.257 3.62255
174.455 3.79691
174.652 3.99113
174.849 4.20786
175.046 4.44969
175.243 4.72010
175.440 5.02255
175.637 5.36150
175.835 5.74196
176.229 6.65221
176.623 7.81364
177.017 9.31122
177.412 11.2668
177.806 13.8596
178.200 17.3609
178.595 22.1959
178.989 29.0564
179.383 39.1352
179.777 54.5994
180.172 79.7224
180.566 123.816
180.763 159.201
180.960 210.315
181.157 287.611
181.355 411.249
181.552 624.575
181.749 1030.64
181.847 1379.84
181.946 1909.82
182.045 2741.43
182.143 4051.45
182.272 6604.43
182.400 8408.68
182.529 6851.44
182.657 4362.26
182.793 2669.90
182.928 1737.86
183.064 1206.99
183.199 884.462
183.335 676.253
183.470 534.777
183.741 360.916
184.012 262.290
184.283 200.923
184.825 131.430
185.367 94.7587
185.909 72.8901
186.451 58.7034
186.993 48.9194
188.077 36.5452
189.161 29.2140
190.245 24.4533
191.329 21.1537
193.496 16.9379
195.664 14.3973
197.832 12.7183
200.000 11.5348
204.162 10.0361
208.324 9.09259
212.486 8.44709
216.648 7.97894
224.972 7.34678
233.296 6.94020
241.619 6.65671
249.943 6.44796
258.267 6.29194
260.348 6.26314
262.429 6.24734
263.470 6.25510
263.990 6.27057
264.510 6.30461
265.030 6.38346
265.291 6.46267
265.551 6.60379
265.811 6.88750
265.941 7.14911
266.071 7.58381
266.201 8.38232
266.266 9.05467
266.331 10.0748
266.396 11.7201
266.461 14.5654
266.526 19.9203
266.591 30.5757
266.646 45.2261
266.700 54.9936
266.755 45.2323
266.809 30.5824
266.863 21.2390
266.917 15.9832
266.971 12.9434
267.025 11.0835
267.079 9.87576
267.134 9.05474
267.242 8.04939
267.350 7.48279
267.458 7.13400
267.674 6.74481
267.890 6.54368
268.107 6.42597
268.539 6.29936
268.972 6.23469
269.404 6.19594
270.269 6.15087
271.134 6.12376
271.999 6.10407
273.730 6.07409
277.190 6.02790
280.650 5.98900
284.110 5.95490
287.571 5.92779
289.301 5.92119
290.166 5.92285
291.031 5.93248
291.896 5.96161
292.328 5.99388
292.761 6.05448
292.977 6.10565
293.194 6.18298
293.410 6.30688
293.626 6.52216
293.842 6.94418
293.950 7.32447
294.059 7.94336
294.167 9.04611
294.221 9.94729
294.275 11.2711
294.329 13.3192
294.383 16.6569
294.437 22.4418
294.491 32.7148
294.546 48.8781
294.600 59.6743
294.655 48.8842
294.709 32.7217
294.761 22.7463
294.813 17.0184
294.865 13.6384
294.916 11.5443
295.020 9.23398
295.124 8.07607
295.227 7.41906
295.331 7.01296
295.538 6.55834
295.746 6.32327
295.953 6.18608
296.160 6.09882
296.368 6.03967
296.782 5.96632
297.197 5.92359
298.026 5.87643
298.856 5.85040
299.685 5.83297
301.343 5.80872
304.661 5.77426
307.978 5.74520
314.612 5.69056
321.247 5.63431
327.881 5.56945
331.198 5.52988
334.515 5.48131
336.174 5.45185
337.833 5.41754
339.491 5.37711
341.150 5.33016
341.979 5.30547
342.808 5.28307
343.638 5.27071
344.467 5.29135
344.882 5.33349
345.296 5.42350
345.711 5.61146
346.126 6.02004
346.333 6.39863
346.540 7.00652
346.748 8.03819
346.955 9.93013
347.162 13.8190
347.266 17.4283
347.369 23.3895
347.473 34.1115
347.525 42.8707
347.577 55.7038
347.603 64.4574
