Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
369.296 20.4100
369.311 21.9915
369.325 23.7626
369.340 25.7548
369.369 30.5628
369.398 36.8356
369.427 45.2574
369.456 56.8220
369.485 73.3224
369.514 97.8982
369.543 136.636
369.572 201.187
369.586 250.143
369.601 316.539
369.615 407.353
369.630 530.550
369.657 849.123
369.684 1060.40
369.711 848.010
369.738 530.627
369.770 301.565
369.802 185.523
369.834 123.297
369.866 87.1298
369.897 64.5574
369.929 49.6291
369.993 31.8394
370.056 22.0984
370.120 16.2118
370.247 9.77443
370.374 6.52390
370.502 4.65962
370.629 3.49296
370.756 2.71500
371.011 1.77452
371.265 1.24990
371.519 0.927669
371.774 0.715713
372.283 0.463041
372.791 0.323988
373.300 0.239387
373.809 0.184122
374.827 0.118709
375.844 0.0829555
376.862 0.0613097
377.880 0.0472216
379.915 0.0306063
381.950 0.0215572
383.986 0.0160908
386.021 0.0125383
390.092 0.00835371
394.163 0.00607556
398.233 0.00469861
402.304 0.00380252
410.445 0.00274425
418.587 0.00216614
434.869 0.00159117
451.152 0.00133940
467.435 0.00125199
483.717 0.00143001
491.859 0.00209933
495.929 0.00351803
497.965 0.00562937
500.000 0.0122346
500.901 0.0208280
501.351 0.0293897
501.801 0.0449753
502.251 0.0780604
502.477 0.110680
502.702 0.169396
502.814 0.218229
502.927 0.291813
503.039 0.410169
503.152 0.618259
503.208 0.787487
503.265 1.03685
503.321 1.42588
503.377 2.07965
503.433 3.30780
503.462 4.37010
503.490 6.01732
503.518 8.77569
503.546 13.7945
503.560 17.9616
503.574 24.0329
503.588 33.2249
503.602 46.9423
503.622 75.2304
503.642 93.9839
503.662 75.0823
503.682 46.9459
503.700 30.0800
503.718 20.1517
503.737 14.1971
503.755 10.4675
503.791 6.28621
503.827 4.16236
503.864 2.94956
503.900 2.19577
503.972 1.34963
504.045 0.911394
504.118 0.656555
504.190 0.495337
504.263 0.386970
504.408 0.254860
504.553 0.180588
504.844 0.104402
505.134 0.0681121
505.425 0.0480497
506.006 0.0277914
507.168 0.0130633
508.329 0.00783608
510.653 0.00406604
512.977 0.00273558
517.624 0.00177943
522.272 0.00144391
540.862 0.00113717
578.041 0.00118514
615.221 0.00156118
624.516 0.00181627
633.811 0.00240553
638.458 0.00314651
643.106 0.00515772
645.430 0.00790969
647.753 0.0156649
648.915 0.0264044
649.496 0.0371150
650.077 0.0566551
650.658 0.0982829
650.949 0.139508
651.239 0.214044
651.384 0.276353
651.529 0.370621
651.675 0.523208
651.820 0.794295
651.893 1.01706
651.965 1.34799
652.038 1.87085
652.110 2.76771
