16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
2.403330e+04 8.05638933e-01
2.405870e+04 7.95119289e-01
2.408420e+04 7.88543561e-01
2.410960e+04 7.84077997e-01
2.416050e+04 7.78387590e-01
2.421130e+04 7.74859478e-01
2.426220e+04 7.72392143e-01
2.431310e+04 7.70516167e-01
2.436390e+04 7.69002156e-01
2.446570e+04 7.66602740e-01
2.456740e+04 7.64679900e-01
2.466910e+04 7.63019887e-01
2.477090e+04 7.61518611e-01
2.497430e+04 7.58798343e-01
2.517390e+04 7.56337256e-01
2.517780e+04 7.56292355e-01
2.538120e+04 7.54068505e-01
2.558470e+04 7.51916240e-01
2.599160e+04 7.47740696e-01
2.639850e+04 7.43663112e-01
2.646730e+04 7.42985896e-01
2.721240e+04 7.37908444e-01
2.750000e+04 7.35982126e-01
2.776080e+04 7.34247978e-01
2.802620e+04 7.34842607e-01
2.840750e+04 7.35718849e-01
2.873090e+04 7.41041827e-01
2.884010e+04 7.45417688e-01
2.905420e+04 7.54006078e-01
2.937760e+04 7.86110622e-01
2.953930e+04 8.19818076e-01
2.970100e+04 8.82217280e-01
2.978180e+04 9.34799860e-01
2.986270e+04 1.01450761e+00
2.994350e+04 1.14315060e+00
3.002430e+04 1.36965921e+00
3.010520e+04 1.82312160e+00
3.014560e+04 2.24164730e+00
3.018600e+04 2.94033602e+00
3.022640e+04 4.23205913e+00
3.024670e+04 5.32921102e+00
3.026690e+04 7.00805439e+00
3.028710e+04 9.74224720e+00
3.030730e+04 1.45580501e+01
3.032750e+04 2.38582093e+01
3.033760e+04 3.17403144e+01
3.034770e+04 4.30630164e+01
3.036390e+04 6.87741506e+01
3.038000e+04 8.59824496e+01
3.039620e+04 6.87657798e+01
3.041230e+04 4.31308243e+01
3.042470e+04 2.97846254e+01
3.043710e+04 2.12549961e+01
3.044950e+04 1.57631659e+01
3.046190e+04 1.21208809e+01
3.046780e+04 1.11001007e+01
3.048670e+04 7.83014467e+00
3.051150e+04 5.53881565e+00
3.053620e+04 4.18632872e+00
3.056100e+04 3.32670866e+00
3.061060e+04 2.33994319e+00
3.066020e+04 1.81820027e+00
3.070970e+04 1.50968376e+00
3.075930e+04 1.31226913e+00
3.080890e+04 1.17830467e+00
3.090800e+04 1.01315289e+00
3.100720e+04 9.18786152e-01
3.110630e+04 8.59586363e-01
3.120540e+04 8.19820622e-01
3.140370e+04 7.70876097e-01
3.160200e+04 7.42477114e-01
3.199860e+04 7.11068715e-01
3.239510e+04 6.93528374e-01
3.279170e+04 6.81585373e-01
3.358480e+04 6.64510864e-01
3.372310e+04 6.62289166e-01
3.500000e+04 6.41781435e-01
3.517100e+04 6.39042057e-01
3.675730e+04 6.16519477e-01
3.697850e+04 6.13441468e-01
3.992980e+04 5.72307756e-01
4.023390e+04 5.67993924e-01
4.151600e+04 5.49757862e-01
4.186160e+04 5.44781751e-01
4.230910e+04 5.38317813e-01
4.250000e+04 5.35584008e-01
4.270570e+04 5.32643364e-01
4.290400e+04 5.30165231e-01
4.300310e+04 5.30387749e-01
4.305270e+04 5.36252161e-01
4.307750e+04 5.61371975e-01
4.308370e+04 5.86810715e-01
4.308990e+04 6.56250374e-01
4.309300e+04 7.48063478e-01
4.309610e+04 9.87569454e-01
4.309760e+04 1.28578377e+00
4.309920e+04 1.99832697e+00
4.310000e+04 2.80081597e+00
4.310070e+04 4.42764417e+00
4.310110e+04 5.97092041e+00
4.310150e+04 8.46623414e+00
4.310190e+04 1.30076186e+01
4.310230e+04 2.12681100e+01
4.310260e+04 3.36477797e+01
4.310300e+04 4.20625503e+01
4.310340e+04 3.36480644e+01
4.310370e+04 2.12686795e+01
4.310400e+04 1.58523779e+01
4.310420e+04 1.21164275e+01
4.310460e+04 7.53065900e+00
4.310510e+04 5.12732348e+00
4.310550e+04 3.75209158e+00
4.310640e+04 2.34595617e+00
4.310730e+04 1.68721033e+00
4.310910e+04 1.11392573e+00
4.311090e+04 8.79555648e-01
4.311450e+04 6.94259789e-01
4.311810e+04 6.24054874e-01
4.313250e+04 5.51928216e-01
4.316130e+04 5.32421593e-01
4.321890e+04 5.26655323e-01
4.333410e+04 5.23711687e-01
4.348930e+04 5.21209686e-01
4.356440e+04 5.19993201e-01
4.402510e+04 5.13052862e-01
4.494650e+04 4.99181683e-01
4.511690e+04 4.96589601e-01
