Ti-46(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 29.6570
1.25000E-05 26.5260
1.50000E-05 24.2149
2.00000E-05 20.9707
2.75000E-05 17.8839
3.50000E-05 15.8523
4.25000E-05 14.3858
5.00000E-05 13.2630
6.25000E-05 11.8628
7.50000E-05 10.8292
0.000100000 9.37837
0.000125000 8.38827
0.000150000 7.65741
0.000200000 6.63151
0.000275000 5.65537
0.000350000 5.01295
0.000425000 4.54918
0.000500000 4.19414
0.000625000 3.75135
0.000750000 3.42450
0.00100000 2.96570
0.00125000 2.65260
0.00150000 2.42149
0.00200000 2.09707
0.00275000 1.78839
0.00350000 1.58523
0.00425000 1.43858
0.00500000 1.32630
0.00625000 1.18628
0.00750000 1.08292
0.0100000 0.937836
0.0125000 0.838826
0.0150000 0.765740
0.0200000 0.663150
0.0253000 0.589612
0.0314750 0.528620
0.0376500 0.483330
0.0500000 0.419412
0.0625000 0.375133
0.0750000 0.342447
0.100000 0.296567
0.125000 0.265257
0.150000 0.242145
0.200000 0.209703
0.275000 0.178834
0.350000 0.158518
0.500000 0.132624
0.750000 0.108284
1.00000 0.0937746
1.50000 0.0765630
2.00000 0.0663023
2.75000 0.0565387
3.50000 0.0501125
5.00000 0.0419211
7.50000 0.0342201
10.0000 0.0296283
15.0000 0.0241797
20.0000 0.0209301
27.5000 0.0178364
35.0000 0.0157988
50.0000 0.0131992
75.0000 0.0107512
100.000 0.00928854
150.000 0.00754800
200.000 0.00650587
275.000 0.00550926
350.000 0.00484947
500.000 0.00400193
750.000 0.00319544
1000.00 0.00270831
1500.00 0.00212290
2000.00 0.00177057
2994.89 0.00135626
3492.34 0.00122384
3741.06 0.00117343
3865.42 0.00116789
3927.60 0.00123473
3958.69 0.00154269
3974.23 0.00277616
3982.01 0.00756226
3985.89 0.0254818
3986.87 0.0428495
3987.84 0.0882370
3988.32 0.145030
3988.81 0.281610
3989.05 0.435297
3989.29 0.754278
3989.42 1.05818
3989.54 1.56666
3989.66 2.48548
3989.78 4.21520
3989.89 6.74906
3990.00 8.41528
3990.11 6.72492
3990.22 4.21542
3990.35 2.45521
3990.47 1.53964
3990.59 1.03343
3990.72 0.737214
3990.96 0.424327
3991.21 0.274550
3991.70 0.141287
3992.19 0.0859397
3993.18 0.0417131
3994.17 0.0248213
3998.11 0.00738736
4006.00 0.00272875
4021.78 0.00152197
4053.33 0.00120990
4116.44 0.00112128
4242.67 0.00108030
4495.11 0.00103614
5000.00 0.000969566
6632.39 0.000861160
7448.58 0.000875106
7856.68 0.000910532
8060.73 0.000940896
8162.75 0.000967653
8213.77 0.00101447
8239.27 0.00116664
8252.03 0.00174588
8258.40 0.00396255
8261.59 0.0121307
8263.18 0.0398999
8263.98 0.120776
8264.38 0.301469
8264.58 0.576388
8264.78 1.32525
8265.00 2.64957
8265.22 1.32528
8265.43 0.551502
8265.65 0.281063
8266.07 0.110297
8266.92 0.0360037
8268.61 0.0109390
8272.00 0.00363604
8278.77 0.00166557
8292.33 0.00115612
8319.43 0.00103156
8373.65 0.00101143
8482.07 0.00103196
8698.92 0.00110251
9132.61 0.00133901
9566.31 0.00182597
9783.15 0.00227810
10000.0 0.00303402
10253.8 0.00479437
10317.2 0.00553405
10380.6 0.00648742
10412.4 0.00707099
10444.1 0.00774568
10475.8 0.00853156
10507.5 0.00945418
10523.4 0.00997721
10539.2 0.0105480
10570.9 0.0118577
10602.7 0.0134441
10634.4 0.0153910
10666.1 0.0178164
10697.8 0.0208904
10729.5 0.0248660
10761.3 0.0301293
10793.0 0.0373033
10824.7 0.0474228
10856.4 0.0623216
10888.1 0.0854732
10919.9 0.124032
10935.7 0.153519
10951.6 0.194281
10967.4 0.252283
10983.3 0.337277
10999.2 0.464752
11015.0 0.655560
11037.5 1.04366
11060.0 1.29822
11082.5 1.03819
11105.0 0.650290
11123.8 0.432422
11142.7 0.298143
11161.5 0.214464
11180.3 0.160355
11218.0 0.0982962
11255.7 0.0660248
11293.3 0.0473285
11331.0 0.0356105
11406.3 0.0223786
11481.7 0.0155390
11557.0 0.0116105
11707.7 0.00772781
11858.3 0.00652521
11933.7 0.00675957
12009.0 0.00788546
12084.3 0.0109430
12122.0 0.0141613
12159.6 0.0200502
12197.3 0.0323108
12216.1 0.0440213
12235.0 0.0642735
12253.8 0.103799
12263.2 0.139324
12272.6 0.196915
12282.1 0.299146
12286.8 0.382376
12291.5 0.504166
12296.2 0.691723
12300.9 0.996149
12305.6 1.51843
12310.3 2.43551
12315.2 3.90491
12320.0 4.88501
12324.9 3.89926
12329.7 2.43178
12335.1 1.41560
12340.6 0.885033
12346.0 0.594886
12351.4 0.423938
12356.9 0.316216
12362.3 0.244469
12373.1 0.158353
12384.0 0.110861
12394.9 0.0820176
12416.6 0.0503145
12438.3 0.0342161
12460.0 0.0249396
12481.7 0.0191079
12503.5 0.0152026
12546.9 0.0104458
12590.3 0.00776018
12677.2 0.00497036
12764.1 0.00360426
12850.9 0.00282159
13024.7 0.00198590
13198.4 0.00156720
13372.2 0.00135691
13459.0 0.00133756
13545.9 0.00147824
13632.8 0.00260252
13676.2 0.00730422
13687.1 0.0121604
13697.9 0.0258842
13703.4 0.0448090
13708.8 0.0975927
13711.5 0.169418
13712.9 0.239760
13714.2 0.364136
13715.6 0.621088
13716.3 0.865674
13716.9 1.28040
13717.6 2.09833
13718.0 2.83410
13718.3 4.03005
13718.6 6.15575
13718.8 7.88994
13719.0 10.4388
13719.2 14.3659
