48-Cd_n-tot
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
1.851180e+01 7.80632827e+00
1.853660e+01 7.05384662e+00
1.856140e+01 6.54539906e+00
1.861100e+01 5.92524046e+00
1.866060e+01 5.57715945e+00
1.871020e+01 5.36292615e+00
1.880950e+01 5.12366289e+00
1.890870e+01 4.99968492e+00
1.900790e+01 4.92685267e+00
1.910710e+01 4.88013484e+00
1.920630e+01 4.84815155e+00
1.940470e+01 4.80784339e+00
1.960320e+01 4.78375436e+00
2.000000e+01 4.75618798e+00
2.044750e+01 4.74154593e+00
2.089500e+01 4.73353859e+00
2.111880e+01 4.73194023e+00
2.134250e+01 4.73432925e+00
2.145440e+01 4.74005867e+00
2.151030e+01 4.74603823e+00
2.156630e+01 4.75658982e+00
2.162220e+01 4.77693362e+00
2.165020e+01 4.79466360e+00
2.167810e+01 4.82231020e+00
2.170610e+01 4.86833543e+00
2.173410e+01 4.95176126e+00
2.176200e+01 5.11966050e+00
2.177600e+01 5.26746524e+00
2.179000e+01 5.48672675e+00
2.181050e+01 5.94820419e+00
2.183100e+01 6.25624737e+00
2.185150e+01 5.94889960e+00
2.187200e+01 5.48725110e+00
2.187550e+01 5.43709411e+00
2.189300e+01 5.18646536e+00
2.191390e+01 5.02011428e+00
2.193480e+01 4.92509556e+00
2.195580e+01 4.86738719e+00
2.199770e+01 4.80507111e+00
2.203950e+01 4.77439425e+00
2.208140e+01 4.75719075e+00
2.212330e+01 4.74662343e+00
2.220710e+01 4.73486638e+00
2.223610e+01 4.73277095e+00
2.229080e+01 4.72882039e+00
2.237460e+01 4.72530797e+00
2.254210e+01 4.72160074e+00
2.281330e+01 4.71937095e+00
2.287720e+01 4.71986573e+00
2.321230e+01 4.72437783e+00
2.335410e+01 4.72672696e+00
2.375100e+01 4.73332419e+00
2.421990e+01 4.75307363e+00
2.447210e+01 4.77237976e+00
2.455250e+01 4.77854549e+00
2.468880e+01 4.78922174e+00
2.515760e+01 4.85679436e+00
2.559010e+01 4.98004307e+00
2.562650e+01 4.99042526e+00
2.586090e+01 5.10802062e+00
2.609540e+01 5.29172012e+00
2.614910e+01 5.36180549e+00
2.632980e+01 5.59771895e+00
2.656430e+01 6.15545016e+00
2.668150e+01 6.62064362e+00
2.670820e+01 6.77995875e+00
2.679870e+01 7.32001804e+00
2.691590e+01 8.43594248e+00
2.698770e+01 9.61890293e+00
2.703310e+01 1.03669412e+01
2.715040e+01 1.41202940e+01
2.720900e+01 1.74698446e+01
2.723300e+01 1.96749200e+01
2.726720e+01 2.28171790e+01
2.726760e+01 2.28539312e+01
2.732620e+01 3.22448078e+01
2.735550e+01 3.97520607e+01
2.738480e+01 5.05559766e+01
2.741410e+01 6.67481882e+01
2.744340e+01 9.20949524e+01
2.747270e+01 1.33475369e+02
2.750000e+01 1.97286927e+02
2.750200e+01 2.01961767e+02
2.753600e+01 3.22231662e+02
2.754670e+01 3.47958484e+02
2.757000e+01 4.03980517e+02
2.758700e+01 3.81607723e+02
2.760400e+01 3.26019933e+02
2.763800e+01 2.06703497e+02
2.765980e+01 1.52397392e+02
2.768170e+01 1.14776819e+02
2.772540e+01 7.06052259e+01
2.776900e+01 4.78460746e+01
2.781270e+01 3.49516161e+01
2.782620e+01 3.25049019e+01
2.785640e+01 2.70316594e+01
2.790010e+01 2.18500704e+01
2.796590e+01 1.72362128e+01
2.798740e+01 1.57287803e+01
2.807480e+01 1.23974578e+01
2.810570e+01 1.16861481e+01
2.816210e+01 1.03884845e+01
2.824540e+01 9.14522309e+00
2.824950e+01 9.08412629e+00
2.833680e+01 8.19085970e+00
2.838520e+01 7.88252002e+00
2.845510e+01 7.43963124e+00
2.851150e+01 7.08472627e+00
2.852500e+01 7.03622594e+00
2.859480e+01 6.79088133e+00
2.866470e+01 6.55578794e+00
2.868620e+01 6.49086779e+00
2.873460e+01 6.41076125e+00
2.876950e+01 6.37275629e+00
2.880450e+01 6.36230616e+00
2.883940e+01 6.40842622e+00
2.885690e+01 6.47215643e+00
2.886090e+01 6.49827939e+00
2.887430e+01 6.59603612e+00
2.889180e+01 6.80725079e+00
2.890930e+01 7.17041854e+00
2.892670e+01 7.82067853e+00
2.894420e+01 9.00143957e+00
2.896170e+01 1.08635493e+01
2.897920e+01 1.21017166e+01
2.899680e+01 1.08140720e+01
2.901430e+01 8.89163700e+00
2.903480e+01 7.50294544e+00
2.903560e+01 7.47475786e+00
2.905530e+01 6.79267024e+00
2.907580e+01 6.40243542e+00
2.909630e+01 6.16723078e+00
2.911680e+01 6.01276366e+00
2.913730e+01 5.90379633e+00
2.917830e+01 5.75756975e+00
2.921930e+01 5.65921942e+00
2.926020e+01 5.58390131e+00
2.934220e+01 5.46483146e+00
2.938500e+01 5.41258441e+00
2.942420e+01 5.38107958e+00
2.950620e+01 5.32343814e+00
2.958810e+01 5.27001154e+00
2.967010e+01 5.21884726e+00
