Sb-121(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 292.413
1.25000E-05 261.968
1.50000E-05 239.494
2.00000E-05 207.947
2.75000E-05 177.931
3.50000E-05 158.177
4.25000E-05 143.916
5.00000E-05 132.999
6.25000E-05 119.383
7.50000E-05 109.333
0.000100000 95.2249
0.000125000 85.5974
0.000150000 78.4907
0.000200000 68.5153
0.000275000 59.0239
0.000350000 52.7775
0.000425000 48.2682
0.000500000 44.8161
0.000625000 40.5111
0.000750000 37.3333
0.00100000 32.8729
0.00125000 29.8292
0.00150000 27.5826
0.00200000 24.4293
0.00275000 21.4295
0.00350000 19.4555
0.00425000 18.0308
0.00500000 16.9403
0.00625000 15.5806
0.00750000 14.5772
0.0100000 13.1694
0.0125000 12.2093
0.0150000 11.5010
0.0200000 10.5076
0.0253000 9.79641
0.0314750 9.20735
0.0376500 8.77059
0.0500000 8.15549
0.0625000 7.73065
0.0750000 7.41797
0.100000 6.98097
0.125000 6.68455
0.150000 6.46709
0.200000 6.16460
0.275000 5.88138
0.350000 5.69892
0.500000 5.47422
0.750000 5.27862
1.00000 5.17764
1.50000 5.09727
2.00000 5.10601
2.75000 5.25741
3.50000 5.66544
3.87500 6.06381
4.25000 6.73207
4.62500 7.94935
5.00000 10.4802
5.14939 12.3026
5.29878 15.0741
5.44816 19.5772
5.59755 27.5991
5.67224 34.1868
5.74694 43.9827
5.82163 59.4417
5.89633 85.8831
5.97102 136.623
6.00837 181.436
6.04571 252.834
6.08306 376.003
6.10173 473.490
6.12041 612.622
6.13908 818.873
6.15775 1137.49
6.17643 1648.79
6.19510 2477.84
6.21755 3967.58
6.24000 4965.28
6.26245 3978.67
6.28490 2491.92
6.29941 1814.61
6.31393 1347.67
6.34295 802.543
6.37197 523.499
6.40100 366.194
6.43002 270.023
6.45905 207.340
6.51709 133.670
6.57514 93.8399
6.63319 69.9546
6.69124 54.5271
6.74929 43.9929
6.86539 30.9392
6.98148 23.4620
7.09758 18.7814
7.21368 15.6565
7.44587 11.8695
7.67806 9.74601
7.91026 8.43523
8.14245 7.56902
8.60684 6.53200
9.07123 5.96235
10.0000 5.41710
10.6677 5.26739
11.3354 5.25507
12.0031 5.40209
12.6708 5.82828
13.0046 6.24645
13.3384 6.93223
13.6723 8.12042
14.0061 10.3703
14.1731 12.3036
14.3400 15.2839
14.5069 20.1907
14.6738 29.0478
14.7573 36.3902
14.8407 47.3839
14.9242 64.8595
15.0077 94.9896
15.0494 118.919
15.0911 153.348
15.1329 205.298
15.1746 288.651
15.2163 433.748
15.2372 549.575
15.2580 716.047
15.2789 965.249
15.2998 1354.68
15.3206 1989.62
15.3415 3037.57
15.3658 4876.05
15.3900 6117.81
15.4143 4917.53
15.4385 3089.93
15.4563 2162.15
15.4741 1553.97
15.4920 1154.67
15.5098 885.381
15.5454 563.024
15.5811 387.995
15.6167 283.511
15.6523 216.515
15.7236 138.948
15.7949 97.5339
15.8662 72.8692
15.9374 56.9930
16.0087 46.1675
16.1512 32.7491
16.2938 25.0421
16.4363 20.1959
16.5789 16.9426
16.8640 12.9635
17.1491 10.7001
17.4342 9.28084
17.7193 8.32671
18.2894 7.15233
18.8596 6.47483
19.4298 6.04238
20.0000 5.74580
21.1944 5.35614
22.3888 5.12646
23.5832 4.97951
24.7777 4.89052
25.9721 4.87571
26.5693 4.92754
27.1665 5.07967
27.4651 5.23521
27.7637 5.49801
28.0623 5.96604
28.3609 6.87459
28.5102 7.66778
28.6595 8.90312
28.8088 10.9566
28.9581 14.6956
29.0328 17.8124
29.1074 22.4953
29.1821 29.9613
29.2567 42.8625
