Pt-195(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 1384.39
1.24909E-05 1238.69
1.49818E-05 1131.04
1.50000E-05 1130.35
1.83377E-05 1022.32
2.00000E-05 978.914
2.24454E-05 924.052
2.74731E-05 835.230
2.75000E-05 834.821
2.75957E-05 833.371
2.76915E-05 831.930
2.78830E-05 829.068
2.82659E-05 823.433
2.90318E-05 812.499
3.05635E-05 791.877
3.36271E-05 754.945
3.50000E-05 739.990
3.80798E-05 709.435
4.11596E-05 682.377
5.00000E-05 619.120
5.03793E-05 616.785
5.17899E-05 608.327
5.32005E-05 600.208
5.60218E-05 584.899
6.16643E-05 557.497
7.50000E-05 505.509
7.54771E-05 503.909
7.65338E-05 500.418
7.75905E-05 496.999
7.97038E-05 490.366
8.39305E-05 477.859
9.23839E-05 455.472
0.000100000 437.784
0.000113078 411.690
0.000138408 372.117
0.000150000 357.449
0.000169411 336.348
0.000200000 309.559
0.000207359 304.017
0.000230583 288.300
0.000253807 274.794
0.000275000 263.993
0.000310661 248.379
0.000350000 234.005
0.000380248 224.504
0.000465424 202.924
0.000500000 195.782
0.000569679 183.418
0.000697287 165.787
0.000750000 159.855
0.000853480 149.851
0.00100000 138.438
0.00104466 135.447
0.00116166 128.445
0.00127866 122.427
0.00150000 113.034
0.00156509 110.659
0.00174037 104.938
0.00191566 100.022
0.00200000 97.8898
0.00234478 90.4067
0.00275000 83.4802
0.00287000 81.7162
0.00318500 77.5699
0.00350000 73.9968
0.00351289 73.8610
0.00356207 73.3493
0.00361125 72.8481
0.00370961 71.8757
0.00390633 70.0424
0.00429977 66.7608
0.00500000 61.9094
0.00526292 60.3431
0.00585237 57.2233
0.00644182 54.5422
0.00750000 50.5478
0.00788479 49.2988
0.00876789 46.7499
0.00965099 44.5594
0.0100000 43.7748
0.0109064 41.9160
0.0118128 40.2755
0.0144589 36.4033
0.0150000 35.7405
0.0163488 34.2341
0.0176977 32.9033
0.0200000 30.9510
0.0216619 29.7396
0.0253000 27.5176
0.0324534 24.2950
0.0376500 22.5552
0.0397230 21.9585
0.0441720 20.8226
0.0486210 19.8464
0.0500000 19.5707
0.0547561 18.7008
0.0595122 17.9373
0.0728427 16.2117
0.0750000 15.9766
0.0820798 15.2713
0.0891596 14.6517
0.100000 13.8339
0.109132 13.2417
0.133577 11.9672
0.150000 11.2921
0.163498 10.8152
0.200000 9.77692
0.200122 9.77394
