34-Se_n-g
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
1.508000e+02 1.04108125e-01
1.509520e+02 1.21493205e-01
1.511050e+02 1.54469347e-01
1.511810e+02 1.82881050e-01
1.512580e+02 2.26255713e-01
1.513340e+02 2.94795875e-01
1.514100e+02 4.03710182e-01
1.515050e+02 6.04501292e-01
1.516000e+02 7.38256748e-01
1.516950e+02 6.04845466e-01
1.517900e+02 4.04150554e-01
1.518850e+02 2.74825137e-01
1.519810e+02 2.02482616e-01
1.520760e+02 1.60834291e-01
1.521720e+02 1.35404825e-01
1.523620e+02 1.07826632e-01
1.525530e+02 9.42045455e-02
1.529350e+02 8.18751904e-02
1.533160e+02 7.66843144e-02
1.540790e+02 7.25314617e-02
1.548430e+02 7.09866919e-02
1.578950e+02 6.97688826e-02
1.640000e+02 7.11143067e-02
1.701050e+02 7.49507731e-02
1.731580e+02 8.02009874e-02
1.739210e+02 8.36444864e-02
1.746840e+02 9.14719545e-02
1.750000e+02 9.90441094e-02
1.750650e+02 1.00604133e-01
1.754470e+02 1.21676512e-01
1.756380e+02 1.44685348e-01
1.758290e+02 1.91046944e-01
1.759240e+02 2.33712951e-01
1.760190e+02 3.03548626e-01
1.761150e+02 4.24832433e-01
1.762100e+02 6.41424290e-01
1.763050e+02 9.78142868e-01
1.764000e+02 1.20259897e+00
1.764950e+02 9.78876495e-01
1.765900e+02 6.42527594e-01
1.766820e+02 4.32584724e-01
1.767730e+02 3.12551680e-01
1.768640e+02 2.42125843e-01
1.769560e+02 1.98641342e-01
1.771390e+02 1.50958642e-01
1.773220e+02 1.27251690e-01
1.776870e+02 1.05868643e-01
1.780530e+02 9.70901607e-02
1.787850e+02 9.06765824e-02
1.795160e+02 8.90057016e-02
1.824430e+02 9.21120287e-02
1.875000e+02 1.09284697e-01
1.882950e+02 1.12023177e-01
1.912210e+02 1.30029314e-01
1.941480e+02 1.58055173e-01
1.970740e+02 2.04785360e-01
2.000000e+02 2.91017583e-01
2.013340e+02 3.56832268e-01
2.026680e+02 4.53692660e-01
2.040010e+02 6.04674905e-01
2.043210e+02 6.65637626e-01
2.053350e+02 8.58852947e-01
2.066690e+02 1.33576932e+00
2.073360e+02 1.74766504e+00
2.080030e+02 2.38918560e+00
2.086410e+02 3.41643572e+00
2.086690e+02 3.46151981e+00
2.093360e+02 5.42551902e+00
2.096700e+02 7.05607631e+00
2.100030e+02 9.45685148e+00
2.103370e+02 1.30804487e+01
2.106700e+02 1.85471486e+01
2.108020e+02 2.16587449e+01
2.111350e+02 2.95084609e+01
2.116000e+02 3.67020821e+01
2.118820e+02 3.22213077e+01
2.120700e+02 2.92341277e+01
2.125400e+02 1.82045700e+01
2.128440e+02 1.32158129e+01
2.129620e+02 1.18865838e+01
2.131480e+02 9.79136068e+00
2.135020e+02 7.47754915e+00
2.137570e+02 5.81082269e+00
2.140420e+02 4.85957046e+00
2.143650e+02 3.78148752e+00
2.145820e+02 3.37438281e+00
2.149730e+02 2.64084752e+00
2.151220e+02 2.47065339e+00
2.155820e+02 1.94522638e+00
2.156620e+02 1.88569727e+00
2.161900e+02 1.49281036e+00
2.162020e+02 1.48758290e+00
2.172830e+02 1.01669278e+00
2.174070e+02 9.62680489e-01
2.183630e+02 7.38268728e-01
2.186230e+02 6.77242604e-01
2.194430e+02 5.62423225e-01
2.198400e+02 5.06850086e-01
2.210560e+02 3.97327858e-01
2.216030e+02 3.63882328e-01
2.222730e+02 3.22958134e-01
2.237640e+02 2.66989718e-01
2.247060e+02 2.31700260e-01
2.259240e+02 2.05986863e-01
2.271400e+02 1.80425115e-01
2.280840e+02 1.68273133e-01
2.295730e+02 1.49267902e-01
2.302440e+02 1.43735300e-01
2.320060e+02 1.29587627e-01
2.345650e+02 1.18147022e-01
2.368730e+02 1.08800202e-01
2.388860e+02 1.05453004e-01
2.417390e+02 1.02685328e-01
2.432060e+02 1.02963203e-01
2.444330e+02 1.04696184e-01
2.456830e+02 1.06544920e-01
2.466060e+02 1.07924657e-01
2.475270e+02 1.09883465e-01
2.496870e+02 1.17830023e-01
2.514720e+02 1.27356075e-01
2.518480e+02 1.29551411e-01
2.540080e+02 1.47578093e-01
2.561680e+02 1.74143167e-01
2.583290e+02 2.14992022e-01
