40-Zr_n-g
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
2.391830e+02 1.81756018e-01
2.393390e+02 2.58558171e-01
2.394950e+02 3.98242814e-01
2.395730e+02 5.15055421e-01
2.396510e+02 6.90706830e-01
2.397290e+02 9.70863564e-01
2.398070e+02 1.44816916e+00
2.398850e+02 2.32826827e+00
2.399630e+02 4.02567706e+00
2.400320e+02 6.43506190e+00
2.401000e+02 8.04081422e+00
2.401690e+02 6.43678262e+00
2.402370e+02 4.02791795e+00
2.402880e+02 2.80495068e+00
2.403380e+02 2.00705308e+00
2.403890e+02 1.48533581e+00
2.404390e+02 1.13472351e+00
2.405410e+02 7.16769190e-01
2.406420e+02 4.91104320e-01
2.407430e+02 3.56867864e-01
2.408440e+02 2.71211765e-01
2.410460e+02 1.72486233e-01
2.412490e+02 1.20159919e-01
2.414510e+02 8.92114905e-02
2.418560e+02 5.60450434e-02
2.422600e+02 3.96310366e-02
2.426650e+02 3.03582528e-02
2.434740e+02 2.08696639e-02
2.442830e+02 1.64259236e-02
2.450920e+02 1.40545174e-02
2.467110e+02 1.18826853e-02
2.499480e+02 1.10001483e-02
2.503900e+02 1.10806882e-02
2.531840e+02 1.16509178e-02
2.566890e+02 1.34505896e-02
2.596580e+02 1.50604049e-02
2.629880e+02 1.85069105e-02
2.661320e+02 2.19305849e-02
2.692860e+02 2.75237996e-02
2.693680e+02 2.76785694e-02
2.726050e+02 3.66156835e-02
2.750000e+02 4.70887034e-02
2.755850e+02 4.96470831e-02
2.758420e+02 5.08158903e-02
2.787340e+02 7.36416062e-02
2.790790e+02 7.64432444e-02
2.806970e+02 9.77189050e-02
2.818840e+02 1.20969255e-01
2.823160e+02 1.29615100e-01
2.839340e+02 1.81102045e-01
2.850330e+02 2.42556689e-01
2.855520e+02 2.72042294e-01
2.863620e+02 3.46761749e-01
2.871710e+02 4.57605388e-01
2.879800e+02 6.32933734e-01
2.881830e+02 7.08839533e-01
2.887890e+02 9.36259491e-01
2.891940e+02 1.17829559e+00
2.895980e+02 1.52887512e+00
2.897570e+02 1.73894975e+00
2.900030e+02 2.06440392e+00
2.904080e+02 2.93974104e+00
2.908120e+02 4.50990523e+00
2.910150e+02 5.80415602e+00
2.912170e+02 7.72700221e+00
2.913320e+02 9.43944536e+00
2.914190e+02 1.07352297e+01
2.916210e+02 1.57384004e+01
2.918240e+02 2.46199409e+01
2.920260e+02 4.09540214e+01
2.922180e+02 6.54331773e+01
2.924100e+02 8.16841463e+01
2.926020e+02 6.53360784e+01
2.927940e+02 4.08619256e+01
2.929070e+02 3.11233016e+01
2.929470e+02 2.76762725e+01
2.931000e+02 1.93683836e+01
2.932530e+02 1.40904556e+01
2.934050e+02 1.06273364e+01
2.937110e+02 6.59560754e+00
2.940170e+02 4.46872057e+00
2.943230e+02 3.22586862e+00
2.944810e+02 2.81983992e+00
2.946280e+02 2.44357049e+00
2.952400e+02 1.56012087e+00
2.952690e+02 1.53845792e+00
2.958510e+02 1.11130597e+00
2.960560e+02 1.02610751e+00
2.964620e+02 8.67024969e-01
2.968430e+02 7.80794949e-01
2.970740e+02 7.39640205e-01
2.976310e+02 6.92437291e-01
2.976850e+02 6.91708640e-01
2.980240e+02 7.12835651e-01
2.984180e+02 7.72010012e-01
2.988120e+02 8.92817972e-01
2.989080e+02 9.51684678e-01
2.992050e+02 1.14921242e+00
2.995990e+02 1.67870698e+00
2.997960e+02 2.16019666e+00
2.999930e+02 2.94208154e+00
3.001310e+02 3.90732560e+00
3.001900e+02 4.32151571e+00
3.003860e+02 7.04474555e+00
3.004850e+02 9.47961479e+00
3.005830e+02 1.33398937e+01
3.006820e+02 1.97554109e+01
3.007800e+02 3.06291299e+01
3.008900e+02 4.93327446e+01
3.010000e+02 6.19687593e+01
3.011100e+02 4.92997740e+01
3.012200e+02 3.06007087e+01
3.013170e+02 1.98399613e+01
3.013540e+02 1.73995575e+01
3.014140e+02 1.34429914e+01
3.015110e+02 9.56858679e+00
3.016080e+02 7.11333422e+00
3.018020e+02 4.34667708e+00
3.019970e+02 2.92899314e+00
3.021910e+02 2.11315480e+00
3.023850e+02 1.60274885e+00
3.025760e+02 1.31750380e+00
3.027730e+02 1.02548005e+00
3.031610e+02 7.23825080e-01
3.035500e+02 5.45101589e-01
3.039380e+02 4.29503816e-01
3.043260e+02 3.49634043e-01
3.050220e+02 2.57842461e-01
3.051030e+02 2.47757787e-01
3.058790e+02 1.90155394e-01
3.066560e+02 1.51818785e-01
3.074320e+02 1.24076992e-01
3.074680e+02 1.23174185e-01
3.089850e+02 9.05311157e-02
3.099130e+02 7.71638265e-02
3.105380e+02 6.93667777e-02
3.120910e+02 5.53231990e-02
3.123590e+02 5.33976649e-02
3.136440e+02 4.60744370e-02
3.167500e+02 3.28299319e-02
3.172500e+02 3.11716124e-02
3.198560e+02 2.50805395e-02
3.221410e+02 2.07743458e-02
3.229620e+02 1.96101076e-02
3.260680e+02 1.59618799e-02
3.270320e+02 1.50099103e-02
3.319240e+02 1.14022292e-02
3.322790e+02 1.12082720e-02
3.384910e+02 8.57858954e-03
3.417060e+02 7.40592786e-03
3.447030e+02 6.68736649e-03
3.500000e+02 5.58389458e-03
3.509150e+02 5.39356404e-03
3.514880e+02 5.28819990e-03
3.612710e+02 4.06779196e-03
3.633390e+02 3.87509832e-03
3.710530e+02 3.27865446e-03
3.757630e+02 3.02875555e-03
3.881860e+02 2.46350592e-03
3.906180e+02 2.36273222e-03
4.006100e+02 2.11595533e-03
4.101830e+02 1.90945368e-03
4.254580e+02 1.80333640e-03
4.297480e+02 1.78237768e-03
4.346390e+02 1.90686963e-03
4.395300e+02 2.36072468e-03
4.419760e+02 3.03320251e-03
4.431980e+02 3.71388722e-03
4.444210e+02 4.96052815e-03
4.450330e+02 6.01076811e-03
4.456440e+02 7.61104914e-03
4.462550e+02 1.02215004e-02
4.468670e+02 1.49068297e-02
4.471720e+02 1.87881408e-02
4.474780e+02 2.46142115e-02
4.477840e+02 3.39341901e-02
4.480900e+02 5.02078760e-02
4.483950e+02 8.25038371e-02
4.485480e+02 1.12113404e-01
4.487010e+02 1.61192476e-01
4.488540e+02 2.51201098e-01
4.489300e+02 3.26957186e-01
4.490070e+02 4.41904732e-01
4.490830e+02 6.26968304e-01
4.491590e+02 9.47578452e-01
4.492360e+02 1.55157550e+00
4.493120e+02 2.75530175e+00
4.493760e+02 4.40745778e+00
4.494400e+02 5.50891377e+00
4.495040e+02 4.40804083e+00
4.495680e+02 2.75605272e+00
4.496170e+02 1.88814069e+00
4.496660e+02 1.33296373e+00
4.497160e+02 9.76095766e-01
4.497650e+02 7.39851786e-01
4.498630e+02 4.61629150e-01
4.499620e+02 3.13227521e-01
4.500600e+02 2.25796497e-01
4.501590e+02 1.70281883e-01
4.503050e+02 1.23154143e-01
4.503560e+02 1.06691764e-01
4.505530e+02 7.31589346e-02
4.507500e+02 5.33849673e-02
4.509470e+02 4.07691355e-02
4.511440e+02 3.22359252e-02
4.515380e+02 2.17711281e-02
4.519320e+02 1.58440356e-02
4.523260e+02 1.21658799e-02
4.527200e+02 9.72762399e-03
4.535080e+02 6.79694064e-03
4.542960e+02 5.16879831e-03
4.558720e+02 3.51439305e-03
4.574480e+02 2.73011000e-03
4.590240e+02 2.29516166e-03
4.621760e+02 1.84953806e-03
4.684800e+02 1.50694436e-03
4.747840e+02 1.36768961e-03
4.751530e+02 1.36485254e-03
5.000000e+02 1.18707828e-03
5.452370e+02 1.18901990e-03
5.461800e+02 1.19346192e-03
5.678560e+02 1.30138327e-03
5.904750e+02 1.55506874e-03
5.923600e+02 1.60452345e-03
6.130930e+02 2.15207475e-03
6.244030e+02 2.76369495e-03
6.357120e+02 3.89132334e-03
6.413670e+02 4.84697901e-03
6.470210e+02 6.31191088e-03
6.526760e+02 8.72265469e-03
6.583300e+02 1.31086014e-02
6.611580e+02 1.67945692e-02
6.639850e+02 2.24084700e-02
6.668120e+02 3.15742863e-02
6.696400e+02 4.80714745e-02
6.710530e+02 6.17883605e-02
6.724670e+02 8.24617582e-02
6.738810e+02 1.15730391e-01
6.752940e+02 1.74344219e-01
6.760010e+02 2.22045762e-01
6.767080e+02 2.92416193e-01
6.774150e+02 4.02408932e-01
6.781220e+02 5.88201747e-01
6.784750e+02 7.33176346e-01
6.788290e+02 9.38476396e-01
6.791820e+02 1.24230600e+00
6.795350e+02 1.71766359e+00
6.798890e+02 2.51689771e+00
6.802420e+02 3.99376373e+00
6.804190e+02 5.23077988e+00
6.805960e+02 7.06877288e+00
6.807720e+02 9.87460309e+00
6.809490e+02 1.41665896e+01
6.811900e+02 2.26606905e+01
6.814300e+02 2.83137752e+01
6.816710e+02 2.26415041e+01
6.819110e+02 1.41478518e+01
6.821170e+02 9.31230103e+00
6.823220e+02 6.36855442e+00
6.825280e+02 4.55380910e+00
6.827340e+02 3.38854470e+00
6.831450e+02 2.06197027e+00
6.835570e+02 1.37636078e+00
6.839680e+02 9.80422523e-01
6.843790e+02 7.32514212e-01
6.847200e+02 6.16431325e-01
6.852020e+02 4.52349405e-01
6.860250e+02 3.06461106e-01
6.868480e+02 2.21159685e-01
6.876700e+02 1.67058840e-01
6.884930e+02 1.30629495e-01
6.901380e+02 8.61643609e-02
6.917840e+02 6.11090414e-02
6.934290e+02 4.56209041e-02
6.950750e+02 3.53869803e-02
6.983660e+02 2.31334071e-02
7.016570e+02 1.63597941e-02
7.049480e+02 1.22275935e-02
7.082390e+02 9.52348577e-03
7.148210e+02 6.31776747e-03
7.214020e+02 4.56307598e-03
7.279840e+02 3.49985034e-03
7.345660e+02 2.80744570e-03
7.477300e+02 1.99069380e-03
7.500000e+02 1.91406062e-03
7.608940e+02 1.54792732e-03
7.770800e+02 1.28092068e-03
7.872210e+02 1.11436403e-03
8.135490e+02 9.33926750e-04
8.232600e+02 9.20421897e-04
8.398770e+02 9.02434911e-04
8.463500e+02 9.38391116e-04
8.530400e+02 9.91436525e-04
8.578950e+02 1.07214804e-03
8.596220e+02 1.11550089e-03
8.607810e+02 1.16079925e-03
8.636670e+02 1.33288121e-03
8.651100e+02 1.50007543e-03
8.662040e+02 1.80124493e-03
8.665530e+02 1.90952424e-03
8.672750e+02 2.44455395e-03
8.676360e+02 2.95063721e-03
8.679960e+02 3.84417755e-03
8.683570e+02 5.68559201e-03
8.685380e+02 7.45873889e-03
8.687180e+02 1.05779789e-02
