As-75(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
455.059 34.6975
455.121 44.5423
455.184 58.6770
455.247 79.3562
455.309 109.450
455.357 140.010
455.405 174.820
455.500 218.305
455.548 205.477
455.596 174.778
455.691 109.401
455.773 71.9272
455.855 49.1632
455.938 35.1584
456.020 26.1891
456.184 15.9850
456.348 10.7176
456.513 7.67945
456.677 5.77850
457.006 3.63173
457.334 2.51498
457.663 1.86298
458.320 1.17266
458.977 0.835362
459.635 0.646922
460.949 0.457355
462.264 0.371860
463.578 0.329492
466.207 0.301205
468.836 0.313105
471.465 0.370676
472.780 0.443616
474.094 0.626764
474.751 0.856807
475.080 1.07130
475.409 1.43716
475.737 2.14205
475.902 2.76957
476.066 3.78029
476.230 5.55497
476.394 9.06702
476.477 12.2314
476.559 17.2809
476.641 25.7696
476.682 32.0913
476.723 40.2953
476.767 51.4932
476.812 64.2600
476.900 80.2315
476.989 64.2506
477.077 40.2864
477.140 28.5497
477.202 20.7630
477.265 15.5797
477.327 12.0566
477.452 7.79637
477.577 5.46469
477.703 4.06821
477.828 3.17184
478.078 2.13596
478.328 1.58633
478.578 1.26256
479.078 0.920502
479.579 0.757851
480.079 0.672796
481.080 0.604399
483.081 0.626127
485.083 0.767366
487.084 1.09371
488.085 1.41364
489.085 1.98222
490.086 3.14907
490.586 4.26315
491.087 6.20124
491.587 10.0357
491.837 13.5417
492.087 19.3425
492.338 29.9498
492.463 38.8612
492.588 52.3396
492.713 73.9871
492.838 111.327
492.963 181.216
493.088 319.079
493.194 509.927
493.300 636.969
493.406 509.777
493.512 318.915
493.613 200.449
493.715 132.404
493.816 92.4002
493.918 67.6221
494.019 51.4142
494.120 40.3299
494.323 26.6740
494.526 18.9443
494.729 14.1737
495.134 8.85230
495.540 6.11867
495.945 4.53601
496.756 2.87693
497.567 2.07792
498.378 1.63954
500.000 1.21675
501.994 1.02811
503.989 0.984717
507.978 1.09975
511.966 1.42243
513.961 1.68501
515.955 2.05080
517.949 2.57233
519.944 3.34413
521.938 4.54817
523.933 6.56906
524.930 8.13386
525.927 10.3340
526.924 13.5579
527.921 18.5340
528.919 26.7402
529.916 41.4688
530.414 53.4480
530.913 70.7558
531.412 96.2745
531.910 133.797
532.655 213.841
533.400 266.831
534.145 213.109
534.890 133.084
535.397 95.1887
535.903 69.6125
536.409 52.3690
536.916 40.4959
537.929 25.9738
538.942 17.9274
539.954 13.0663
540.967 9.92579
542.993 6.26892
545.019 4.31075
547.045 3.14500
549.070 2.39649
551.096 1.88797
555.147 1.26187
559.199 0.906255
563.250 0.685486
567.302 0.539387
575.405 0.364927
583.508 0.269840
591.611 0.213749
599.714 0.179520
615.919 0.149085
632.125 0.159939
640.228 0.193961
644.280 0.229623
648.331 0.294537
652.383 0.430684
654.408 0.563576
656.434 0.801140
658.460 1.29322
659.473 1.76718
660.486 2.59926
661.499 4.26795
662.005 5.81561
662.511 8.41785
662.765 10.4396
663.018 13.2903
663.271 17.4860
663.524 24.0015
663.777 34.8395
664.031 54.5444
664.157 70.7794
664.284 94.5232
664.410 130.059
664.537 183.207
664.719 292.837
664.900 365.781
665.082 292.683
665.263 183.050
665.394 128.297
665.526 92.2649
665.657 68.5250
665.789 52.4745
666.051 33.2226
666.314 22.7603
666.577 16.5171
666.840 12.5206
667.365 7.90471
667.891 5.45277
668.416 4.00056
669.467 2.44234
670.518 1.67019
671.569 1.23362
673.671 0.786356
675.773 0.576642
677.875 0.464865
682.079 0.364227
686.283 0.334602
690.487 0.339532
698.896 0.423195
707.304 0.642370
711.508 0.856753
713.610 1.01446
714.661 1.11209
715.712 1.22591
716.763 1.35969
717.814 1.51835
718.865 1.70854
719.916 1.93926
720.967 2.22312
722.018 2.57810
723.069 3.03079
724.120 3.62187
725.171 4.41660
726.222 5.52535
727.273 7.14966
728.324 9.69406
729.375 14.0866
729.901 17.6404
730.426 22.9083
730.952 31.2644
731.477 45.7498
731.740 57.2970
732.003 73.7977
732.265 97.9649
732.528 133.383
732.914 207.519
733.300 258.163
733.686 213.835
734.072 146.817
734.347 115.873
734.622 98.0240
735.172 88.2735
735.722 103.601
736.272 146.025
736.836 220.192
737.400 269.576
737.964 215.300
738.528 135.622
739.059 86.7310
739.590 58.2667
740.121 41.2922
740.652 30.6308
741.714 18.6941
742.776 12.5811
743.837 9.05082
744.899 6.83037
747.023 4.29711
749.147 2.95861
751.271 2.16497
755.518 1.30843
759.766 0.879470
764.013 0.634102
768.261 0.480636
772.508 0.378285
781.003 0.254552
789.498 0.185598
797.993 0.143514
806.488 0.116256
823.478 0.0856152
840.468 0.0730496
857.458 0.0760577
865.953 0.0919695
868.077 0.102820
870.200 0.126934
871.262 0.155709
871.793 0.182442
872.324 0.228709
872.855 0.321262
873.120 0.407754
873.386 0.555074
873.651 0.837706
873.784 1.08777
873.917 1.48766
874.050 2.18276
874.182 3.53307
874.249 4.72656
874.315 6.59268
874.381 9.64693
874.448 14.7012
874.524 23.4606
874.600 29.3008
874.676 23.4592
874.752 14.7000
874.833 8.87792
874.913 5.71185
874.993 3.92800
875.073 2.85535
875.153 2.16978
875.233 1.70852
875.393 1.14977
875.553 0.838744
875.714 0.649024
876.034 0.440268
876.354 0.334743
876.675 0.274729
877.315 0.213878
878.596 0.174148
879.878 0.167816
882.440 0.188086
885.003 0.241981
887.566 0.359644
888.847 0.474541
890.128 0.679222
891.409 1.10117
892.050 1.50594
892.691 2.21373
893.331 3.62511
893.652 4.92628
893.972 7.09999
894.292 11.1309
894.453 14.5676
894.613 19.8449
894.773 28.4987
894.933 43.8764
895.013 56.2742
895.093 74.0334
895.173 99.9451
895.253 137.566
895.377 220.071
895.500 274.999
895.623 219.950
895.747 137.514
895.874 83.3300
896.002 53.5813
896.130 36.6960
896.257 26.4892
