Ca-40(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 20.4967
1.25000E-05 18.3328
1.50000E-05 16.7355
2.00000E-05 14.4933
2.75000E-05 12.3600
3.50000E-05 10.9559
4.25000E-05 9.94235
5.00000E-05 9.16640
6.25000E-05 8.19867
7.50000E-05 7.48433
0.000100000 6.48162
0.000125000 5.79734
0.000150000 5.29222
0.000200000 4.58320
0.000275000 3.90856
0.000350000 3.46457
0.000425000 3.14405
0.000500000 2.89867
0.000625000 2.59265
0.000750000 2.36675
0.00100000 2.04967
0.00125000 1.83328
0.00150000 1.67355
0.00200000 1.44933
0.00275000 1.23600
0.00350000 1.09559
0.00425000 0.994235
0.00500000 0.916639
0.00625000 0.819867
0.00750000 0.748433
0.0100000 0.648162
0.0125000 0.579734
0.0150000 0.529222
0.0200000 0.458320
0.0253000 0.407496
0.0314750 0.365343
0.0376500 0.334042
0.0500000 0.289866
0.0625000 0.259264
0.0750000 0.236675
0.100000 0.204966
0.125000 0.183327
0.150000 0.167354
0.200000 0.144933
0.275000 0.123599
0.350000 0.109558
0.500000 0.0916625
0.750000 0.0748415
1.00000 0.0648141
1.50000 0.0529197
2.00000 0.0458291
2.75000 0.0390822
3.50000 0.0346419
5.00000 0.0289821
7.50000 0.0236619
10.0000 0.0204902
15.0000 0.0167275
20.0000 0.0144841
27.5000 0.0123491
35.0000 0.0109437
50.0000 0.00915180
75.0000 0.00746647
100.000 0.00646101
150.000 0.00526701
200.000 0.00455412
275.000 0.00387454
350.000 0.00342626
500.000 0.00285306
750.000 0.00231127
1000.00 0.00198602
1500.00 0.00159663
2000.00 0.00136175
2440.41 0.00121698
2660.62 0.00116024
2770.72 0.00114262
2825.77 0.00116656
2853.30 0.00130605
2867.06 0.00187755
2873.94 0.00410780
2877.38 0.0125209
2879.10 0.0423784
2879.53 0.0697515
2879.96 0.136643
2880.18 0.213409
2880.39 0.377008
2880.61 0.815379
2880.72 1.34925
2880.82 2.41866
2880.91 3.87058
2881.00 4.83913
2881.09 3.87070
2881.18 2.41880
2881.25 1.62914
2881.32 1.13464
2881.46 0.620681
2881.60 0.384045
2881.74 0.259217
2882.02 0.139795
2882.31 0.0873241
2882.87 0.0435057
2883.44 0.0262314
2885.69 0.00789487
2890.21 0.00287038
2899.25 0.00155343
2917.32 0.00121345
2953.46 0.00112379
2989.60 0.00111938
3007.67 0.00118854
3016.71 0.00148200
3021.23 0.00259284
3023.49 0.00649539
3024.62 0.0185327
3025.18 0.0480685
3025.46 0.0989268
3025.75 0.267014
3026.00 0.533053
3026.26 0.267081
3026.45 0.128673
3026.65 0.0714831
3027.05 0.0306663
3027.85 0.0110484
3029.44 0.00399784
3032.62 0.00186976
3038.98 0.00128317
3051.70 0.00112609
3077.15 0.00108012
3128.04 0.00105832
3229.82 0.00103464
3433.38 0.000996113
3840.50 0.000930175
4247.62 0.000874223
4451.18 0.000850253
4552.97 0.000843519
4603.86 0.000858874
4629.30 0.000940310
4642.02 0.00126932
4648.38 0.00253145
4651.57 0.00713440
4653.16 0.0224132
4653.95 0.0649831
4654.35 0.153661
4654.55 0.278010
4654.75 0.576663
4655.00 1.15195
4655.26 0.576758
4655.42 0.306885
4655.59 0.181184
4655.93 0.0815869
4656.60 0.0293160
4657.95 0.00938538
4660.64 0.00317783
4666.03 0.00144158
4676.80 0.000981198
4698.35 0.000860498
4741.44 0.000825626
4827.63 0.000808666
5000.00 0.000788804
5489.46 0.000741978
5978.91 0.000701467
6468.36 0.000666815
6713.09 0.000656189
6835.46 0.000672155
6896.64 0.000763901
6927.23 0.00114247
6942.52 0.00264354
6950.17 0.00848934
6954.00 0.0306162
6955.91 0.109835
6956.39 0.183119
6956.86 0.364181
6957.10 0.574805
6957.34 1.03195
6957.46 1.49006
6957.58 2.30133
6957.70 3.89683
6957.76 5.28609
6957.82 7.27729
6957.91 11.6434
6958.00 14.5543
6958.09 11.6436
6958.18 7.27745
6958.25 5.17595
6958.31 3.78539
6958.43 2.19442
6958.56 1.40460
6958.68 0.970852
6958.93 0.537473
6959.18 0.339387
6959.68 0.169869
6960.18 0.101750
6962.17 0.0283103
6966.16 0.00787595
6974.13 0.00248536
6990.09 0.00109987
7021.99 0.000746867
7085.80 0.000654482
7213.41 0.000624569
7468.64 0.000604259
7979.09 0.000575674
9000.00 0.000529329
10000.0 0.000503175
10416.3 0.000540684
10624.5 0.000743953
10728.6 0.00158163
10780.6 0.00492555
10793.7 0.00837125
10806.7 0.0181267
10813.2 0.0316373
10819.7 0.0694577
10822.9 0.121332
10824.6 0.172472
10826.2 0.263724
10827.8 0.454400
10828.6 0.636917
10829.4 0.956085
10829.8 1.21762
10830.3 1.60267
10830.7 2.20266
10831.1 3.17914
10831.5 5.03377
10831.7 6.57630
10831.9 8.93015
10832.1 13.0025
10832.3 19.9255
10832.5 33.3526
10832.6 44.7936
10832.7 62.9563
10832.8 99.6093
10833.0 125.727
10833.2 99.6070
10833.3 62.7540
10833.5 40.8981
10833.6 27.5389
10833.7 19.4679
10833.9 14.3650
10834.2 8.64410
10834.4 5.72980
10834.7 4.06285
10835.0 3.02570
10835.6 1.86041
10836.1 1.25702
10836.7 0.905374
10837.8 0.533282
10838.9 0.350995
10840.0 0.248414
10842.3 0.143194
10844.5 0.0930890
10846.8 0.0653870
10851.2 0.0374514
10860.2 0.0171021
10869.1 0.00987908
10887.0 0.00467040
10904.9 0.00283505
10976.5 0.00105231
11119.8 0.000599385
11406.2 0.000477749
11979.2 0.000432723
13125.0 0.000395998
15416.7 0.000347550
17708.3 0.000321836
18854.2 0.000343725
19427.1 0.000420728
19713.6 0.000553101
19856.8 0.000707165
20000.0 0.00104140
20106.6 0.00162962
20160.0 0.00221709
20213.3 0.00328964
20239.9 0.00419399
20266.6 0.00557579
20293.3 0.00784141
20319.9 0.0119433
20333.3 0.0153735
20346.6 0.0205720
20359.9 0.0290008
20373.2 0.0440134
20386.6 0.0747730
20393.2 0.103992
20399.9 0.154290
20403.2 0.194459
20406.6 0.252314
20409.9 0.340147
20411.6 0.402350
20413.2 0.482501
20414.9 0.589490
20416.6 0.735528
20418.2 0.941518
20419.9 1.24150
20421.6 1.70478
20423.2 2.45051
20424.9 3.73386
20425.7 4.69952
20426.6 5.97003
20428.3 9.55135
20430.0 11.9379
20431.7 9.54938
20433.4 5.96812
20434.8 4.08389
20436.1 2.88722
20437.4 2.11166
20438.7 1.60110
20441.4 0.997820
20444.0 0.676971
20446.7 0.487077
20449.3 0.366544
20454.6 0.228714
20459.9 0.155890
20465.2 0.113034
20470.5 0.0856430
20475.8 0.0671547
20486.4 0.0444625
20497.0 0.0316166
20507.6 0.0236496
20518.2 0.0183759
20539.3 0.0120377
20560.5 0.00852387
20581.7 0.00637557
20602.9 0.00496772
20645.2 0.00329438
20687.6 0.00237646
20729.9 0.00181903
20772.3 0.00145548
20857.0 0.00102558
20941.7 0.000790650
21111.1 0.000555366
21280.5 0.000445203
21449.9 0.000384474
21788.8 0.000322271
22466.4 0.000273418
23144.1 0.000252070
25854.8 0.000213940
31276.1 0.000173417
36697.4 0.000146585
39408.0 0.000138438
40763.3 0.000144201
41102.2 0.000153985
41441.0 0.000183990
41610.4 0.000226882
41779.8 0.000349959
41864.5 0.000521981
41949.3 0.00101075
41991.6 0.00168985
42034.0 0.00360599
42055.1 0.00624730
42076.3 0.0136066
42086.9 0.0235934
42097.5 0.0507661
42102.8 0.0865371
42108.1 0.179073
42110.7 0.293605
42113.4 0.562842
42114.7 0.861587
42116.0 1.45992
42116.7 2.00861
42117.3 2.90216
42118.0 4.44218
42118.7 7.16880
42119.3 11.4699
42120.0 14.3372
42120.3 13.4699
42120.7 11.4696
42121.3 7.16850
42122.1 4.29196
42122.8 2.75097
42123.5 1.86997
42124.2 1.34780
42125.6 0.784448
42127.0 0.511106
42129.8 0.264283
42132.6 0.160694
42138.2 0.0773241
42143.8 0.0453034
42155.1 0.0210057
42166.3 0.0121074
42188.8 0.00555586
42211.3 0.00320955
42256.3 0.00150882
42301.3 0.000906742
42391.2 0.000473471
42481.2 0.000320853
42661.1 0.000211160
42841.0 0.000172345
43200.8 0.000143916
43560.7 0.000133292
45000.0 0.000120189
45624.9 0.000118126
45937.3 0.000119309
46093.5 0.000127997
46171.6 0.000164506
46210.7 0.000310369
46230.2 0.000885530
46240.0 0.00311323
46244.9 0.0114663
46247.3 0.0408311
46248.5 0.131928
46249.1 0.357553
46249.4 0.764195
46249.7 2.14978
46250.0 4.29973
46250.3 2.14982
