Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1745.37 5.96090
1787.81 5.85989
1830.25 5.78716
1872.69 5.73161
1915.13 5.68728
1957.56 5.65072
2000.00 5.61984
2022.27 5.60550
2044.54 5.59238
2066.82 5.58059
2089.09 5.57060
2111.36 5.56402
2122.50 5.56355
2133.63 5.56756
2139.20 5.57293
2144.77 5.58267
2150.34 5.60052
2155.90 5.63542
2158.69 5.66583
2161.47 5.71311
2164.26 5.79176
2167.04 5.93600
2168.43 6.05775
2169.82 6.24368
2171.22 6.54800
2172.61 7.09705
2173.30 7.55441
2174.00 8.24475
2174.70 9.35777
2175.39 11.3238
2175.74 12.9273
2176.09 15.2986
2176.44 19.0161
2176.78 25.3223
2177.13 37.2858
2177.31 47.7343
2177.48 64.1963
2177.65 92.1536
2177.83 144.607
2177.91 189.233
2178.00 256.544
2178.09 361.271
2178.17 522.658
2178.29 833.746
2178.40 1041.40
2178.51 833.518
2178.63 522.414
2178.75 313.181
2178.87 201.439
2178.99 138.767
2179.11 101.190
2179.23 77.0560
2179.35 60.9959
2179.59 41.5399
2179.83 30.6804
2180.07 24.0812
2180.55 16.7909
2181.03 13.0689
2181.51 10.9270
2181.99 9.57850
2182.47 8.67866
2183.43 7.58580
2184.39 6.97485
2185.36 6.59876
2186.32 6.35091
2188.24 6.05468
2190.16 5.89116
2192.08 5.79127
2194.01 5.72569
2197.85 5.64735
2201.69 5.60377
2205.54 5.57672
2209.38 5.55854
2217.07 5.53574
2224.76 5.52183
2240.14 5.50473
2255.52 5.49338
2270.90 5.48436
2301.65 5.46921
2332.41 5.45576
2363.17 5.44307
2424.68 5.41878
2547.71 5.37141
2670.74 5.32251
2793.76 5.26895
2916.79 5.20683
2978.31 5.17083
3009.06 5.15120
3039.82 5.13034
3070.58 5.10829
3101.33 5.08592
3116.71 5.07610
3132.09 5.07189
3139.78 5.07804
3143.62 5.08764
3147.47 5.10811
3151.31 5.15589
3153.23 5.20514
3155.16 5.29615
3156.12 5.37332
3157.08 5.49123
3158.04 5.68436
3159.00 6.03291
3159.48 6.32359
3159.96 6.76137
3160.44 7.46858
3160.92 8.71483
3161.16 9.73572
3161.40 11.2396
3161.64 13.5964
3161.88 17.5922
3162.13 25.2129
3162.25 31.8499
3162.37 42.3084
3162.49 60.0757
3162.61 93.4321
3162.67 121.832
3162.73 164.708
3162.79 231.504
3162.85 336.103
3162.92 536.057
3163.00 666.989
3163.08 533.028
3163.16 335.746
3163.21 244.073
3163.26 182.379
3163.36 110.343
3163.46 73.4506
3163.56 52.6488
3163.66 39.9327
3163.76 31.6470
3163.96 21.9163
3164.16 16.6627
3164.36 13.5173
3164.76 10.1071
3165.16 8.39898
3165.56 7.42440
3165.96 6.81671
3166.36 6.41256
3167.16 5.92537
3167.96 5.65407
3168.76 5.48758
3169.56 5.37803
3171.16 5.24715
3172.76 5.17458
3175.96 5.10018
3179.16 5.06369
3182.36 5.04223
3188.76 5.01726
3201.56 4.98976
3214.36 4.96974
3239.96 4.93269
3265.56 4.89344
3291.16 4.84954
3316.76 4.79929
3367.97 4.67104
3419.17 4.48056
3444.77 4.34381
3470.37 4.15904
3495.97 3.89400
3508.77 3.71261
3521.57 3.48039
3534.38 3.17343
3540.78 2.98087
3547.18 2.75474
3553.58 2.49132
3556.78 2.34833
3559.98 2.20697
3563.18 2.09539
3564.78 2.07810
3566.38 2.13187
3567.98 2.36938
3568.78 2.65809
3569.58 3.22008
3570.38 4.43468
3570.78 5.61178
3571.18 7.65488
3571.58 11.6292
3571.78 15.1766
3571.98 20.8831
3572.18 30.8586
3572.38 50.4161
3572.48 67.8318
3572.58 95.3304
3572.68 140.759
3572.78 217.048
3572.89 346.703
3573.00 433.162
3573.11 346.668
3573.22 217.004
3573.32 143.063
3573.42 98.0979
3573.51 70.4013
3573.61 52.7760
3573.80 32.5416
3573.99 22.0561
3574.18 15.9877
3574.37 12.1779
3574.75 7.85221
3575.14 5.58032
3575.52 4.23564
3576.28 2.77333
3577.05 2.01727
3577.81 1.56125
3579.34 1.03064
3580.87 0.725388
3582.40 0.540598
3583.92 0.462267
3584.69 0.471888
3585.45 0.524488
3586.22 0.632849
3586.98 0.814693
3587.75 1.09576
3588.51 1.51290
3589.27 2.12080
3590.04 2.99791
3590.80 4.26676
3591.57 6.11853
3592.33 8.86795
3593.10 13.0335
3593.86 19.5509
3594.62 30.1761
3595.39 48.4815
3596.15 82.1499
3596.53 109.678
3596.92 149.255
3597.30 206.957
3597.68 290.861
3598.34 509.583
3599.00 694.729
3599.66 603.580
3600.32 408.346
3601.07 257.664
3601.82 174.223
3602.57 126.386
3603.32 97.0079
3604.06 77.7145
3604.81 64.3864
3606.31 47.5418
3607.81 37.5996
3609.30 31.1766
3612.30 23.5191
3615.29 19.1982
3618.29 16.4643
3621.28 14.5931
3624.28 13.2397
3630.27 11.4217
3636.25 10.2633
3642.24 9.46365
3648.23 8.87956
3660.21 8.08483
3672.19 7.56986
3684.17 7.20903
3696.14 6.94194
3720.10 6.57206
3744.06 6.32689
3768.01 6.15129
3791.97 6.01840
3839.88 5.82800
3887.79 5.69505
3983.61 5.51254
4079.43 5.38372
4127.35 5.33096
4175.26 5.28622
4199.21 5.26848
4223.17 5.25633
4247.12 5.25447
4271.08 5.27445
4283.06 5.30124
4295.04 5.35009
4307.01 5.44022
4318.99 5.61708
4324.98 5.77134
4330.97 6.01081
4336.96 6.40750
4342.95 7.12888
4345.94 7.73181
4348.94 8.64224
4351.93 10.1094
4354.92 12.6925
4356.42 14.7927
4357.92 17.8831
4359.42 22.6971
4360.91 30.7852
