Se-80(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 37.6313
1.25000E-05 34.3922
1.50000E-05 32.0012
2.00000E-05 28.6450
2.75000E-05 25.4516
3.50000E-05 23.3499
4.25000E-05 21.8327
5.00000E-05 20.6711
6.25000E-05 19.2226
7.50000E-05 18.1533
0.000100000 16.6523
0.000125000 15.6280
0.000150000 14.8719
0.000200000 13.8106
0.000275000 12.8008
0.000350000 12.1362
0.000425000 11.6564
0.000500000 11.2891
0.000625000 10.8310
0.000750000 10.4928
0.00100000 10.0182
0.00125000 9.69429
0.00150000 9.45519
0.00200000 9.11956
0.00275000 8.80022
0.00350000 8.59005
0.00425000 8.43833
0.00500000 8.32217
0.00625000 8.17731
0.00750000 8.07038
0.0100000 7.92028
0.0125000 7.81784
0.0150000 7.74222
0.0200000 7.63608
0.0253000 7.55998
0.0314750 7.49687
0.0376500 7.45000
0.0500000 7.38383
0.0625000 7.33799
0.0750000 7.30414
0.100000 7.25660
0.125000 7.22414
0.150000 7.20016
0.200000 7.16645
0.275000 7.13429
0.350000 7.11306
0.500000 7.08583
0.750000 7.05992
1.00000 7.04417
1.50000 7.02490
2.00000 7.01281
2.75000 7.00050
3.50000 6.99164
5.00000 6.97875
7.50000 6.96341
10.0000 6.95128
15.0000 6.93089
20.0000 6.91276
27.5000 6.88740
35.0000 6.86312
50.0000 6.81604
75.0000 6.73941
100.000 6.66363
150.000 6.51263
200.000 6.36124
275.000 6.13201
350.000 5.89886
500.000 5.41545
750.000 4.53024
1000.00 3.48008
1234.93 2.24706
1352.40 1.51382
1411.13 1.12347
1425.82 1.02572
1440.50 0.930506
1447.84 0.886467
1451.51 0.867198
1455.18 0.852469
1458.85 0.849119
1460.69 0.858049
1462.52 0.884485
1463.44 0.910995
1464.36 0.954730
1465.28 1.03032
1466.20 1.17178
1466.65 1.29206
1467.11 1.47563
1467.57 1.77447
1468.03 2.30563
1468.26 2.74358
1468.49 3.39183
1468.72 4.41939
1468.95 6.16974
1469.18 9.54836
1469.29 12.5422
1469.41 17.2772
1469.52 25.5424
1469.64 41.3531
1469.69 55.4725
1469.75 77.0698
1469.81 111.923
1469.87 168.819
1469.93 270.554
1470.00 337.091
1470.07 269.009
1470.14 168.886
1470.19 111.216
1470.25 76.1883
1470.31 54.6351
1470.37 40.8148
1470.48 25.1017
1470.60 16.9885
1470.72 12.3072
1470.83 9.37688
1471.06 6.06501
1471.30 4.34001
1471.53 3.33048
1471.76 2.68950
1471.99 2.25881
1472.45 1.72909
1472.92 1.42909
1473.38 1.24235
1473.85 1.11805
1474.77 0.966245
1475.70 0.879558
1476.63 0.824208
1477.55 0.785830
1479.41 0.735292
1481.26 0.702121
1484.97 0.656849
1488.68 0.622998
1492.39 0.593789
1499.81 0.541310
1529.48 0.357303
1559.15 0.201212
1573.99 0.137061
1588.83 0.0855883
1596.25 0.0656549
1603.66 0.0502663
1611.08 0.0400044
1618.50 0.0355301
1625.92 0.0375916
1633.34 0.0470355
1640.76 0.0648227
1648.17 0.0920460
1655.59 0.129956
1663.01 0.179965
1677.85 0.323036
1692.68 0.537403
1707.52 0.844544
1722.36 1.27343
1737.19 1.86353
1752.03 2.66972
1766.86 3.76925
1781.70 5.27361
1796.54 7.34651
1811.37 10.2358
1826.21 14.3275
1841.05 20.2454
1855.88 29.0379
1870.72 42.5639
1885.56 64.3106
1900.39 101.316
1915.23 168.931
1922.65 224.038
1930.06 303.178
1937.48 418.500
1944.90 585.974
1957.45 1006.82
1970.00 1342.75
1982.55 1143.53
1995.10 761.953
2000.00 643.346
2008.77 482.295
2017.53 371.701
2035.06 239.969
2052.59 169.517
2070.12 127.876
2087.65 101.218
2105.18 83.0648
2140.24 60.4534
2175.31 47.2593
2210.37 38.7711
2280.49 28.6617
2350.61 22.9259
2420.73 19.2492
2490.85 16.6859
2560.98 14.7845
2701.22 12.1058
2841.46 10.2392
3121.95 7.55519
3402.44 5.32317
3542.68 4.17811
3682.93 2.93005
3823.17 1.54085
3893.29 0.824871
3928.35 0.492785
3963.41 0.214121
3980.94 0.111582
3989.71 0.0740871
3998.47 0.0482131
4007.24 0.0362474
4016.01 0.0409497
4020.39 0.0505678
4024.77 0.0656527
4029.15 0.0867415
4033.54 0.114411
4042.30 0.192188
4051.07 0.305056
4059.83 0.460548
4068.60 0.668031
4086.13 1.28908
4103.66 2.30544
4121.19 3.94552
4138.72 6.60587
4156.25 11.0147
4173.78 18.5981
4191.31 32.3901
4200.08 43.5377
4208.84 59.4980
4217.61 82.9551
4226.37 118.370
4235.14 173.025
4243.90 257.509
4256.95 452.121
4270.00 615.477
4283.05 533.801
4296.10 360.602
4309.27 238.017
4322.44 165.379
4335.61 121.501
4348.77 93.5124
4361.94 74.6594
4375.11 61.3451
4401.45 44.1255
4427.78 33.6578
4454.12 26.6754
4506.79 17.8667
4559.46 12.2658
4612.14 7.90582
4638.47 5.79196
4651.64 4.66413
4664.81 3.43673
4677.98 2.07193
4684.56 1.35497
4691.14 0.703843
4694.44 0.482970
4696.08 0.432369
4697.73 0.447058
4699.37 0.557939
4700.20 0.663304
4701.02 0.812135
4701.84 1.01454
4702.67 1.28333
4704.31 2.09023
4705.96 3.43110
4707.60 5.65172
4709.25 9.38771
4710.90 15.8852
4712.54 27.7878
4713.37 37.4358
4714.19 51.2550
4715.01 71.5445
4715.83 102.094
4716.66 149.034
4717.48 221.241
4718.74 393.574
4720.00 543.845
4721.27 478.509
4722.53 327.195
4723.61 231.696
4724.70 170.007
4725.78 130.086
4726.87 103.323
4729.03 71.1216
4731.20 53.2331
4733.37 42.1836
4735.54 34.8132
4739.87 25.7463
4744.21 20.4506
4748.54 16.9974
4757.21 12.7472
4765.89 10.1869
4774.56 8.42956
4791.90 6.06724
4809.24 4.45255
4826.58 3.21884
4861.27 1.43496
4878.61 0.837470
4887.28 0.623512
4895.95 0.477291
4904.62 0.411291
4913.29 0.442161
4921.96 0.591841
4930.63 0.889138
4939.30 1.37193
4947.98 2.09022
4956.65 3.11053
4965.32 4.52202
4973.99 6.44550
4982.66 9.04644
5000.00 17.2910
5015.73 30.6382
5031.45 54.4653
5047.18 98.3300
5062.90 180.115
5081.45 352.088
5100.00 525.468
5109.28 536.733
5118.55 493.474
5137.10 357.694
5149.93 280.088
5162.76 223.282
5175.59 182.431
5188.42 152.667
5201.25 130.492
5214.08 113.588
5220.50 106.628
5226.91 100.530
5230.12 97.8463
5231.72 96.6471
5233.33 95.6231
5234.93 94.9713
5235.73 94.9625
5236.53 95.4438
5237.34 97.0692
5237.74 98.8641
5238.14 102.127
5238.54 108.597
5238.74 114.383
5238.94 123.544
5239.14 139.299
5239.34 168.856
5239.44 194.033
5239.54 232.017
5239.64 291.105
5239.74 383.441
5239.87 559.808
5240.00 677.518
5240.13 559.939
5240.26 383.476
5240.36 289.513
5240.46 229.847
5240.57 191.721
5240.67 166.746
5240.87 137.238
5241.07 121.481
5241.28 112.120
5241.48 106.166
5241.89 99.2281
5242.29 95.4289
5242.70 93.0791
5243.51 90.3020
5244.33 88.6484
5245.14 87.4758
5246.76 85.7516
5248.39 84.3861
5250.01 83.1836
5253.27 81.0202
5256.52 79.0418
5259.77 77.1880
5266.27 73.7659
5279.27 67.8105
5292.28 62.7813
5318.29 54.7425
5344.30 48.5954
5396.31 39.7404
5448.33 33.4661
5500.35 28.3809
5526.36 25.9399
5552.37 23.3223
5578.37 20.1743
5591.38 18.1826
5604.38 15.6742
5617.39 12.2916
5623.89 10.0905
5630.39 7.43072
5636.89 4.34734
5640.15 2.84250
5641.77 2.22470
5643.40 1.81829
5644.21 1.74442
5645.02 1.79716
5645.84 2.01947
5646.65 2.46843
5647.46 3.22358
5648.27 4.39216
5649.09 6.12349
5649.90 8.62341
5650.71 12.1954
5651.52 17.2647
5652.34 24.4543
5653.15 34.6646
5653.96 49.2698
5654.78 70.2399
5655.59 100.396
5656.40 143.381
5657.30 210.710
5658.20 299.905
5660.00 475.809
5660.90 499.985
5661.81 471.789
5663.61 358.108
5665.39 264.212
5667.17 202.759
5668.96 162.915
5670.74 136.078
5672.52 117.168
5674.30 103.312
5677.86 84.6310
5681.43 72.7690
5684.99 64.6435
5692.12 54.2959
5699.24 48.0028
5706.37 43.7670
5720.62 38.3896
5734.88 35.0688
5749.13 32.7733
5777.64 29.7211
5806.14 27.7055
5834.65 26.2221
5891.66 24.0938
5948.68 22.5709
6005.69 21.3884
6034.20 20.8852
6048.45 20.6520
6062.70 20.4309
6076.96 20.2241
6084.08 20.1287
6091.21 20.0433
6098.34 19.9802
6101.90 19.9685
6105.46 19.9890
6107.24 20.0237
6109.03 20.0899
6110.81 20.2146
6112.59 20.4604
6113.48 20.6741
6114.37 21.0039
6115.26 21.5447
6116.15 22.5112
6116.60 23.3071
6117.04 24.4866
6117.49 26.3476
6117.93 29.5097
6118.38 35.5477
6118.60 40.8425
6118.83 49.1670
6119.05 63.4148
6119.27 90.1377
6119.38 113.190
6119.49 147.824
6119.60 201.941
6119.72 286.983
6119.86 448.441
6120.00 555.393
6120.14 447.938
6120.29 287.870
6120.41 195.083
6120.53 139.054
6120.66 104.745
6120.78 82.8225
6121.03 57.9812
6121.28 45.2298
6121.52 37.8466
6121.77 33.2298
6122.27 28.0218
6122.76 25.3013
6123.26 23.7100
6123.75 22.6953
6124.25 22.0105
6125.24 21.1672
6126.23 20.6850
6127.22 20.3811
6128.21 20.1755
6130.20 19.9179
6132.18 19.7635
6134.16 19.6590
6136.14 19.5818
6140.10 19.4695
6144.07 19.3857
6152.00 19.2534
6159.92 19.1414
6167.85 19.0388
6183.70 18.8477
6199.56 18.6682
6215.41 18.4968
6247.12 18.1737
6310.54 17.5902
6373.96 17.0742
6627.63 15.4742
6881.30 14.3415
7134.98 13.4839
7642.32 12.2469
7769.16 12.0029
7895.99 11.7777
7959.41 11.6715
8022.83 11.5696
8054.54 11.5211
8086.25 11.4768
8102.10 11.4599
8117.96 11.4585
8125.88 11.4794
8129.85 11.5070
8133.81 11.5631
8137.78 11.6913
8139.76 11.8222
8141.74 12.0623
8142.73 12.2643
8143.72 12.5709
8144.71 13.0676
8145.70 13.9481
8146.20 14.6685
8146.69 15.7324
8147.19 17.4037
8147.68 20.2301
8148.18 25.5880
8148.43 30.2520
8148.68 37.5337
8148.92 49.8573
8149.17 72.6027
8149.29 91.7791
8149.42 120.365
8149.54 164.172
8149.67 230.798
8149.83 363.378
8150.00 451.452
8150.17 363.432
8150.34 231.928
8150.45 169.696
8150.56 127.513
8150.67 98.9767
8150.79 79.2661
8151.01 55.0801
8151.24 41.6288
8151.47 33.4799
8151.69 28.2026
8152.14 22.0489
8152.59 18.7325
8153.05 16.7552
8153.50 15.4783
8153.95 14.6098
8154.85 13.5331
8155.76 12.9180
8156.66 12.5330
8157.56 12.2759
8159.37 11.9634
8161.17 11.7874
8162.98 11.6777
8164.79 11.6043
8168.40 11.5140
8172.01 11.4613
8179.24 11.4023
8186.46 11.3686
8193.69 11.3451
8208.14 11.3107
8237.04 11.2591
8265.94 11.2145
8323.74 11.1316
8381.54 11.0527
8497.15 10.9025
8612.75 10.7602
9075.16 10.2512
9999.99 9.41061
10000.0 12.9260
