15-P_n-g
>   15-P-31:1.000000
1.364130e+00 2.25962000e-02
1.486210e+00 2.16384000e-02
1.500000e+00 2.15433000e-02
1.619200e+00 2.07212000e-02
1.765750e+00 1.98335000e-02
1.904820e+00 1.90880000e-02
2.000000e+00 1.86296000e-02
2.035470e+00 1.84587000e-02
2.157110e+00 1.79252000e-02
2.387740e+00 1.70282000e-02
2.576750e+00 1.63851000e-02
2.728270e+00 1.59188000e-02
2.750000e+00 1.58587000e-02
2.972410e+00 1.52440000e-02
3.238400e+00 1.45979000e-02
3.414000e+00 1.42135000e-02
3.500000e+00 1.40430000e-02
3.695400e+00 1.36558000e-02
4.000000e+00 1.31200000e-02
4.426730e+00 1.24709000e-02
4.776390e+00 1.20052000e-02
5.000000e+00 1.17357000e-02
5.056650e+00 1.16674000e-02
5.508170e+00 1.11785000e-02
6.000000e+00 1.07100000e-02
7.500000e+00 1.05100000e-02
9.000000e+00 1.03000000e-02
1.000000e+01 1.02857000e-02
1.500000e+01 1.02143000e-02
2.000000e+01 1.01428000e-02
2.750000e+01 1.00357000e-02
3.500000e+01 9.92853000e-03
4.232300e+01 9.82390000e-03
5.000000e+01 9.75343000e-03
6.900100e+01 9.57900000e-03
7.500000e+01 9.54598000e-03
1.000000e+02 9.40837000e-03
1.119300e+02 9.34270000e-03
1.500000e+02 9.21205000e-03
1.701800e+02 9.14280000e-03
2.000000e+02 9.08777000e-03
2.750000e+02 8.94937000e-03
3.500000e+02 8.81096000e-03
3.542600e+02 8.80310000e-03
5.000000e+02 8.66865000e-03
6.445400e+02 8.53530000e-03
7.500000e+02 8.48131000e-03
1.000000e+03 8.35332000e-03
1.093600e+03 8.30540000e-03
1.500000e+03 8.18091000e-03
1.721700e+03 8.11300000e-03
2.000000e+03 8.06849000e-03
2.750000e+03 7.94854000e-03
3.500000e+03 7.82860000e-03
3.656300e+03 7.80360000e-03
5.000000e+03 7.70131000e-03
6.000000e+03 7.62518000e-03
7.000000e+03 7.54905000e-03
7.133300e+03 7.53890000e-03
8.000000e+03 7.50401000e-03
8.400000e+03 7.48790000e-03
8.900000e+03 7.46777000e-03
9.200000e+03 7.45570000e-03
9.600000e+03 7.43959000e-03
9.900000e+03 7.42751000e-03
1.000000e+04 7.42349000e-03
1.050000e+04 7.40336000e-03
1.090000e+04 7.38725000e-03
1.130000e+04 7.37115000e-03
1.190000e+04 7.34699000e-03
1.240900e+04 7.32650000e-03
1.250000e+04 7.32436000e-03
1.400000e+04 7.28904000e-03
1.510000e+04 7.26313000e-03
1.520000e+04 7.26078000e-03
1.580000e+04 7.24665000e-03
1.630000e+04 7.23488000e-03
1.680000e+04 7.22310000e-03
1.800000e+04 7.19485000e-03
1.950000e+04 7.15953000e-03
1.993000e+04 7.14940000e-03
2.000000e+04 7.14836000e-03
2.500000e+04 7.07418000e-03
3.000000e+04 7.00000000e-03
3.250000e+04 6.95370000e-03
4.000000e+04 6.81482000e-03
5.000000e+04 6.62963000e-03
6.000000e+04 6.44444000e-03
9.000000e+04 5.88889000e-03
1.000000e+05 5.70370000e-03
1.250000e+05 5.24074000e-03
1.370000e+05 5.01852000e-03
1.430000e+05 4.90741000e-03
1.470000e+05 4.83333000e-03
1.510000e+05 4.75926000e-03
1.550000e+05 4.68519000e-03
1.630000e+05 4.53704000e-03
1.730000e+05 4.35185000e-03
1.810000e+05 4.20370000e-03
1.830000e+05 4.16667000e-03
1.950000e+05 3.94444000e-03
2.010000e+05 3.83333000e-03
2.070000e+05 3.72222000e-03
2.190000e+05 3.50000000e-03
2.310000e+05 3.27778000e-03
2.400000e+05 3.11111000e-03
2.490000e+05 2.94444000e-03
2.550000e+05 2.83333000e-03
2.690000e+05 2.57407000e-03
2.770000e+05 2.42593000e-03
2.850000e+05 2.27778000e-03
2.890000e+05 2.20370000e-03
3.000000e+05 2.00000000e-03
3.110000e+05 1.99470000e-03
3.190000e+05 1.99085000e-03
3.290000e+05 1.98604000e-03
3.400000e+05 1.98074000e-03
3.610000e+05 1.97063000e-03
3.690000e+05 1.96678000e-03
3.950000e+05 1.95426000e-03
4.170000e+05 1.94367000e-03
4.250000e+05 1.93982000e-03
4.300000e+05 1.93741000e-03
4.370000e+05 1.93404000e-03
4.530000e+05 1.92633000e-03
4.560000e+05 1.92489000e-03
4.650000e+05 1.92056000e-03
4.690000e+05 1.91863000e-03
4.710000e+05 1.91767000e-03
4.750000e+05 1.91574000e-03
4.910000e+05 1.90804000e-03
5.250000e+05 1.89167000e-03
5.290000e+05 1.88974000e-03
5.500000e+05 1.87963000e-03
5.610000e+05 1.87433000e-03
5.850000e+05 1.86278000e-03
8.500000e+05 1.73519000e-03
8.690000e+05 1.72604000e-03
9.000000e+05 1.71111000e-03
9.300000e+05 1.69667000e-03
9.360000e+05 1.69378000e-03
9.480000e+05 1.68800000e-03
9.680000e+05 1.67837000e-03
9.950000e+05 1.66537000e-03
1.010000e+06 1.65815000e-03
1.016000e+06 1.65526000e-03
1.022000e+06 1.65237000e-03
1.030000e+06 1.64852000e-03
1.056000e+06 1.63600000e-03
1.060000e+06 1.63407000e-03
1.076000e+06 1.62637000e-03
1.082000e+06 1.62348000e-03
1.092000e+06 1.61867000e-03
1.115000e+06 1.60759000e-03
1.127000e+06 1.60182000e-03
1.150000e+06 1.59074000e-03
1.200000e+06 1.56667000e-03
1.310000e+06 1.51370000e-03
1.310010e+06 1.51370000e-03
1.500000e+06 1.42222000e-03
1.590000e+06 1.37889000e-03
1.650000e+06 1.35000000e-03
1.750000e+06 1.30185000e-03
2.000000e+06 1.18148000e-03
2.200000e+06 1.08519000e-03
2.250000e+06 1.06111000e-03
2.306000e+06 1.03415000e-03
2.350000e+06 1.01296000e-03
2.500000e+06 9.40741000e-04
2.650000e+06 8.68519000e-04
2.730000e+06 8.30000000e-04
2.750000e+06 8.20370000e-04
