U-235(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
11.5240 61.2982
11.5473 76.9118
11.5706 104.271
11.5939 158.447
11.6056 207.486
11.6172 286.514
11.6289 421.387
11.6405 659.371
11.6465 841.135
11.6526 1056.02
11.6646 1365.69
11.6767 1126.12
11.6887 709.335
11.6960 527.100
11.7034 399.745
11.7180 248.862
11.7327 170.834
11.7474 126.758
11.7620 99.8601
11.7767 82.4603
11.8060 62.3779
11.8354 52.0239
11.8647 46.3457
11.9234 41.7749
11.9820 42.0598
12.0407 45.9583
12.0993 54.3625
12.1580 70.6460
12.2155 103.017
12.2443 131.934
12.2730 178.434
12.2928 229.907
12.3125 313.347
12.3323 461.053
12.3421 578.391
12.3520 741.203
12.3610 941.756
12.3700 1196.26
12.3880 1719.30
12.3900 1753.86
12.3948 1796.63
12.3995 1778.51
12.4090 1584.16
12.4280 1003.67
12.4390 745.911
12.4499 562.443
12.4719 343.432
12.4938 229.820
12.5158 165.581
12.5377 126.354
12.5596 100.942
12.6035 71.6692
12.6474 56.8946
12.6913 49.7158
12.7351 48.0570
12.7790 52.6649
12.8530 72.9902
12.8900 65.8323
12.9270 50.3131
12.9575 41.4067
12.9880 36.1904
13.0490 32.0778
13.1100 32.7196
13.1710 37.4311
13.2670 52.1808
13.2750 52.8493
13.3013 52.4910
13.3275 48.4732
13.3800 38.8785
13.4345 35.6403
13.4890 38.2859
13.5980 54.0782
13.8450 98.5398
13.9290 105.915
14.0160 108.075
14.1030 100.227
14.2190 76.3092
14.2770 65.4272
14.3350 58.1042
14.3600 56.2689
14.3997 55.4287
14.4394 58.5978
14.4592 63.0730
14.4790 71.4437
14.4989 87.3293
14.5187 117.639
14.5349 154.621
14.5510 173.381
14.5531 171.645
14.5617 154.249
14.5703 127.973
14.5789 102.634
14.5875 82.5174
14.5987 64.1823
14.6099 52.3351
14.6324 39.3217
14.6548 32.9958
14.6773 29.5090
14.7221 25.9964
14.7670 24.3626
14.8470 23.1471
14.9270 22.8942
15.0070 23.2479
15.0870 24.3104
15.1655 26.8246
15.2048 29.5448
15.2440 34.7303
15.2743 42.0368
15.3045 54.8050
15.3348 78.0578
15.3650 121.704
15.4010 199.752
15.4170 211.809
15.4430 165.077
15.4690 104.212
15.4874 75.7749
15.5059 57.5059
15.5243 45.7348
15.5427 37.9755
15.5796 29.0428
15.6165 24.5477
15.6534 22.1666
15.6902 20.9347
15.7640 20.4725
15.8377 22.2686
15.8746 24.4485
15.9114 28.3032
15.9483 35.5618
15.9667 41.7267
15.9852 51.1011
16.0036 66.2345
16.0220 92.5410
16.0405 142.639
16.0497 184.841
16.0589 245.764
16.0738 392.341
16.0886 518.010
16.0960 504.461
16.1035 439.198
16.1183 279.992
16.1326 177.799
16.1469 120.054
16.1611 86.7890
16.1754 66.5441
16.1897 53.5213
16.2039 44.7535
16.2325 34.1800
16.2610 28.4295
16.2896 25.1111
16.3467 22.2181
16.4037 22.4573
16.4323 23.7669
16.4608 26.2133
