Bi-209(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
5100.62 6.88281
5102.33 9.58150
5104.04 14.8217
5104.89 19.1871
5105.74 25.5071
5106.59 34.8548
5107.45 48.9159
5108.30 70.4338
5109.15 103.250
5110.58 191.528
5112.00 277.362
5113.43 256.205
5114.85 184.110
5115.99 138.480
5117.14 107.286
5118.28 86.1655
5119.43 71.5098
5121.71 53.1936
5124.00 42.6187
5126.29 35.9123
5128.57 31.3552
5133.15 25.6474
5137.72 22.2696
5142.30 20.0621
5146.87 18.5156
5151.45 17.3766
5160.60 15.8170
5169.74 14.8033
5178.89 14.0933
5188.04 13.5690
5206.34 12.8471
5224.64 12.3735
5242.94 12.0387
5261.23 11.7891
5297.83 11.4408
5334.43 11.2080
5371.02 11.0404
5407.62 10.9131
5480.81 10.7303
5554.00 10.6028
5700.39 10.4304
5846.77 10.3125
5993.15 10.2216
6139.54 10.1460
6212.73 10.1119
6249.33 10.0956
6267.62 10.0886
6276.77 10.0904
6281.35 10.1141
6282.49 10.1409
6283.64 10.2182
6284.21 10.3249
6284.78 10.6181
6285.07 11.0050
6285.35 12.0068
6285.49 13.2384
6285.57 14.3499
6285.64 16.1198
6285.71 19.2807
6285.78 25.4561
6285.82 31.0928
6285.85 39.8101
6285.89 54.7947
6285.92 79.9402
6285.96 121.791
6286.00 150.214
6286.04 122.119
6286.08 80.3501
6286.11 59.1710
6286.14 45.0588
6286.16 35.8730
6286.19 29.7231
6286.25 22.4211
6286.31 18.4902
6286.37 16.1599
6286.43 14.6734
6286.54 12.9625
6286.66 12.0556
6286.77 11.5186
6287.01 10.9416
6287.47 10.4909
6287.93 10.3213
6288.86 10.1930
6289.79 10.1456
6293.50 10.0960
6300.92 10.0795
6315.76 10.0694
6345.44 10.0558
6404.79 10.0319
6434.47 10.0212
6464.15 10.0134
6478.99 10.0135
6486.41 10.0168
6493.83 10.0255
6501.25 10.0479
6504.96 10.0719
6508.67 10.1173
6510.53 10.1560
6512.38 10.2155
6514.24 10.3129
6516.09 10.4880
6517.02 10.6328
6517.95 10.8493
6518.87 11.1938
6519.80 11.7884
6520.73 12.9479
6521.19 13.9883
6521.66 15.6693
6522.12 18.6447
6522.58 24.5627
6522.81 29.9379
6523.05 38.5862
6523.28 53.2387
6523.51 78.4753
6523.76 119.823
6524.00 147.370
6524.25 119.977
