Sn-115(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2944.93
1.25000E-05 2634.98
1.50000E-05 2406.19
2.00000E-05 2085.03
2.75000E-05 1779.45
3.50000E-05 1578.34
4.25000E-05 1433.16
5.00000E-05 1322.01
6.25000E-05 1183.39
7.50000E-05 1081.07
0.000100000 937.445
0.000125000 839.428
0.000150000 767.074
0.000200000 665.511
0.000275000 568.873
0.000350000 505.272
0.000425000 459.357
0.000500000 424.206
0.000625000 380.366
0.000750000 348.004
0.00100000 302.576
0.00125000 271.572
0.00150000 248.685
0.00200000 216.555
0.00275000 185.979
0.00350000 165.852
0.00425000 151.320
0.00500000 140.192
0.00625000 126.310
0.00750000 116.060
0.0100000 101.665
0.0125000 91.8350
0.0150000 84.5738
0.0200000 74.3714
0.0253000 67.0479
0.0314750 60.9644
0.0376500 56.4394
0.0500000 50.0374
0.0625000 45.5872
0.0750000 42.2908
0.100000 37.6404
0.125000 34.4447
0.150000 32.0695
0.200000 28.7027
0.237500 26.8895
0.275000 25.4471
0.350000 23.2631
0.500000 20.4068
0.750000 17.6086
1.00000 15.8620
1.50000 13.6818
2.00000 12.3124
2.75000 10.9567
3.50000 10.0400
5.00000 8.85875
6.25000 8.22559
7.50000 7.76770
10.0000 7.14924
12.5000 6.75108
15.0000 6.47354
17.5000 6.26911
20.0000 6.11228
23.7500 5.93530
27.5000 5.80403
35.0000 5.62206
42.5000 5.50158
50.0000 5.41565
62.5000 5.31611
75.0000 5.24792
87.5000 5.19781
100.000 5.15902
125.000 5.10162
150.000 5.05925
175.000 5.02420
200.000 4.99157
223.182 4.95903
234.773 4.93975
246.365 4.91601
257.956 4.88330
263.751 4.86036
269.547 4.82900
272.445 4.80811
275.342 4.78169
278.240 4.74689
281.138 4.69859
282.587 4.66657
284.036 4.62681
285.485 4.57643
286.934 4.51187
287.658 4.47357
288.382 4.43237
289.107 4.39320
289.831 4.37392
290.194 4.38837
290.556 4.44323
290.918 4.58627
291.280 4.93955
291.461 5.28895
291.642 5.87389
291.824 6.90749
292.005 8.88649
292.186 13.1724
292.276 17.3434
292.367 24.5572
292.412 30.2670
292.457 38.4065
292.503 50.4846
292.548 69.2764
292.593 100.566
292.616 124.399
292.639 156.918
292.661 202.809
292.684 268.568
292.706 364.865
292.729 505.512
292.765 825.573
292.800 1055.37
292.836 865.000
292.871 554.808
292.909 340.826
292.947 223.408
292.985 156.700
293.023 116.306
293.060 90.1511
293.098 72.4137
293.174 50.5458
293.250 38.1055
293.325 30.3402
293.477 21.5043
293.628 16.8115
293.780 13.9949
293.931 12.1565
294.082 10.8811
294.385 9.25587
294.688 8.28340
294.991 7.64633
295.294 7.20127
295.899 6.62686
296.505 6.27651
297.110 6.04256
297.716 5.87614
298.927 5.65623
300.139 5.51809
301.350 5.42347
302.561 5.35465
304.984 5.26108
307.406 5.20018
309.829 5.15709
312.251 5.12475
317.096 5.07876
321.941 5.04679
331.631 5.00281
341.321 4.97107
351.011 4.94436
370.391 4.89379
389.770 4.83366
399.460 4.79370
409.150 4.74036
418.840 4.66154
423.685 4.60416
428.530 4.52446
430.953 4.47114
433.375 4.40384
435.798 4.31582
438.220 4.19547
439.431 4.11720
440.643 4.02207
441.854 3.90568
443.065 3.76600
443.671 3.69089
444.276 3.62170
444.882 3.58251
445.488 3.64519
445.790 3.77579
446.093 4.05655
446.396 4.64495
446.699 5.92704
446.850 7.11488
447.002 9.02208
447.153 12.2544
447.229 14.7363
447.304 18.1658
447.380 23.0469
447.456 30.2533
447.532 41.3974
447.607 59.6960
447.645 73.4879
447.683 92.2387
447.721 118.612
447.759 156.766
447.797 214.448
447.834 304.972
447.872 453.655
447.910 699.854
447.955 1151.34
448.000 1481.03
448.045 1220.24
448.090 786.003
448.134 501.686
