Cd-116(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 3.83151
1.25000E-05 3.42701
1.50000E-05 3.12842
2.00000E-05 2.70929
2.75000E-05 2.31049
3.50000E-05 2.04803
4.25000E-05 1.85856
5.00000E-05 1.71350
6.25000E-05 1.53260
7.50000E-05 1.39907
0.000100000 1.21163
0.000125000 1.08371
0.000150000 0.989291
0.000200000 0.856751
0.000275000 0.730639
0.000350000 0.647642
0.000425000 0.587725
0.000500000 0.541856
0.000625000 0.484650
0.000750000 0.442422
0.00100000 0.383148
0.00125000 0.342698
0.00150000 0.312838
0.00200000 0.270925
0.00275000 0.231044
0.00350000 0.204798
0.00425000 0.185850
0.00500000 0.171344
0.00625000 0.153253
0.00750000 0.139899
0.0100000 0.121154
0.0125000 0.108361
0.0150000 0.0989181
0.0200000 0.0856624
0.0253000 0.0761601
0.0314750 0.0682787
0.0376500 0.0624260
0.0500000 0.0541654
0.0625000 0.0484424
0.0750000 0.0442175
0.100000 0.0382863
0.125000 0.0342379
0.150000 0.0312489
0.200000 0.0270522
0.275000 0.0230573
0.350000 0.0204267
0.500000 0.0170713
0.750000 0.0139131
1.00000 0.0120272
1.50000 0.00978526
2.00000 0.00844492
2.75000 0.00716580
3.50000 0.00632157
5.00000 0.00524331
7.50000 0.00423379
10.0000 0.00364845
15.0000 0.00306342
20.0000 0.00317079
22.2361 0.00378630
23.3541 0.00450063
24.4721 0.00588775
25.5901 0.00897591
26.1491 0.0121137
26.7082 0.0178981
26.9877 0.0228049
27.2672 0.0303314
27.5467 0.0427182
27.8262 0.0652265
27.9659 0.0841003
28.1057 0.112758
28.2454 0.159322
28.3852 0.242452
28.4551 0.310968
28.5250 0.413297
28.5948 0.575863
28.6647 0.856805
28.7346 1.40548
28.7695 1.89958
28.8045 2.70333
28.8394 4.13480
28.8569 5.30498
28.8743 7.02862
28.8918 9.69313
28.9093 14.0508
28.9267 21.6056
28.9442 35.0734
28.9617 56.1331
28.9792 70.2404
28.9968 56.2055
29.0143 35.0957
29.0348 19.9865
29.0553 12.3024
29.0758 8.17898
29.0963 5.78310
29.1168 4.28672
29.1373 3.29737
29.1783 2.11769
29.2193 1.47147
29.2602 1.08080
29.3422 0.653360
29.4242 0.437314
29.5062 0.313317
29.5881 0.235646
29.6701 0.183816
29.8341 0.121098
29.9980 0.0860361
30.1620 0.0644647
30.3259 0.0502509
30.6538 0.0332660
30.9817 0.0238817
31.3096 0.0181496
31.6375 0.0143893
32.2933 0.00990971
32.9491 0.00743577
34.2607 0.00492033
35.5723 0.00371489
36.8839 0.00303352
39.5072 0.00230942
44.7536 0.00170020
50.0000 0.00141575
62.5000 0.00107007
75.0000 0.000877051
100.000 0.000647685
150.000 0.000422060
200.000 0.000314255
275.000 0.000237098
350.000 0.000206621
425.000 0.000203840
500.000 0.000231325
544.163 0.000276735
588.325 0.000394372
610.406 0.000547166
632.488 0.000965601
643.528 0.00154083
654.569 0.00317217
660.089 0.00544911
662.850 0.00773584
665.610 0.0119395
