Ga-71(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1130.85 0.0659203
1131.52 0.0909464
1132.18 0.135687
1132.52 0.172727
1132.85 0.228240
1133.18 0.316870
1133.52 0.470582
1133.85 0.774869
1134.02 1.05233
1134.19 1.51002
1134.35 2.34190
1134.44 3.04149
1134.52 4.08131
1134.60 5.75617
1134.69 8.57345
1134.77 13.7259
1134.85 23.5877
1134.93 37.7589
1135.00 47.2150
1135.07 37.7590
1135.15 23.5889
1135.21 16.1621
1135.26 11.4771
1135.32 8.39916
1135.37 6.38841
1135.49 3.99144
1135.60 2.70967
1135.71 1.95328
1135.83 1.47246
1136.05 0.921109
1136.28 0.630081
1136.50 0.458362
1136.73 0.348762
1136.96 0.274885
1137.41 0.183804
1137.86 0.132226
1138.76 0.0790584
1139.67 0.0535686
1140.57 0.0394396
1142.38 0.0251092
1145.99 0.0146412
1149.60 0.0109066
1156.83 0.00820209
1164.06 0.00725352
1192.97 0.00647606
1250.78 0.00725105
1279.69 0.00840374
1308.60 0.0109565
1323.05 0.0138670
1330.28 0.0165168
1337.51 0.0210998
1344.73 0.0304934
1348.35 0.0396575
1351.96 0.0561959
1353.77 0.0700722
1355.58 0.0912330
1357.38 0.125913
1359.19 0.188743
1360.09 0.241467
1361.00 0.321516
1361.90 0.452016
1362.80 0.685733
1363.25 0.879495
1363.71 1.17044
1364.16 1.63621
1364.61 2.44815
1365.06 4.06533
1365.29 5.55078
1365.51 8.00658
1365.74 12.5374
1365.85 16.3664
1365.96 22.1972
1366.08 31.6315
1366.19 48.0912
1366.25 61.2394
1366.30 79.4136
1366.36 105.276
1366.42 141.860
1366.51 227.081
1366.60 282.919
1366.69 226.081
1366.79 141.072
1366.84 104.706
1366.90 79.0096
1367.01 48.2702
1367.12 31.8343
1367.23 22.4457
1367.34 16.5648
1367.46 12.7261
1367.68 8.14496
1367.90 5.64620
1368.12 4.14001
1368.57 2.49922
1369.02 1.67010
1369.46 1.19534
1369.91 0.898585
1370.35 0.701242
1371.24 0.462361
1372.14 0.329327
1373.03 0.247677
1373.92 0.194017
1375.70 0.130137
1377.48 0.0950999
1379.27 0.0738922
1381.05 0.0601433
1384.61 0.0441043
1388.18 0.0356328
1395.31 0.0279069
1409.57 0.0248511
1423.83 0.0275915
1438.09 0.0342731
1452.35 0.0466149
1466.62 0.0714669
1473.75 0.100790
1475.53 0.117564
1477.31 0.154213
1478.20 0.198438
1478.65 0.239933
1479.09 0.312080
1479.54 0.457704
1479.76 0.594538
1479.99 0.827376
1480.21 1.27776
1480.32 1.68061
1480.43 2.32223
1480.54 3.45502
1480.65 5.66040
1480.71 7.64664
1480.77 10.7280
1480.82 15.9187
1480.88 24.4864
1480.94 39.1182
1481.00 48.8760
1481.06 39.1170
1481.12 24.4855
1481.17 17.5698
1481.21 12.9847
1481.29 7.64805
1481.37 4.96586
1481.46 3.48596
1481.54 2.57561
1481.62 1.99231
1481.79 1.30542
1481.95 0.936410
1482.12 0.716382
1482.45 0.479177
1482.78 0.361262
1483.11 0.295144
1483.77 0.228492
1485.09 0.184043
1486.41 0.174158
1491.69 0.203917
1496.97 0.278682
1502.26 0.415124
1504.90 0.526546
1507.54 0.690758
1510.18 0.946694
1512.82 1.37672
1514.15 1.71058
1515.47 2.18119
1516.79 2.87322
1518.11 3.94551
1519.43 5.72695
1520.75 8.95664
1521.41 11.6123
1522.07 15.4793
1522.73 21.2443
1523.39 29.8268
1524.35 47.6346
1525.30 59.4410
1526.26 47.5598
1527.21 29.7542
1527.88 21.0787
1528.55 15.2968
1529.22 11.4339
1529.89 8.80009
1531.23 5.60530
1532.57 3.85191
1533.90 2.79812
1535.24 2.12060
