41-Nb_n-g
>  41-Nb-93:1.000000
7.983500e+01 3.95136000e-02
8.391250e+01 4.06303000e-02
8.799000e+01 4.44806000e-02
8.954500e+01 4.88932000e-02
9.032240e+01 5.31908000e-02
9.109990e+01 6.08982000e-02
9.187740e+01 7.70195000e-02
9.226610e+01 9.27505000e-02
9.265490e+01 1.20811000e-01
9.304360e+01 1.78559000e-01
9.323800e+01 2.33669000e-01
9.343230e+01 3.29309000e-01
9.362670e+01 5.17356000e-01
9.372390e+01 6.88002000e-01
9.382110e+01 9.67995000e-01
9.391830e+01 1.47293000e+00
9.396690e+01 1.89106000e+00
9.401540e+01 2.51493000e+00
9.406400e+01 3.49635000e+00
9.411260e+01 5.14114000e+00
9.416120e+01 8.09293000e+00
9.420980e+01 1.36005000e+01
9.425490e+01 2.17371000e+01
9.430000e+01 2.71639000e+01
9.434520e+01 2.17377000e+01
9.439030e+01 1.35984000e+01
9.443410e+01 8.49710000e+00
9.447800e+01 5.59293000e+00
9.452180e+01 3.89713000e+00
9.456560e+01 2.85118000e+00
9.460940e+01 2.16995000e+00
9.465330e+01 1.70529000e+00
9.474090e+01 1.13388000e+00
9.482860e+01 8.11280000e-01
9.491620e+01 6.12353000e-01
9.509150e+01 3.90675000e-01
9.526680e+01 2.76766000e-01
9.544210e+01 2.10730000e-01
9.579270e+01 1.41232000e-01
9.614330e+01 1.07428000e-01
9.649390e+01 8.85713000e-02
9.719520e+01 6.96051000e-02
9.789640e+01 6.10613000e-02
9.859760e+01 5.68940000e-02
1.000000e+02 5.46766000e-02
1.014290e+02 5.82313000e-02
1.021440e+02 6.31975000e-02
1.028580e+02 7.27367000e-02
1.035730e+02 9.31768000e-02
1.039300e+02 1.13222000e-01
1.042870e+02 1.48965000e-01
1.046440e+02 2.22425000e-01
1.048230e+02 2.92386000e-01
1.050020e+02 4.13587000e-01
1.051800e+02 6.51551000e-01
1.052700e+02 8.66978000e-01
1.053590e+02 1.21983000e+00
1.054480e+02 1.85452000e+00
1.054930e+02 2.37959000e+00
1.055370e+02 3.15954000e+00
1.055820e+02 4.38578000e+00
1.056270e+02 6.42826000e+00
1.056710e+02 1.00830000e+01
1.057160e+02 1.68434000e+01
1.057580e+02 2.69645000e+01
1.058000e+02 3.37277000e+01
1.058420e+02 2.69539000e+01
1.058840e+02 1.68302000e+01
1.059170e+02 1.14382000e+01
1.059500e+02 8.02896000e+00
1.059830e+02 5.85839000e+00
