29-Cu_n-g
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
4.032770e+02 4.96227283e-02
4.036590e+02 3.66514393e-02
4.044240e+02 2.65746305e-02
4.051890e+02 2.28206210e-02
4.067180e+02 2.00537404e-02
4.082470e+02 1.90872492e-02
4.143640e+02 1.83200274e-02
4.265980e+02 1.87047037e-02
4.510650e+02 2.08264988e-02
4.755330e+02 2.51748478e-02
5.000000e+02 3.46732192e-02
5.196160e+02 5.26250744e-02
5.294240e+02 7.06110741e-02
5.392320e+02 1.03464600e-01
5.441360e+02 1.31167343e-01
5.490390e+02 1.73496697e-01
5.539430e+02 2.42925932e-01
5.588470e+02 3.68746301e-01
5.612990e+02 4.74109400e-01
5.637510e+02 6.34056050e-01
5.662030e+02 8.94057219e-01
5.686550e+02 1.35903420e+00
5.698810e+02 1.74319976e+00
5.711070e+02 2.31857890e+00
5.717200e+02 2.72024841e+00
5.723330e+02 3.23664469e+00
5.729460e+02 3.91592380e+00
5.735590e+02 4.83414381e+00
5.741720e+02 6.11803594e+00
5.747850e+02 7.98952328e+00
5.753980e+02 1.08671984e+01
5.760110e+02 1.56160034e+01
5.763180e+02 1.92360740e+01
5.766240e+02 2.42536662e+01
5.769310e+02 3.14723028e+01
5.772370e+02 4.23425434e+01
5.775440e+02 5.96617131e+01
5.778500e+02 8.92192572e+01
5.781570e+02 1.43681105e+02
5.783100e+02 1.87770453e+02
5.784630e+02 2.48890754e+02
5.787320e+02 3.97866822e+02
5.790000e+02 4.96837067e+02
5.792690e+02 3.97076435e+02
5.795380e+02 2.47955842e+02
5.798130e+02 1.51049723e+02
5.800870e+02 9.74778340e+01
5.803620e+02 6.68834529e+01
5.806360e+02 4.83200653e+01
5.809110e+02 3.63699762e+01
5.811850e+02 2.82914574e+01
5.817340e+02 1.84466392e+01
5.822830e+02 1.29372494e+01
5.828320e+02 9.56065298e+00
5.839310e+02 5.81897039e+00
5.850290e+02 3.90681010e+00
5.861270e+02 2.80190691e+00
5.872250e+02 2.10698024e+00
5.883230e+02 1.64192200e+00
5.905190e+02 1.07792711e+00
5.927150e+02 7.62153062e-01
5.949120e+02 5.67838909e-01
5.971080e+02 4.39884557e-01
6.015000e+02 2.87276272e-01
6.058930e+02 2.03303507e-01
6.102850e+02 1.52316679e-01
6.146770e+02 1.19159487e-01
6.234620e+02 8.06088243e-02
6.322470e+02 6.18140399e-02
6.366390e+02 5.84087044e-02
6.410320e+02 6.35057728e-02
6.432280e+02 7.59567616e-02
6.443260e+02 8.95271616e-02
6.454240e+02 1.14940882e-01
6.465220e+02 1.69203982e-01
6.470710e+02 2.22257447e-01
6.476200e+02 3.16204148e-01
6.481690e+02 5.06256901e-01
6.484440e+02 6.83758481e-01
6.487180e+02 9.84210148e-01
6.489930e+02 1.55233178e+00
6.491300e+02 2.04655328e+00
6.492680e+02 2.82120568e+00
6.494050e+02 4.12940566e+00
6.495420e+02 6.55818139e+00
