Sr-88(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 7.69370
1.25000E-05 7.64758
1.50000E-05 7.61353
2.00000E-05 7.56574
2.75000E-05 7.52027
3.50000E-05 7.49035
4.25000E-05 7.46874
5.00000E-05 7.45221
6.25000E-05 7.43158
7.50000E-05 7.41635
0.000100000 7.39498
0.000125000 7.38040
0.000150000 7.36963
0.000200000 7.35452
0.000275000 7.34014
0.000350000 7.33068
0.000425000 7.32385
0.000500000 7.31861
0.000625000 7.31209
0.000750000 7.30728
0.00100000 7.30052
0.00125000 7.29591
0.00150000 7.29250
0.00200000 7.28772
0.00275000 7.28318
0.00350000 7.28018
0.00425000 7.27802
0.00500000 7.27637
0.00625000 7.27431
0.00750000 7.27278
0.0100000 7.27065
0.0125000 7.26919
0.0150000 7.26811
0.0200000 7.26660
0.0253000 7.26552
0.0314750 7.26462
0.0376500 7.26395
0.0500000 7.26301
0.0625000 7.26235
0.0750000 7.26187
0.100000 7.26120
0.125000 7.26073
0.150000 7.26039
0.200000 7.25991
0.275000 7.25945
0.350000 7.25915
0.500000 7.25876
0.750000 7.25838
1.00000 7.25815
1.50000 7.25787
2.00000 7.25769
2.75000 7.25750
3.50000 7.25736
5.00000 7.25715
7.50000 7.25688
10.0000 7.25666
15.0000 7.25628
20.0000 7.25592
27.5000 7.25542
35.0000 7.25494
50.0000 7.25398
75.0000 7.25242
100.000 7.25087
150.000 7.24778
200.000 7.24468
275.000 7.24003
350.000 7.23535
500.000 7.22593
750.000 7.20997
1000.00 7.19370
1500.00 7.16006
2000.00 7.12480
2750.00 7.06835
3500.00 7.00671
5000.00 6.86230
6250.00 6.71030
7500.00 6.51146
8750.00 6.23249
9375.00 6.04308
10000.0 5.80038
10599.8 5.49175
10899.7 5.29723
11199.7 5.06614
11499.6 4.78917
11649.5 4.63121
11799.5 4.46184
11874.5 4.37531
11949.4 4.29139
12024.4 4.21752
12099.4 4.17202
12136.9 4.17354
12174.4 4.20819
12211.9 4.30533
12249.4 4.53240
12268.1 4.74243
12286.8 5.07341
12305.6 5.61984
12324.3 6.58625
12343.1 8.49222
12352.5 10.2032
12361.8 12.9624
12371.2 17.7906
12380.6 27.2472
12385.3 35.6607
12389.9 48.8807
12394.6 70.6899
12399.3 107.112
12404.7 170.638
12410.0 213.500
12415.4 170.968
12420.7 107.659
12424.5 76.5801
12428.4 56.1531
12432.2 42.6527
12436.0 33.4949
12443.6 22.4508
12451.3 16.4211
12458.9 12.7994
12466.6 10.4693
12481.9 7.75146
12497.1 6.28114
12512.4 5.39009
12527.7 4.80287
12543.0 4.39012
12573.6 3.84677
12604.2 3.49791
12634.7 3.24457
12665.3 3.04285
12726.4 2.71629
12787.6 2.43483
12848.7 2.16800
12879.3 2.03545
12894.6 1.96858
12902.2 1.93458
12906.1 1.91774
12908.0 1.91384
12908.9 1.93433
12909.4 2.02217
12909.7 2.25700
12909.8 2.67320
12909.9 4.01388
12910.0 6.31329
12910.1 4.21797
12910.2 2.89790
12910.3 2.44994
12910.5 2.13978
12910.9 1.98670
12911.7 1.92676
12913.4 1.89987
12916.6 1.87869
12923.1 1.84755
12936.1 1.78937
12962.2 1.67389
13014.2 1.44032
13118.3 0.964968
13222.5 0.513942
13274.5 0.330677
