Ga-71(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1133.52 8.07965
1133.85 8.45817
1134.02 8.80404
1134.19 9.37517
1134.35 10.4140
1134.44 11.2879
1134.52 12.5872
1134.60 14.6802
1134.69 18.2012
1134.77 24.6414
1134.85 36.9690
1134.93 54.6849
1135.00 66.5083
1135.07 54.6897
1135.15 36.9760
1135.21 27.6912
1135.26 21.8338
1135.32 17.9855
1135.37 15.4713
1135.49 12.4738
1135.60 10.8706
1135.71 9.92419
1135.83 9.32237
1136.05 8.63175
1136.28 8.26663
1136.50 8.05071
1136.73 7.91248
1136.96 7.81893
1137.41 7.70270
1137.86 7.63588
1138.76 7.56479
1139.67 7.52832
1140.57 7.50607
1142.38 7.47901
1145.99 7.44765
1149.60 7.42470
1156.83 7.38464
1164.06 7.34659
1192.97 7.19521
1250.78 6.86751
1279.69 6.67662
1308.60 6.44647
1323.05 6.30180
1330.28 6.21497
1337.51 6.11120
1344.73 5.97736
1348.35 5.89030
1351.96 5.77955
1353.77 5.71060
1355.58 5.62855
1357.38 5.52885
1359.19 5.40636
1360.09 5.33586
1361.00 5.26183
1361.90 5.19332
1362.80 5.16167
1363.25 5.18764
1363.71 5.28116
1364.16 5.51754
1364.61 6.07979
1365.06 7.49897
1365.29 8.99443
1365.51 11.6931
1365.74 17.0942
1365.85 21.9134
1365.96 29.5307
1366.08 42.3173
1366.19 65.4640
1366.25 84.4573
1366.30 111.232
1366.36 150.136
1366.42 206.476
1366.51 343.560
1366.60 447.128
1366.69 375.149
1366.79 246.747
1366.84 189.342
1366.90 147.864
1367.01 96.9347
1367.12 68.8136
1367.23 52.2773
1367.34 41.6349
1367.46 34.5069
1367.68 25.6997
1367.90 20.6653
1368.12 17.4932
1368.57 13.8284
1369.02 11.8248
1369.46 10.5905
1369.91 9.76422
1370.35 9.17808
1371.24 8.40448
1372.14 7.92180
1373.03 7.59265
1373.92 7.35378
1375.70 7.02883
1377.48 6.81591
1379.27 6.66317
1381.05 6.54631
1384.61 6.37379
1388.18 6.24645
1395.31 6.05383
1409.57 5.75297
1423.83 5.46596
1438.09 5.14871
1452.35 4.77344
1466.62 4.31435
1473.75 4.04933
1475.53 3.98212
1477.31 3.92374
1478.20 3.91072
1478.65 3.91833
1479.09 3.95025
1479.54 4.04406
1479.76 4.14748
1479.99 4.33876
1480.21 4.73447
1480.32 5.10294
1480.43 5.70500
1480.54 6.79374
1480.65 8.96242
1480.71 10.9467
1480.77 14.0602
1480.82 19.3690
1480.88 28.2529
1480.94 43.7368
1481.00 54.7331
1481.06 45.3405
1481.12 30.2536
1481.17 22.9856
1481.21 18.1161
1481.29 12.3778
1481.37 9.44718
1481.46 7.80577
1481.54 6.78114
1481.62 6.11487
1481.79 5.31343
1481.95 4.86906
1482.12 4.59499
1482.45 4.28355
1482.78 4.11473
1483.11 4.00996
1483.77 3.88451
1485.09 3.75417
1486.41 3.67553
1491.69 3.50135
1496.97 3.51557
1502.26 3.96902
1504.90 4.57600
1507.54 5.71440
1510.18 7.86909
1512.82 12.1312
1514.15 15.7965
1515.47 21.3168
1516.79 29.9595
1518.11 44.1749
1519.43 69.1900
1520.75 117.173
1521.41 158.233
1522.07 219.783
1522.73 314.404
1523.39 460.202
1524.35 780.787
1525.30 1035.07
1526.26 879.647
1527.21 584.307
1527.88 431.584
1528.55 326.436
1529.22 254.244
1529.89 203.809
1531.23 140.675
1532.57 104.576
1533.90 82.0386
1535.24 67.0187
1537.92 48.7308
1540.60 38.3280
1543.27 31.7677
1545.95 27.3181
1548.63 24.1329
1553.98 19.9232
1559.34 17.2987
1564.69 15.5211
1570.04 14.2438
1580.75 12.5385
1591.46 11.4555
1602.17 10.7067
1612.88 10.1571
1634.29 9.39999
1655.71 8.89703
1677.13 8.53277
1698.54 8.25203
1741.38 7.83412
1784.21 7.51890
1827.04 7.24689
1837.75 7.17986
1848.46 7.11146
1853.81 7.07672
1859.17 7.04289
1861.84 7.02833
1864.52 7.02166
1865.86 7.02942
1867.20 7.06831
1867.87 7.12888
1868.20 7.18976
1868.54 7.29826
1868.87 7.51883
1869.04 7.72350
1869.21 8.06723
1869.37 8.71331
1869.46 9.26875
1869.54 10.1162
1869.63 11.5320
1869.71 14.0432
1869.75 16.1095
1869.79 19.1025
1869.83 23.5278
1869.88 29.8684
1869.94 43.7813
1870.00 52.8818
1870.06 43.5511
1870.13 29.8746
1870.18 21.4198
1870.24 16.5358
1870.30 13.6501
1870.36 11.8545
1870.48 9.87112
1870.60 8.88036
1870.71 8.31204
1870.83 7.96030
1871.07 7.56771
1871.30 7.36349
1871.54 7.24451
1872.01 7.11677
1872.48 7.05234
1872.95 7.01441
1873.89 6.97168
1875.78 6.92988
1877.66 6.90410
1881.43 6.86258
1885.19 6.82259
1892.73 6.73388
1900.26 6.62130
1907.80 6.46160
1911.56 6.34881
1915.33 6.19642
1917.22 6.09737
1919.10 5.97626
1920.98 5.82534
1922.87 5.63614
1923.81 5.52615
1924.75 5.41019
1925.69 5.30336
1926.63 5.25567
1927.10 5.29779
1927.57 5.44440
1928.05 5.80687
1928.52 6.64821
1928.99 8.67989
1929.22 10.7311
1929.46 14.2583
1929.69 20.8213
1929.81 26.2585
1929.93 34.1618
1930.05 46.2574
1930.16 65.1415
1930.28 96.1799
1930.40 146.843
1930.55 250.237
1930.70 334.360
1930.85 287.353
1931.00 194.087
1931.14 134.540
1931.27 97.4901
1931.41 74.2350
1931.54 59.0187
1931.81 41.1914
1932.08 31.5981
1932.35 25.7866
1932.62 22.0001
1933.16 17.4484
1933.70 14.8802
1934.24 13.2616
1934.78 12.1604
1935.31 11.3685
1936.39 10.3137
1937.47 9.64837
1938.55 9.19272
1939.63 8.86197
1941.78 8.41443
1943.94 8.12577
1946.10 7.92347
1948.25 7.77320
1952.56 7.56305
1956.88 7.42099
1965.50 7.23519
1974.13 7.11295
1982.75 7.02163
2000.00 6.88430
2024.81 6.73386
2049.62 6.60569
2099.23 6.36728
2148.85 6.11762
2198.47 5.82327
2248.08 5.43412
2272.89 5.17522
2297.70 4.84567
2310.10 4.64499
2322.51 4.41591
2334.91 4.16113
2347.31 3.90748
2353.52 3.81177
2359.72 3.78493
2365.92 3.92294
2372.12 4.46623
2378.32 6.10206
2381.43 7.91934
2384.53 11.2476
2387.63 17.7702
2389.18 23.3995
2390.73 31.9284
2392.28 45.3843
2393.83 67.5527
2395.38 105.769
2396.93 172.850
2398.72 299.626
2400.50 406.404
2402.29 352.974
2404.07 239.668
2405.57 170.520
2407.06 125.790
2408.56 96.8012
2410.05 77.3744
2413.05 54.0260
2416.04 41.1213
2419.03 33.2077
2422.02 27.9742
2428.00 21.6204
2433.98 17.9889
2439.97 15.6780
2445.95 14.0927
2451.93 12.9444
2463.90 11.3998
2475.86 10.4124
2487.83 9.72668
2499.79 9.22132
2523.72 8.52010
2547.65 8.04729
2595.51 7.41561
2643.37 6.95454
2667.30 6.73676
2691.23 6.50060
2715.16 6.20967
2727.13 6.02040
2739.09 5.77464
2745.08 5.61758
2751.06 5.42559
2757.04 5.18314
2763.02 4.86603
2766.02 4.66879
2769.01 4.43998
2772.00 4.17987
2774.99 3.91041
2776.48 3.79986
2777.98 3.75082
2779.48 3.85629
2780.97 4.35423
2782.47 5.94574
2783.22 7.76981
2783.96 11.1880
2784.71 18.1044
2785.08 24.2441
2785.46 33.8049
2785.83 49.4114
2786.21 76.3622
2786.58 125.791
2786.95 219.301
2787.33 377.868
2787.70 508.703
2788.07 438.567
2788.45 295.720
2788.77 207.968
2789.08 151.854
2789.40 115.831
2789.72 91.9218
2790.35 63.3697
2790.99 47.7114
2791.62 38.1594
2792.26 31.8832
2793.53 24.3069
2794.80 20.0036
2796.07 17.2825
2797.34 15.4242
2798.61 14.0852
2801.15 12.2951
2803.69 11.1605
2806.23 10.3795
2808.77 9.80937
2813.86 9.02908
2818.94 8.51445
2824.02 8.14181
2829.10 7.85143
2839.26 7.39398
2844.35 7.18628
2849.43 6.96548
2854.51 6.69699
2857.05 6.52377
2859.59 6.30119
2860.86 6.16086
2862.13 5.99246
2863.40 5.78612
2864.67 5.53174
2865.31 5.38562
2865.94 5.23343
2866.58 5.09531
2867.21 5.03669
2867.85 5.28336
2868.17 5.74453
2868.48 6.78879
2868.80 9.24682
2868.96 11.6549
2869.12 15.6650
2869.28 22.8327
2869.36 28.5781
2869.44 36.6033
2869.52 48.3905
2869.59 65.6918
2869.67 91.8511
2869.75 131.423
2869.88 226.935
2870.00 308.047
2870.12 268.476
2870.25 183.294
2870.37 126.093
2870.48 91.0850
2870.60 69.4088
2870.72 55.3524
2870.95 38.9945
2871.18 30.1968
2871.42 24.8879
2871.65 21.4087
2872.12 17.2159
2872.59 14.8321
2873.06 13.3177
2873.52 12.2797
2873.99 11.5277
2874.93 10.5164
2875.86 9.87034
2876.80 9.42278
2877.74 9.09433
2879.61 8.64338
2881.48 8.34649
2883.35 8.13442
2885.22 7.97397
2888.97 7.74388
2892.71 7.58319
2900.20 7.36481
2907.69 7.21548
2915.18 7.10156
2930.15 6.92938
2960.10 6.68565
2990.05 6.49720
3020.01 6.33029
3049.96 6.16974
3064.93 6.08877
3079.91 6.00633
3087.40 5.96490
3094.88 5.92529
3098.63 5.90894
3102.37 5.90337
3104.24 5.91553
3106.12 5.96973
3107.05 6.05275
3107.52 6.13629
3107.99 6.28663
3108.46 6.59520
3108.69 6.88666
3108.92 7.38494
3109.16 8.33979
3109.27 9.18180
3109.39 10.5213
3109.51 12.8271
3109.63 17.2430
3109.68 21.1199
3109.74 26.9870
3109.80 36.3198
3109.86 51.2904
3109.93 78.4806
3110.00 96.5763
3110.07 78.5080
3110.14 51.3246
3110.19 39.3578
3110.23 30.9707
3110.32 20.9834
3110.41 15.7670
3110.49 12.8143
3110.58 10.9682
3110.67 9.76973
3110.84 8.34130
3111.02 7.56386
3111.19 7.09561
3111.54 6.58446
3111.89 6.32555
3112.24 6.17690
3112.94 6.01987
3113.65 5.94158
3114.35 5.89596
3115.75 5.84499
3118.55 5.79594
3121.35 5.76639
3126.95 5.72054
3132.56 5.67871
3143.77 5.59482
3154.97 5.50637
3166.18 5.41169
3177.39 5.31139
3182.99 5.26191
3188.60 5.22278
3191.40 5.22024
3192.80 5.23274
3194.20 5.26807
3195.60 5.35991
3196.30 5.45730
3197.00 5.63654
3197.70 6.01160
3198.05 6.36917
3198.40 6.98512
3198.75 8.17648
3198.93 9.23636
3199.10 10.9374
3199.28 13.9032
3199.45 19.6974
3199.54 24.8750
3199.63 32.9274
