Ca-42(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 35.5753
1.25000E-05 31.9485
1.50000E-05 29.2713
2.00000E-05 25.5134
2.75000E-05 21.9377
3.50000E-05 19.5845
4.25000E-05 17.8857
5.00000E-05 16.5852
6.25000E-05 14.9632
7.50000E-05 13.7659
0.000100000 12.0854
0.000125000 10.9385
0.000150000 10.0919
0.000200000 8.90351
0.000275000 7.77279
0.000350000 7.02864
0.000425000 6.49142
0.000500000 6.08016
0.000625000 5.56725
0.000750000 5.18864
0.00100000 4.65719
0.00125000 4.29451
0.00150000 4.02679
0.00200000 3.65100
0.00275000 3.29344
0.00350000 3.05811
0.00425000 2.88823
0.00500000 2.75818
0.00625000 2.59598
0.00750000 2.47625
0.0100000 2.30819
0.0125000 2.19350
0.0150000 2.10884
0.0200000 1.99001
0.0253000 1.90482
0.0314750 1.83417
0.0376500 1.78170
0.0500000 1.70766
0.0625000 1.65637
0.0750000 1.61850
0.100000 1.56535
0.125000 1.52907
0.150000 1.50230
0.200000 1.46470
0.275000 1.42893
0.350000 1.40538
0.500000 1.37535
0.750000 1.34710
1.00000 1.33023
1.50000 1.31018
2.00000 1.29819
2.75000 1.28672
3.50000 1.27911
5.00000 1.26930
7.50000 1.25985
10.0000 1.25400
15.0000 1.24664
20.0000 1.24184
27.5000 1.23670
35.0000 1.23280
50.0000 1.22673
75.0000 1.21885
100.000 1.21219
150.000 1.20043
200.000 1.18974
275.000 1.17479
350.000 1.16072
500.000 1.13449
750.000 1.09508
1000.00 1.05989
1500.00 0.999261
2000.00 0.948554
2750.00 0.885798
3160.00 0.856531
3500.00 0.834365
4250.00 0.790826
5000.00 0.752876
6035.56 0.706552
7071.11 0.663547
7588.89 0.641332
8106.67 0.615852
8365.55 0.599859
8495.00 0.590137
8624.44 0.578453
8753.89 0.563598
8818.61 0.554332
8883.33 0.543288
8948.05 0.529935
9012.78 0.514350
9045.14 0.507280
9077.50 0.507272
9093.68 0.519165
9101.77 0.534927
9109.86 0.567191
9117.95 0.640896
9122.00 0.715936
9126.04 0.852939
9128.06 0.967592
9130.09 1.14067
9132.11 1.41934
9134.13 1.90884
9136.15 2.88875
9137.16 3.79347
9138.18 5.30613
9139.19 8.11529
9139.69 10.5117
9140.20 14.1869
9140.70 20.2216
9141.21 30.9280
9141.72 51.9449
9141.97 70.0013
9142.22 96.1289
9142.61 153.612
9143.00 191.963
9143.39 153.640
9143.78 96.1731
9144.17 59.3497
9144.56 38.7718
9144.95 26.8737
9145.34 19.6184
9145.73 14.9126
9146.12 11.7259
9146.90 7.82080
9147.68 5.62677
9148.45 4.27779
9150.01 2.77835
9151.57 2.00918
9153.13 1.56320
9154.69 1.28169
9156.24 1.09265
9159.36 0.861633
9162.47 0.730685
9165.59 0.648686
9168.71 0.593471
9174.94 0.524602
9181.17 0.483207
9193.63 0.433109
9218.56 0.370158
9243.48 0.310374
9255.94 0.275653
9268.40 0.235885
9280.87 0.190716
9293.33 0.143658
9299.56 0.124302
9305.79 0.116067
9312.02 0.136643
9315.14 0.170166
9318.25 0.233212
9321.37 0.347079
9324.49 0.552394
9326.04 0.712762
9327.60 0.933537
9329.16 1.24244
9330.72 1.68345
9332.27 2.33104
9333.83 3.31473
9335.39 4.87712
9336.95 7.50669
9338.51 12.3038
9339.28 16.2555
9340.06 22.0633
9340.84 30.9429
9341.62 45.1309
9342.40 68.7775
9343.18 108.757
9344.09 182.357
9345.00 238.684
9345.91 199.746
9346.82 130.539
9347.46 95.3845
9348.10 71.3427
9348.74 54.9692
9349.38 43.5775
9350.65 29.4298
9351.93 21.4115
9353.20 16.4449
9354.48 13.1569
9357.03 9.19440
9359.58 6.96667
9362.13 5.57751
9364.68 4.64414
9367.24 3.98224
9372.34 3.11757
9377.44 2.58625
9382.54 2.23109
9387.65 1.97894
9397.85 1.64762
9408.06 1.44148
9418.27 1.30176
9428.47 1.20117
9448.88 1.06652
9469.30 0.980767
9489.71 0.921450
9510.12 0.877988
9550.94 0.818497
9591.77 0.779576
9632.59 0.752007
9673.41 0.731356
9755.06 0.702224
9836.71 0.682358
10000.0 0.656222
10156.3 0.639628
10312.5 0.627157
10625.0 0.608496
11250.0 0.581900
12500.0 0.542216
15000.0 0.475324
15800.0 0.454481
17900.0 0.397188
20000.0 0.327399
20675.0 0.296851
21349.9 0.253939
21687.4 0.221371
21856.1 0.199128
22024.9 0.169867
22193.6 0.128920
22278.0 0.101727
22362.3 0.0688466
22446.7 0.0328845
22488.9 0.0196443
22510.0 0.0180028
22531.1 0.0236475
22552.2 0.0429085
22573.3 0.0883700
22583.8 0.128417
22594.4 0.187150
22604.9 0.274009
22615.4 0.404051
22626.0 0.603567
22636.5 0.919098
22647.1 1.44196
22657.6 2.36204
22662.9 3.09417
22668.2 4.13282
22673.4 5.65925
22678.7 7.99663
22684.0 11.7689
22689.3 18.2073
22694.5 29.9409
22699.8 52.1318
22704.9 87.7068
22710.0 115.163
22715.1 96.7967
22720.2 63.5207
22723.7 46.8508
22727.2 35.3434
22730.7 27.3991
22734.1 21.8401
22741.1 14.8601
22748.1 10.8640
22755.1 8.37469
22762.0 6.71835
22776.0 4.71208
22789.9 3.57730
22803.8 2.86645
22817.8 2.38740
22831.7 2.04676
22859.6 1.59990
22887.5 1.32416
22915.3 1.13901
22943.2 1.00710
22999.0 0.832753
23054.7 0.723387
23110.5 0.648598
23166.2 0.594232
