Ni-58(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 212.510
1.25000E-05 190.075
1.50000E-05 173.514
2.00000E-05 150.267
2.75000E-05 128.148
3.50000E-05 113.591
4.25000E-05 103.082
5.00000E-05 95.0371
6.25000E-05 85.0038
7.50000E-05 77.5975
0.000100000 67.2014
0.000125000 60.1067
0.000150000 54.8697
0.000200000 47.5185
0.000275000 40.5239
0.000350000 35.9206
0.000425000 32.5974
0.000500000 30.0533
0.000625000 26.8805
0.000750000 24.5384
0.00100000 21.2509
0.00125000 19.0074
0.00150000 17.3513
0.00200000 15.0267
0.00275000 12.8148
0.00350000 11.3591
0.00425000 10.3082
0.00500000 9.50371
0.00625000 8.50038
0.00750000 7.75975
0.0100000 6.72014
0.0125000 6.01068
0.0150000 5.48698
0.0200000 4.75186
0.0253000 4.22492
0.0303600 3.85681
0.0364300 3.52083
0.0376500 3.46333
0.0406850 3.33167
0.0437200 3.21397
0.0500000 3.00533
0.0524600 2.93401
0.0577050 2.79748
0.0629500 2.67840
0.0750000 2.45387
0.0755500 2.44492
0.0774375 2.41494
0.0793250 2.38603
0.0831000 2.33119
0.0906500 2.23197
0.100000 2.12509
0.108790 2.03744
0.130540 1.85995
0.150000 1.73512
0.156650 1.69789
0.172315 1.61887
0.187980 1.54995
0.200000 1.50265
0.225580 1.41489
0.270690 1.29161
0.275000 1.28145
0.287458 1.25338
0.299915 1.22707
0.324830 1.17908
0.350000 1.13589
0.389800 1.07633
0.467760 0.982548
0.500000 0.950339
0.561310 0.896931
0.673570 0.818773
0.750000 0.775930
0.808280 0.747430
0.969940 0.682297
1.00000 0.671963
1.08197 0.646006
1.16393 0.622841
1.39672 0.568564
1.50000 0.548634
1.67606 0.519008
2.00000 0.475111
2.01127 0.473777
2.03641 0.470843
2.06155 0.467962
2.11183 0.462355
2.21240 0.451721
2.41352 0.432482
2.75000 0.405154
2.89623 0.394790
3.47548 0.360372
3.50000 0.359107
3.58382 0.354880
3.66764 0.350799
3.83529 0.343042
4.17057 0.328955
5.00000 0.300411
5.00468 0.300271
5.02032 0.299802
5.03596 0.299336
5.06724 0.298410
5.12980 0.296583
5.25492 0.293028
