Ca-48(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 58.6777
1.25000E-05 52.8753
1.50000E-05 48.5922
2.00000E-05 42.5800
2.75000E-05 36.8594
3.50000E-05 33.0945
4.25000E-05 30.3766
5.00000E-05 28.2959
6.25000E-05 25.7010
7.50000E-05 23.7855
0.000100000 21.0968
0.000125000 19.2619
0.000150000 17.9075
0.000200000 16.0062
0.000275000 14.1972
0.000350000 13.0067
0.000425000 12.1472
0.000500000 11.4892
0.000625000 10.6686
0.000750000 10.0629
0.00100000 9.21265
0.00125000 8.63241
0.00150000 8.20409
0.00200000 7.60287
0.00275000 7.03081
0.00350000 6.65433
0.00425000 6.38254
0.00500000 6.17446
0.00625000 5.91497
0.00750000 5.72342
0.0100000 5.45455
0.0125000 5.27106
0.0150000 5.13561
0.0200000 4.94549
0.0253000 4.80920
0.0314750 4.69617
0.0376500 4.61223
0.0500000 4.49378
0.0625000 4.41171
0.0750000 4.35114
0.100000 4.26610
0.125000 4.20807
0.150000 4.16523
0.200000 4.10510
0.275000 4.04787
0.350000 4.01020
0.500000 3.96217
0.750000 3.91700
1.00000 3.89004
1.50000 3.85801
2.00000 3.83886
2.75000 3.82057
3.50000 3.80847
5.00000 3.79290
7.50000 3.77798
10.0000 3.76882
15.0000 3.75743
20.0000 3.75012
27.5000 3.74246
35.0000 3.73677
50.0000 3.72813
75.0000 3.71725
100.000 3.70824
150.000 3.69253
200.000 3.67827
275.000 3.65820
350.000 3.63907
500.000 3.60258
750.000 3.54543
1000.00 3.49182
1500.00 3.39327
2000.00 3.30450
2750.00 3.18650
3500.00 3.08353
5000.00 2.91245
7500.00 2.69961
10000.0 2.54505
12500.0 2.42774
15000.0 2.33563
20000.0 2.20016
23750.0 2.12611
27500.0 2.06737
35000.0 1.97971
42500.0 1.91696
50000.0 1.86933
62500.0 1.81013
75000.0 1.76570
87500.0 1.72937
100000 1.69694
115276 1.65706
130553 1.60600
138191 1.56646
145829 1.49810
149648 1.43580
151557 1.38845
153467 1.32049
155377 1.21393
156331 1.13394
157286 1.02192
158241 0.854480
158718 0.736275
159196 0.582449
159673 0.379999
159912 0.258655
160150 0.130562
160270 0.0708133
160389 0.0232187
160508 0.00284220
160568 0.0112628
160628 0.0394002
160687 0.0958781
160747 0.192983
160807 0.348621
160866 0.588492
160926 0.951714
160986 1.49267
161045 2.29224
161105 3.45311
161179 5.57327
161253 8.56965
161400 15.3429
161474 16.9120
161548 16.6433
161695 13.5541
161832 10.7152
161970 8.68564
162107 7.28739
162245 6.30368
162519 5.04936
162794 4.30344
163069 3.81666
163343 3.47696
163893 3.03712
164442 2.76639
164992 2.58373
165541 2.45239
166091 2.35349
167189 2.21451
168288 2.12152
170486 2.00471
172684 1.93403
174882 1.88641
179277 1.82573
188068 1.76198
196859 1.72715
214441 1.68684
232023 1.66173
249604 1.64334
258395 1.63598
267186 1.63020
275977 1.62760
280373 1.62915
284768 1.63537
289164 1.65319
291361 1.67255
293559 1.70820
295757 1.78099
296856 1.84788
297955 1.95748
299054 2.15239
300152 2.54041
300702 2.88936
301251 3.44359
301801 4.36421
302350 5.91922
302975 8.64366
303600 10.5382
304225 8.83146
304850 6.17960
305590 4.23966
306329 3.24828
307069 2.71326
307809 2.39979
308549 2.20238
309288 2.07053
310768 1.91105
312247 1.82170
313726 1.76635
316685 1.70344
319644 1.66962
322603 1.64878
328520 1.62429
334438 1.60987
340355 1.59987
352190 1.58608
364025 1.57800
369943 1.57744
375860 1.58263
381778 1.60284
384736 1.62703
387695 1.67385
390654 1.77334
392133 1.86697
393613 2.02275
395092 2.30376
396571 2.87115
397311 3.38650
398051 4.21164
398790 5.59464
399530 7.95499
400365 12.1056
401200 15.0620
402035 12.5410
402870 8.53067
403616 6.12937
404363 4.68019
405109 3.79011
405855 3.21728
407348 2.55542
408840 2.19687
410333 1.96751
411825 1.78832
412571 1.70030
413318 1.60892
413691 1.57291
413877 1.56915
414064 1.59316
414250 1.68680
414437 1.97527
414530 2.30396
414624 2.91588
414717 4.11128
414810 6.51116
414905 10.9672
415000 15.3141
415095 14.2761
415190 10.6491
415254 8.66567
415318 7.21270
415445 5.40209
415573 4.39851
415700 3.79038
415828 3.39252
415956 3.11596
416211 2.76172
416466 2.54686
416721 2.40356
417231 2.22440
417742 2.11625
418252 2.04311
419273 1.94885
421314 1.84741
423355 1.79145
427438 1.73140
431520 1.70599
435603 1.71041
437644 1.73058
439685 1.77459
441726 1.86708
443768 2.07484
444788 2.27638
445809 2.61523
446829 3.21521
447850 4.30538
448925 6.18340
450000 7.64510
451075 6.68688
452150 4.94958
452898 4.06799
453645 3.46090
454393 3.04450
455141 2.75282
456636 2.38709
458131 2.17695
459627 2.04519
461122 1.95676
464113 1.84795
467103 1.78486
470094 1.74415
476075 1.69493
482056 1.66608
488038 1.64684
494019 1.63287
500000 1.62210
500000 2.93840
550000 2.90170
600000 2.88120
650000 2.87380
700000 2.87690
750000 2.88870
800000 2.90760
850000 2.93230
900000 2.96180
950000 2.99510
1.00000E+06 3.03140
1.10000E+06 3.11050
1.20000E+06 3.19430
1.30000E+06 3.27920
1.40000E+06 3.36220
1.50000E+06 3.44120
1.60000E+06 3.51460
1.70000E+06 3.58140
1.80000E+06 3.64090
1.90000E+06 3.69310
2.00000E+06 3.73800
2.10000E+06 3.77580
2.20000E+06 3.80700
2.30000E+06 3.83200
2.40000E+06 3.85140
2.50000E+06 3.86570
2.60000E+06 3.87530
2.70000E+06 3.88090
2.80000E+06 3.88290
2.90000E+06 3.88170
3.00000E+06 3.87770
3.10000E+06 3.87130
3.20000E+06 3.86270
3.30000E+06 3.85220
3.40000E+06 3.84020
3.50000E+06 3.82670
3.60000E+06 3.81200
3.70000E+06 3.79630
3.80000E+06 3.77960
3.90000E+06 3.76220
3.91232E+06 3.76000
4.00000E+06 3.74410
4.20000E+06 3.70640
4.37343E+06 3.67220
4.40000E+06 3.66690
4.59807E+06 3.62670
4.60000E+06 3.62630
4.60176E+06 3.62590
4.60176E+06 3.62590
4.70901E+06 3.60380
4.70901E+06 3.60380
4.80000E+06 3.58490
5.00000E+06 3.54310
5.20000E+06 3.50110
5.25384E+06 3.48980
5.37126E+06 3.46510
5.40000E+06 3.45910
5.42315E+06 3.45420
5.42316E+06 3.45420
5.42578E+06 3.45370
5.48279E+06 3.44170
5.48279E+06 3.44170
5.57587E+06 3.42230
5.57587E+06 3.42230
5.60000E+06 3.41720
5.80000E+06 3.37570
5.84985E+06 3.36540
6.00000E+06 3.33450
6.20000E+06 3.29380
6.23324E+06 3.28710
6.23324E+06 3.28710
6.40000E+06 3.25370
6.47009E+06 3.23970
6.47009E+06 3.23970
6.47847E+06 3.23810
6.47848E+06 3.23810
6.60000E+06 3.21400
6.61630E+06 3.21080
6.61631E+06 3.21080
6.75333E+06 3.18400
6.78885E+06 3.17710
6.80000E+06 3.17500
6.82643E+06 3.16990
6.82643E+06 3.16990
6.93436E+06 3.14900
7.00000E+06 3.13650
7.20000E+06 3.09850
7.40000E+06 3.06110
7.60000E+06 3.02420
7.80000E+06 2.98790
8.00000E+06 2.95210
8.50000E+06 2.86540
9.00000E+06 2.78290
9.03514E+06 2.77730
9.50000E+06 2.70550
1.00000E+07 2.63410
1.01556E+07 2.61320
1.05000E+07 2.56930
1.07301E+07 2.54180
1.10000E+07 2.51140
1.15000E+07 2.46050
1.15060E+07 2.45990
1.15458E+07 2.45620
1.19031E+07 2.42420
1.20000E+07 2.41610
1.21380E+07 2.40490
1.23535E+07 2.38830
1.23626E+07 2.38760
1.25000E+07 2.37760
1.30000E+07 2.34420
1.35000E+07 2.31510
1.36899E+07 2.30490
1.36899E+07 2.30490
1.38680E+07 2.29590
1.40000E+07 2.28940
1.42345E+07 2.27840
1.42346E+07 2.27840
1.45000E+07 2.26670
1.46800E+07 2.25910
1.50000E+07 2.24640
1.55000E+07 2.22830
1.59304E+07 2.21430
1.59305E+07 2.21430
1.60000E+07 2.21220
1.60040E+07 2.21210
1.60040E+07 2.21210
1.61393E+07 2.20810
1.65000E+07 2.19800
1.66037E+07 2.19530
1.66038E+07 2.19530
1.67094E+07 2.19270
1.69081E+07 2.18790
1.70000E+07 2.18580
1.72884E+07 2.17960
1.72885E+07 2.17960
1.73721E+07 2.17800
1.73722E+07 2.17800
1.74027E+07 2.17740
1.74027E+07 2.17740
1.75000E+07 2.17550
1.75847E+07 2.17400
1.75848E+07 2.17400
1.76662E+07 2.17250
1.76663E+07 2.17250
1.77790E+07 2.17060
1.80000E+07 2.16720
1.85000E+07 2.16080
1.90000E+07 2.15640
1.95000E+07 2.15390
2.00000E+07 2.15320
2.00000E+07 2.15329
2.10000E+07 2.15688
2.20000E+07 2.16625
2.30000E+07 2.18010
2.40000E+07 2.19720
2.50000E+07 2.21620
2.60000E+07 2.23650
2.70000E+07 2.25690
2.80000E+07 2.27720
2.90000E+07 2.29680
3.00000E+07 2.31550
3.10000E+07 2.33300
3.20000E+07 2.34930
3.30000E+07 2.36430
3.40000E+07 2.37770
3.50000E+07 2.38980
3.60000E+07 2.40029
3.70000E+07 2.40907
3.80000E+07 2.41636
3.90000E+07 2.42195
4.00000E+07 2.42601
4.10000E+07 2.42844
4.20000E+07 2.42933
4.30000E+07 2.42876
4.40000E+07 2.42674
4.50000E+07 2.42325
4.60000E+07 2.41848
4.70000E+07 2.41254
4.80000E+07 2.40531
4.90000E+07 2.39699
5.00000E+07 2.38757
5.10000E+07 2.37725
5.20000E+07 2.36602
5.30000E+07 2.35386
5.40000E+07 2.34099
5.50000E+07 2.32739
5.60000E+07 2.31315
5.70000E+07 2.29827
5.80000E+07 2.28284
5.90000E+07 2.26697
6.00000E+07 2.25064
6.10000E+07 2.23384
6.20000E+07 2.21668
6.30000E+07 2.19925
