Hg-200(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
7685.89 0.180542
7691.17 0.197145
7696.44 0.216085
7701.72 0.237816
7707.00 0.262883
7717.55 0.325983
7728.10 0.413376
7738.65 0.538039
7749.20 0.721299
7759.75 0.997309
7770.30 1.41286
7777.73 1.80656
7785.15 2.25517
7800.00 2.81009
7807.45 2.64066
7814.90 2.24106
7829.80 1.39746
7841.52 0.949123
7853.24 0.665377
7864.97 0.484569
7876.69 0.365480
7900.13 0.226416
7923.58 0.152775
7947.02 0.109599
7970.46 0.0822829
8017.35 0.0511113
8064.24 0.0347393
8111.13 0.0251150
8158.01 0.0189900
8204.90 0.0148564
8298.68 0.00980078
8392.45 0.00694686
8486.23 0.00518088
8580.00 0.00401314
8580.00 0.213434
10000.0 0.196195
12812.5 0.178277
15625.0 0.165116
21250.0 0.146618
26875.0 0.133898
32500.0 0.124417
43750.0 0.110916
55000.0 0.101529
77500.0 0.0889271
100000 0.0805855
120000 0.0730147
140000 0.0671713
180000 0.0586304
200000 0.0553812
220000 0.0525973
260000 0.0480513
340000 0.0415586
369756 0.0397140
369800 0.0397115
382350 0.0390008
394900 0.0383251
420000 0.0370682
465000 0.0341458
510000 0.0316936
600000 0.0277988
800000 0.0278726
951978 0.0268733
952020 0.0268730
976010 0.0267330
1.00000E+06 0.0265971
1.03449E+06 0.0263459
1.03449E+06 0.0263459
1.06142E+06 0.0261571
1.06250E+06 0.0261496
1.08836E+06 0.0259742
1.12500E+06 0.0257347
1.14224E+06 0.0256254
1.25000E+06 0.0249869
1.26040E+06 0.0249357
1.26043E+06 0.0249356
1.29037E+06 0.0247911
1.32032E+06 0.0246507
1.38021E+06 0.0243816
1.42368E+06 0.0241952
1.48398E+06 0.0239481
1.50000E+06 0.0238845
1.52280E+06 0.0233523
1.52284E+06 0.0233514
1.52284E+06 0.0233513
1.55898E+06 0.0225474
1.57822E+06 0.0221380
1.57822E+06 0.0221379
1.58164E+06 0.0220665
1.59512E+06 0.0217885
1.60144E+06 0.0216602
