Ni-64(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 74.4405
1.25000E-05 66.5816
1.50000E-05 60.7804
2.00000E-05 52.6374
2.75000E-05 44.8893
3.50000E-05 39.7901
4.25000E-05 36.1089
5.00000E-05 33.2908
6.25000E-05 29.7762
7.50000E-05 27.1818
0.000100000 23.5401
0.000125000 21.0549
0.000150000 19.2205
0.000200000 16.6454
0.000275000 14.1952
0.000350000 12.5827
0.000425000 11.4187
0.000500000 10.5275
0.000625000 9.41606
0.000750000 8.59565
0.00100000 7.44405
0.00125000 6.65816
0.00150000 6.07804
0.00200000 5.26374
0.00275000 4.48893
0.00350000 3.97901
0.00425000 3.61090
0.00500000 3.32908
0.00625000 2.97762
0.00750000 2.71818
0.0100000 2.35402
0.0125000 2.10550
0.0150000 1.92205
0.0200000 1.66454
0.0253000 1.47996
0.0314750 1.32687
0.0376500 1.21319
0.0500000 1.05275
0.0625000 0.941612
0.0750000 0.859572
0.100000 0.744413
0.125000 0.665825
0.150000 0.607814
0.200000 0.526385
0.275000 0.448907
0.350000 0.397916
0.500000 0.332926
0.750000 0.271841
1.00000 0.235427
1.50000 0.192236
2.00000 0.166491
2.75000 0.141996
3.50000 0.125876
5.00000 0.105333
7.50000 0.0860277
10.0000 0.0745228
15.0000 0.0608813
20.0000 0.0527539
27.5000 0.0450261
35.0000 0.0399445
50.0000 0.0334756
75.0000 0.0274087
100.000 0.0238028
150.000 0.0195436
200.000 0.0170203
275.000 0.0146381
350.000 0.0130859
500.000 0.0111376
750.000 0.00936153
999.999 0.00835091
1000.00 0.00835091
1000.01 0.00835088
1000.02 0.00835086
1000.03 0.00835081
1000.06 0.00835071
1000.12 0.00835052
1000.25 0.00835013
1000.49 0.00834935
1000.98 0.00834781
1001.96 0.00834471
1003.91 0.00833854
1007.81 0.00832625
1015.63 0.00830193
1031.25 0.00825424
1062.50 0.00816253
1125.00 0.00799255
1250.00 0.00769844
1500.00 0.00724795
2000.00 0.00669022
2750.00 0.00631338
3500.00 0.00623991
4000.00 0.00630677
4000.00 0.00630677
4000.01 0.00630677
4000.02 0.00630677
4000.03 0.00630678
4000.06 0.00630678
4000.12 0.00630680
4000.25 0.00630682
4000.49 0.00630688
4000.98 0.00630698
4001.96 0.00630719
4003.91 0.00630761
4007.81 0.00630846
4015.63 0.00631017
4031.25 0.00631364
4062.50 0.00632081
4125.00 0.00633607
4250.00 0.00637023
4500.00 0.00645295
5000.00 0.00667639
6129.01 0.00749557
7258.03 0.00891685
8387.04 0.0116442
8951.54 0.0154553
9092.67 0.0182115
9233.80 0.0251855
9304.36 0.0343965
9339.64 0.0434258
9374.92 0.0597159
9410.21 0.0939905
9427.85 0.127560
9445.49 0.187589
9454.31 0.237186
9463.13 0.311455
9471.95 0.429938
9480.77 0.635989
9489.59 1.04252
9494.00 1.41268
9498.41 2.02242
9502.82 3.12829
9505.03 4.04964
9507.23 5.43274
9509.44 7.62686
9511.64 11.3485
9513.85 18.1455
9516.05 31.1348
9518.03 49.8951
9520.00 62.4186
9521.98 49.8623
9523.95 31.1140
9525.81 19.6573
9527.67 13.0344
9529.53 9.11857
9531.39 6.68162
9535.11 3.98755
9538.83 2.63298
9542.55 1.86421
9546.27 1.38859
9553.70 0.856803
9561.14 0.582646
9568.58 0.423349
9576.02 0.322746
9583.46 0.255212
9598.33 0.173035
9613.21 0.126876
9642.96 0.0796327
9672.72 0.0572222
9702.47 0.0448980
9761.98 0.0325983
9880.99 0.0240577
10000.0 0.0214691
10356.1 0.0209319
10712.3 0.0231203
11424.5 0.0311443
12136.8 0.0454137
12849.0 0.0702866
13574.5 0.107240
14300.0 0.125083
14549.7 0.118745
14674.5 0.114093
14736.9 0.113747
14768.1 0.122665
14775.9 0.132888
14783.7 0.161867
14787.6 0.201104
14791.5 0.306430
14793.5 0.442097
14794.5 0.569457
14795.4 0.782576
14796.4 1.18923
14796.9 1.54358
14797.4 2.08608
14797.9 3.01701
14798.4 4.74764
