Ca-43(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
10244.6 0.00531624
10305.7 0.00537649
10366.9 0.00606953
10397.5 0.00724989
10412.7 0.00848422
10428.0 0.0107812
10443.3 0.0157464
10451.0 0.0206985
10458.6 0.0297043
10462.4 0.0372848
10466.2 0.0487829
10470.1 0.0674958
10473.9 0.100998
10477.7 0.170195
10479.6 0.236431
10481.5 0.351723
10483.4 0.579439
10484.4 0.788440
10485.3 1.12959
10486.3 1.75666
10486.8 2.28190
10487.3 3.05408
10487.7 4.30668
10488.2 6.44660
10488.5 8.10362
10488.7 10.3913
10488.9 13.5829
10489.2 17.7847
10489.6 28.3514
10490.0 35.3532
10490.2 33.1085
10490.4 28.0811
10490.9 17.5732
10491.3 10.9694
10491.7 7.27792
10492.1 5.05256
10492.5 3.70719
10492.9 2.80543
10493.3 2.20371
10494.1 1.45079
10494.9 1.02463
10495.7 0.761339
10497.3 0.468689
10498.9 0.316863
10500.6 0.229197
10502.2 0.173481
10503.8 0.136313
10507.0 0.0909164
10510.2 0.0654061
10513.5 0.0496621
10516.7 0.0392682
10523.2 0.0268300
10529.6 0.0199522
10542.5 0.0129974
10555.5 0.00971763
10568.4 0.00791022
10594.2 0.00607305
10645.9 0.00468695
10697.6 0.00414289
10904.4 0.00343141
11317.9 0.00312843
11731.4 0.00331264
12144.9 0.00401022
12558.5 0.00567861
12765.2 0.00729160
12972.0 0.0100289
13178.7 0.0151525
13282.1 0.0195468
13385.5 0.0263361
13488.9 0.0375514
13592.3 0.0577504
13643.9 0.0742475
13695.6 0.0981859
13747.3 0.133672
13799.0 0.186134
13874.5 0.295158
13950.0 0.366079
14026.0 0.293013
14102.0 0.187865
14160.1 0.137727
14218.2 0.117298
14247.3 0.123504
14276.3 0.157518
14290.8 0.201273
14305.4 0.292719
14312.6 0.377055
14319.9 0.513037
14327.1 0.743067
14334.4 1.13946
14342.2 1.79368
14350.0 2.22896
14357.8 1.78819
14365.6 1.13099
14374.5 0.669001
14383.4 0.429428
14392.2 0.298801
14401.1 0.221745
14418.9 0.140192
14436.6 0.100208
14454.4 0.0774398
14472.2 0.0630371
14507.7 0.0460697
14578.7 0.0301486
14649.7 0.0223674
14791.8 0.0144480
14933.9 0.0103880
15075.9 0.00794646
15218.0 0.00634715
15502.1 0.00444463
15786.2 0.00341823
16070.4 0.00285274
16354.5 0.00273871
16425.5 0.00293378
16496.6 0.00361298
16532.1 0.00460613
16549.8 0.00560890
16567.6 0.00744499
16585.4 0.0113630
16594.2 0.0152406
16603.1 0.0222432
16612.0 0.0369050
16616.4 0.0511494
16620.9 0.0763602
16625.3 0.127490
16629.8 0.257151
16632.0 0.412975
16633.1 0.549861
16634.2 0.766845
16635.3 1.13858
16635.9 1.43396
16636.4 1.84543
16637.0 2.46182
16637.5 3.38716
16638.1 4.84558
16638.6 7.16047
16639.3 11.4551
16640.0 14.3177
16640.7 11.4541
16641.4 7.15945
16642.0 4.65052
16642.6 3.14837
16643.2 2.23501
16643.8 1.65457
16645.0 1.00044
16646.3 0.667537
16647.5 0.474526
16648.7 0.355025
16651.1 0.219632
16653.5 0.149307
16656.0 0.108240
16658.4 0.0822182
16660.8 0.0647062
16665.7 0.0433426
16670.6 0.0313074
16675.4 0.0238674
16680.3 0.0189501
16690.0 0.0130594
16699.7 0.00979971
16719.2 0.00650358
16738.6 0.00495206
16758.0 0.00409986
16796.9 0.00324143
16874.7 0.00261583
16952.5 0.00239447
17263.5 0.00225247
17574.6 0.00246271
17885.7 0.00300048
18196.8 0.00418314
18352.3 0.00529115
18507.9 0.00713031
18663.4 0.0104728
18741.2 0.0132555
18818.9 0.0174263
18896.7 0.0240273
18974.5 0.0351860
19052.2 0.0554629
19091.1 0.0716678
19130.0 0.0938940
19200.0 0.149066
19270.0 0.185054
19340.0 0.147702
19410.0 0.0926076
19483.8 0.0560009
19557.5 0.0361324
19631.3 0.0249652
19705.0 0.0182766
19778.8 0.0140316
19852.5 0.0112135
20000.0 0.00798880
20072.1 0.00723108
20144.1 0.00723520
20180.2 0.00800318
20216.2 0.0107677
20234.2 0.0148006
20243.2 0.0188342
20252.2 0.0261200
20261.3 0.0413309
20270.3 0.0817733
20274.8 0.133359
20279.3 0.260405
20281.5 0.407858
20282.7 0.534292
20283.8 0.726907
20284.9 1.04564
20286.0 1.60764
20287.2 2.72052
20287.7 3.66948
20288.3 5.04768
20289.1 8.09184
20290.0 10.0898
20290.9 8.05374
20291.7 5.04689
20292.3 3.70983
20292.8 2.79075
20293.9 1.68422
20294.9 1.10630
20296.0 0.776297
20297.1 0.572831
20298.2 0.439443
20300.3 0.282378
20302.4 0.196576
20304.6 0.145024
