Co-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4164.88 0.213187
4200.19 0.293839
4235.50 0.449826
4253.15 0.584136
4270.80 0.781107
4296.95 1.20020
4323.10 1.49497
4349.25 1.23300
4375.40 0.817403
4394.18 0.611569
4412.96 0.477806
4450.53 0.335812
4488.09 0.274763
4525.65 0.249450
4600.78 0.246370
4675.90 0.274778
4837.95 0.388597
5000.00 0.467797
5016.00 0.466768
5058.51 0.454655
5101.03 0.430593
5186.05 0.361074
5356.10 0.223057
5485.18 0.153425
5614.25 0.108920
5743.33 0.0802561
5872.40 0.0612302
6130.55 0.0391185
6259.63 0.0336786
6324.17 0.0364149
6340.30 0.0413586
6356.43 0.0562830
6364.50 0.0770594
6368.54 0.0975234
6372.57 0.134124
6376.60 0.209443
6378.62 0.281152
6380.64 0.405071
6382.65 0.647302
6383.66 0.865742
6384.67 1.22120
6385.68 1.85579
6386.18 2.37497
6386.69 3.14095
6387.19 4.32769
6387.69 6.27488
6388.20 9.66673
6388.70 15.7575
6389.20 25.2069
6389.70 31.5812
6390.20 25.3409
6390.70 15.8613
6391.10 10.6861
6391.50 7.44471
6391.91 5.39917
6392.31 4.06226
6393.12 2.51341
6393.92 1.69936
6394.73 1.22436
6395.53 0.924761
6397.15 0.583772
6398.76 0.405041
6400.37 0.300052
6403.59 0.188138
6406.82 0.132912
6410.04 0.101667
6416.49 0.0694120
6422.94 0.0538960
6429.38 0.0452131
6442.28 0.0362348
6468.07 0.0292158
6493.86 0.0262597
6597.02 0.0214768
6803.34 0.0169638
7215.99 0.0122235
7422.31 0.0112161
7628.64 0.0117179
7731.80 0.0135598
7783.38 0.0156033
7834.96 0.0193861
7886.54 0.0272022
7912.33 0.0345345
7938.12 0.0469070
7963.91 0.0700655
7976.81 0.0899508
7989.70 0.120685
7996.15 0.142661
8002.60 0.171377
8009.04 0.209719
8015.49 0.262099
8021.94 0.335435
8028.39 0.440376
8034.83 0.592434
8041.28 0.808881
8051.59 1.26131
8056.75 1.42502
8061.90 1.43171
8072.21 1.04645
8082.52 0.640249
8093.05 0.394660
8103.57 0.259708
8114.10 0.181957
8124.62 0.134224
8145.68 0.0820023
8166.73 0.0559163
8187.78 0.0411445
8208.83 0.0320006
8250.94 0.0217486
8293.04 0.0164233
8335.14 0.0132929
8419.35 0.00991538
8587.77 0.00726057
8671.97 0.00709460
8693.02 0.00749980
8714.08 0.00891278
8724.60 0.0109871
8729.87 0.0130848
8735.13 0.0169303
8740.39 0.0251321
8743.02 0.0332457
8745.65 0.0478780
8748.29 0.0784717
8750.92 0.160474
8752.23 0.266295
8752.89 0.365213
8753.55 0.532578
8754.21 0.850145
8754.54 1.12726
8754.86 1.56354
8755.19 2.30396
8755.52 3.69265
8755.69 4.87906
8755.85 6.66048
8756.02 9.43899
8756.18 13.8146
8756.60 28.5423
8756.81 23.3887
8757.02 14.7132
8757.19 9.95155
8757.35 6.95651
8757.52 5.04386
8757.69 3.79729
8758.02 2.34428
8758.35 1.57934
8758.69 1.13270
8759.02 0.850920
8759.69 0.530184
8760.35 0.362091
8761.02 0.263378
8761.68 0.200585
8762.35 0.158209
8763.68 0.106366
8765.01 0.0770771
8766.35 0.0589362
8767.68 0.0469364
8770.34 0.0325276
8773.00 0.0245440
8778.33 0.0164548
8783.66 0.0126390
8788.98 0.0105356
8799.64 0.00840345
8820.95 0.00681048
8842.26 0.00619652
8927.49 0.00539510
9097.95 0.00487584
9268.42 0.00472539
9353.65 0.00501199
9396.27 0.00617493
9417.58 0.0105734
9428.23 0.0274125
9430.90 0.0442498
9433.56 0.0901675
9434.89 0.150778
9436.22 0.308823
9436.89 0.505575
9437.56 0.975649
9437.89 1.50043
9438.22 2.57845
9438.39 3.59253
9438.55 5.27251
9438.72 8.25853
9438.89 13.7615
9439.04 22.0614
9439.20 27.5572
9439.36 22.0088
9439.52 13.7643
9439.64 9.32579
9439.77 6.52573
9439.89 4.74685
9440.02 3.58558
9440.27 2.21996
9440.51 1.50076
9441.01 0.811089
9441.51 0.506160
9442.51 0.251674
9443.51 0.151082
9445.50 0.0733334
9447.50 0.0444058
9451.49 0.0229229
9455.48 0.0151823
9471.45 0.00760963
9503.39 0.00591443
9535.32 0.00600591
9567.26 0.00673683
9599.20 0.00854140
9615.16 0.0103891
9631.13 0.0137822
9647.10 0.0210268
9655.08 0.0282024
9663.07 0.0411758
9667.06 0.0520070
9671.05 0.0683941
9675.04 0.0948992
9679.04 0.141937
9681.03 0.180483
9683.03 0.237743
9685.02 0.328065
9687.02 0.482619
9689.02 0.779757
9690.01 1.04290
9691.01 1.46349
9692.01 2.19254
9692.51 2.77229
9693.01 3.60327
9693.51 4.84127
9693.76 5.69465
9694.01 6.76455
9694.26 8.12906
9694.51 9.86569
9694.75 12.0826
9695.00 14.8756
9695.30 19.0239
9695.60 23.5982
9696.20 28.3731
9696.50 26.0869
9696.80 21.8175
9697.40 13.4874
9697.99 8.36678
9698.58 5.49284
9699.17 3.81992
9699.76 2.78801
9700.36 2.11553
9700.95 1.65621
9702.13 1.09054
9703.31 0.770577
9704.49 0.572931
9706.86 0.352299
9709.22 0.238718
9711.58 0.172762
9713.95 0.131130
9716.31 0.103191
9721.04 0.0692003
9725.77 0.0501117
9730.50 0.0383354
9735.23 0.0305642
9744.68 0.0212713
9754.14 0.0161413
9773.05 0.0109715
9791.96 0.00855461
9810.88 0.00723965
9848.70 0.00594747
9924.35 0.00511157
10000.0 0.00497165
10170.0 0.00564367
10255.0 0.00656421
10340.0 0.00828469
10424.9 0.0118145
10467.4 0.0150955
10509.9 0.0205800
10552.4 0.0307203
10573.7 0.0393273
10594.9 0.0524827
10616.2 0.0739099
10637.4 0.111654
10648.0 0.141864
10658.7 0.184845
10669.3 0.247236
10679.9 0.337857
10713.0 0.700707
10721.3 0.671991
10729.6 0.578916
10746.1 0.365063
10760.7 0.237473
10775.2 0.160871
10789.8 0.114415
10804.3 0.0850000
10833.5 0.0520099
10862.6 0.0352102
10891.7 0.0256061
10920.8 0.0196325
10979.1 0.0129211
11037.3 0.00944104
11095.5 0.00740849
11212.0 0.00524770
11328.5 0.00418482
11444.9 0.00359833
11561.4 0.00328920
11619.6 0.00325891
11648.8 0.00339483
11663.3 0.00393624
11670.6 0.00601661
11674.2 0.0139876
11676.1 0.0434794
11677.0 0.144579
11677.4 0.436336
11677.7 1.11227
11677.8 2.10986
11677.9 5.21010
11677.9 8.37762
11678.0 10.4498
11678.1 8.37783
11678.1 5.21028
11678.2 2.41783
11678.3 1.37694
11678.5 0.577811
11678.9 0.195920
11679.6 0.0601604
11681.1 0.0186595
11684.2 0.00729018
11690.2 0.00431623
11702.2 0.00359383
11726.3 0.00354414
11774.5 0.00428483
11798.6 0.00543793
11810.6 0.00660667
11822.7 0.00874540
11834.7 0.0133000
11840.7 0.0177885
11846.8 0.0258579
11849.8 0.0325819
11852.8 0.0426685
11855.8 0.0588518
11858.8 0.0872332
11861.8 0.143955
11863.3 0.196557
11864.8 0.283956
11866.3 0.447367
11867.1 0.586017
11867.8 0.799065
11868.6 1.15427
11869.4 1.78038
11870.1 3.00990
11870.5 4.08516
11870.9 5.60884
11871.4 8.99935
11872.0 11.2054
11872.6 8.93615
11873.2 5.60831
11873.5 4.05096
11873.9 3.00986
11874.7 1.78051
11875.4 1.15445
11876.2 0.802816
11876.9 0.588450
11877.7 0.449040
11879.2 0.285626
11880.7 0.197550
11882.2 0.144873
11885.1 0.0879373
11888.1 0.0593118
11891.1 0.0430300
11894.1 0.0328392
11897.1 0.0260822
11903.1 0.0179176
11909.1 0.0133700
11921.1 0.00874574
11933.1 0.00656058
11945.0 0.00535896
11969.0 0.00415994
12016.9 0.00347165
12028.9 0.00358510
12040.9 0.00413472
12046.9 0.00498536
12052.9 0.00746432
12055.9 0.0109292
12058.9 0.0206206
12060.4 0.0338870
12061.9 0.0703381
12062.6 0.118844
12063.4 0.246889
12063.7 0.411910
12064.1 0.804139
12064.3 1.26573
12064.5 2.18236
12064.6 3.17265
12064.7 4.72163
12064.8 7.55161
12064.8 12.9670
12064.9 20.7545
12065.0 26.1172
12065.1 21.0785
12065.2 13.2209
12065.2 8.13875
12065.3 5.56178
12065.5 2.96487
12065.6 1.80897
12065.7 1.21045
12066.0 0.634902
12066.3 0.395344
12066.9 0.193869
12067.4 0.115331
12068.6 0.0551834
12069.7 0.0329597
12072.0 0.0165190
12074.3 0.0106018
12078.8 0.00629047
12083.4 0.00475277
12092.5 0.00362294
12101.6 0.00320844
12138.1 0.00274695
12211.0 0.00255250
12356.8 0.00246437
12648.5 0.00268275
12794.3 0.00312051
12940.2 0.00429135
13013.1 0.00569819
13049.5 0.00692544
13086.0 0.00885974
13122.5 0.0121687
13158.9 0.0185437
13177.1 0.0242292
13195.4 0.0334679
13213.6 0.0505654
13222.7 0.0684614
13227.3 0.0964949
13229.6 0.173201
13230.7 0.416897
13231.0 0.631491
13231.3 1.10292
13231.5 2.51853
13231.7 4.50682
13231.8 6.38449
13231.8 9.45536
13231.9 15.0261
