Nd-143(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 16481.3
1.25000E-05 14741.3
1.50000E-05 13456.9
1.77828E-05 12359.2
2.00000E-05 11654.0
2.75000E-05 9938.54
3.16228E-05 9268.05
3.50000E-05 8809.56
4.25000E-05 7994.52
5.00000E-05 7370.57
5.62341E-05 6950.01
7.50000E-05 6018.00
0.000100000 5211.70
0.000125000 4661.45
0.000150000 4255.27
0.000177828 3908.13
0.000200000 3685.11
0.000275000 3142.60
0.000316228 2930.56
0.000350000 2785.56
0.000425000 2527.79
0.000500000 2330.46
0.000562341 2197.44
0.000750000 1902.66
0.00100000 1647.63
0.00125000 1473.57
0.00150000 1345.08
0.00177828 1235.25
0.00200000 1164.69
0.00275000 993.024
0.00316228 925.915
0.00350000 880.020
0.00425000 798.422
0.00500000 735.940
0.00562341 693.816
0.00750000 600.433
0.0100000 519.593
0.0125000 464.384
0.0150000 423.599
0.0177828 388.716
0.0200000 366.289
0.0253000 325.145
0.0316228 290.270
0.0376500 265.536
0.0500000 229.558
0.0562341 216.052
0.0750000 186.021
0.100000 159.889
0.125000 141.940
0.150000 128.608
0.177828 117.142
0.200000 109.734
0.237500 99.5891
0.275000 91.5364
0.316228 84.3397
0.350000 79.3853
0.425000 70.5016
0.500000 63.6254
0.562341 58.9496
0.750000 48.4593
1.00000 39.2416
1.50000 28.2001
1.77828 24.2078
2.00000 21.6660
2.75000 15.6407
3.16228 13.3870
3.50000 11.8948
4.25000 9.36861
5.00000 7.57209
5.62341 6.44328
7.50000 4.22537
9.99999 2.67698
10.0000 2.67698
10.0000 2.67697
10.0001 2.67695
10.0001 2.67694
10.0001 2.67691
10.0003 2.67686
10.0005 2.67674
10.0011 2.67651
10.0021 2.67606
10.0042 2.67515
10.0083 2.67334
10.0165 2.66972
10.0331 2.66250
10.0661 2.64816
10.1322 2.61981
10.2644 2.56443
10.5288 2.45876
11.0577 2.26593
12.1153 1.94217
12.1153 1.94216
12.1154 1.94214
12.1155 1.94212
12.1156 1.94208
12.1159 1.94199
12.1166 1.94182
12.1178 1.94148
12.1203 1.94080
12.1253 1.93943
12.1353 1.93671
12.1554 1.93129
12.1954 1.92051
12.2755 1.89922
12.4357 1.85769
12.7560 1.77861
13.3967 1.63492
14.6780 1.39562
14.6780 1.39562
14.6781 1.39561
14.6782 1.39559
14.6783 1.39557
14.6786 1.39551
14.6793 1.39541
14.6805 1.39520
14.6831 1.39479
14.6881 1.39395
14.6981 1.39230
14.7183 1.38899
14.7585 1.38240
14.8390 1.36937
15.0000 1.34387
15.3479 1.29122
15.6957 1.24167
16.3914 1.15102
17.7828 0.998164
17.7828 0.998162
17.7829 0.998156
17.7830 0.998149
17.7831 0.998135
17.7834 0.998108
17.7839 0.998055
17.7850 0.997950
17.7872 0.997737
17.7915 0.997313
17.8001 0.996465
17.8175 0.994773
17.8521 0.991403
17.9214 0.984716
18.0600 0.971558
18.3371 0.946071
18.8914 0.898221
20.0000 0.813590
21.5443 0.716003
21.5443 0.716002
21.5444 0.715998
21.5445 0.715994
21.5446 0.715986
21.5449 0.715970
21.5454 0.715938
21.5465 0.715875
21.5488 0.715749
21.5532 0.715497
21.5621 0.714994
21.5799 0.713989
21.6155 0.711987
21.6867 0.708011
21.8291 0.700174
22.1140 0.684946
22.6836 0.656180
23.8230 0.604740
26.1016 0.521876
26.1016 0.521876
26.1017 0.521874
26.1017 0.521873
26.1018 0.521870
26.1020 0.521865
26.1023 0.521854
26.1030 0.521833
26.1044 0.521790
26.1071 0.521704
26.1125 0.521533
26.1235 0.521190
26.1453 0.520507
26.1890 0.519146
26.2764 0.516446
26.4512 0.511132
26.8008 0.500846
27.5000 0.481565
29.5614 0.433593
31.6228 0.396797
31.6228 0.396796
31.6229 0.396795
31.6229 0.396795
31.6230 0.396793
31.6232 0.396790
31.6236 0.396783
31.6245 0.396771
31.6261 0.396745
31.6294 0.396694
31.6360 0.396592
31.6492 0.396389
31.6756 0.395983
31.7284 0.395176
31.8339 0.393579
32.0450 0.390458
32.4671 0.384498
33.3114 0.373675
35.0000 0.356242
38.3119 0.338208
38.3119 0.338208
38.3120 0.338208
38.3120 0.338208
38.3122 0.338208
38.3124 0.338207
38.3129 0.338206
38.3139 0.338204
38.3159 0.338200
38.3198 0.338192
38.3277 0.338176
38.3436 0.338146
38.3752 0.338085
38.4385 0.337972
38.5652 0.337772
38.8184 0.337485
39.3249 0.337376
40.3379 0.339178
42.3639 0.352780
46.4159 0.456487
46.4159 0.456488
46.4160 0.456490
46.4160 0.456493
46.4161 0.456498
46.4164 0.456509
46.4168 0.456531
46.4177 0.456574
46.4194 0.456660
46.4229 0.456832
46.4299 0.457177
46.4439 0.457870
46.4719 0.459267
