Ni-60(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 120.738
1.25000E-05 107.991
1.50000E-05 98.5819
2.00000E-05 85.3744
2.75000E-05 72.8076
3.50000E-05 64.5370
4.25000E-05 58.5664
5.00000E-05 53.9955
6.25000E-05 48.2951
7.50000E-05 44.0872
0.000100000 38.1806
0.000125000 34.1498
0.000150000 31.1743
0.000200000 26.9978
0.000275000 23.0238
0.000350000 20.4084
0.000425000 18.5203
0.000500000 17.0749
0.000625000 15.2722
0.000750000 13.9416
0.00100000 12.0737
0.00125000 10.7991
0.00150000 9.85814
0.00200000 8.53738
0.00275000 7.28068
0.00350000 6.45362
0.00425000 5.85655
0.00500000 5.39945
0.00625000 4.82940
0.00750000 4.40859
0.0100000 3.81792
0.0125000 3.41482
0.0150000 3.11726
0.0200000 2.69958
0.0253000 2.40017
0.0260719 2.36437
0.0268438 2.33012
0.0283875 2.26586
0.0314750 2.15184
0.0345625 2.05346
0.0376500 1.96744
0.0438250 1.82353
0.0500000 1.70719
0.0625000 1.52689
0.0750000 1.39380
0.100000 1.20697
0.125000 1.07947
0.150000 0.985347
0.200000 0.853219
0.275000 0.727489
0.350000 0.644736
0.500000 0.539255
0.750000 0.440108
1.00000 0.381016
1.50000 0.310963
2.00000 0.269261
2.75000 0.229543
3.50000 0.203376
5.00000 0.169972
7.50000 0.138488
10.0000 0.119662
15.0000 0.0973906
20.0000 0.0840962
27.5000 0.0714118
30.0000 0.0682907
35.0000 0.0630756
40.0000 0.0588901
50.0000 0.0524586
60.0000 0.0477668
75.0000 0.0425772
80.0000 0.0412005
100.000 0.0367451
150.000 0.0299174
200.000 0.0259287
275.000 0.0221961
300.000 0.0212991
350.000 0.0198019
400.000 0.0186128
500.000 0.0168231
600.000 0.0155268
700.000 0.0145438
750.000 0.0141386
800.000 0.0137747
999.999 0.0126301
1000.00 0.0126301
1000.01 0.0126300
1000.01 0.0126300
1000.02 0.0126300
1000.04 0.0126299
1000.07 0.0126297
1000.14 0.0126294
1000.28 0.0126288
1000.57 0.0126275
