Y-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 166.017
1.25000E-05 148.490
1.50000E-05 135.552
2.00000E-05 117.392
2.75000E-05 100.112
3.50000E-05 88.7396
4.25000E-05 80.5299
5.00000E-05 74.2449
6.25000E-05 66.4066
7.50000E-05 60.6207
0.000100000 52.4990
0.000125000 46.9565
0.000150000 42.8653
0.000200000 37.1224
0.000275000 31.6580
0.000350000 28.0618
0.000425000 25.4657
0.000500000 23.4782
0.000625000 20.9995
0.000750000 19.1698
0.00100000 16.6015
0.00125000 14.8488
0.00150000 13.5549
0.00200000 11.7389
0.00275000 10.0108
0.00350000 8.87356
0.00425000 8.05255
0.00500000 7.42401
0.00625000 6.64013
0.00750000 6.06148
0.0100000 5.24923
0.0125000 4.69490
0.0150000 4.28570
0.0200000 3.71128
0.0253000 3.29950
0.0314750 2.95795
0.0376500 2.70431
0.0500000 2.34631
0.0625000 2.09826
0.0750000 1.91513
0.100000 1.65801
0.125000 1.48249
0.150000 1.35288
0.200000 1.17087
0.275000 0.997547
0.350000 0.883371
0.500000 0.737645
0.750000 0.600338
1.00000 0.518230
1.50000 0.420414
2.00000 0.361758
2.75000 0.305562
3.50000 0.268279
5.00000 0.220247
7.50000 0.174317
10.0000 0.146411
15.0000 0.112612
20.0000 0.0920457
27.5000 0.0722169
35.0000 0.0591129
50.0000 0.0426045
75.0000 0.0278420
100.000 0.0198256
100.000 0.0198255
100.001 0.0198254
100.001 0.0198253
100.002 0.0198251
100.003 0.0198248
100.006 0.0198240
100.012 0.0198225
100.025 0.0198195
100.049 0.0198136
100.098 0.0198016
100.196 0.0197778
100.391 0.0197302
100.781 0.0196356
101.563 0.0194485
103.125 0.0190824
106.250 0.0183819
112.500 0.0170957
125.000 0.0149097
150.000 0.0116632
200.000 0.00777789
257.466 0.00541660
314.932 0.00411162
372.397 0.00345053
401.130 0.00372947
408.313 0.00424684
415.497 0.00583354
419.088 0.00809129
420.884 0.0103596
422.680 0.0145105
424.476 0.0233641
425.374 0.0321303
426.271 0.0479715
426.720 0.0611899
427.169 0.0811683
427.618 0.113451
428.067 0.170618
428.292 0.217381
428.516 0.286712
428.741 0.395780
428.965 0.581583
429.190 0.936791
429.302 1.24959
429.414 1.74597
429.526 2.59968
429.639 4.22917
429.695 5.64146
429.751 7.81149
429.807 11.2699
429.863 16.8324
429.932 26.9409
430.000 33.6852
430.069 26.9450
430.137 16.8376
430.205 10.3754
430.274 6.75534
430.342 4.66260
430.410 3.38418
430.478 2.55555
430.547 1.99361
430.683 1.30562
430.819 0.918659
430.956 0.680892
431.229 0.416531
431.502 0.281018
431.775 0.202544
432.047 0.153104
432.320 0.119971
432.866 0.0797180
433.412 0.0571328
433.958 0.0432079
434.504 0.0340211
435.595 0.0230346
436.687 0.0169637
438.870 0.0108300
441.053 0.00794359
443.236 0.00635547
447.603 0.00475017
456.336 0.00356097
465.069 0.00311281
500.000 0.00257459
589.966 0.00230992
679.931 0.00246253
700.000 0.00256330
739.966 0.00288813
779.931 0.00350792
819.897 0.00493354
829.888 0.00569283
839.879 0.00712655
844.875 0.00866643
849.871 0.0124411
852.369 0.0173329
853.618 0.0220933
854.867 0.0306487
856.115 0.0485994
856.740 0.0661606
857.364 0.0975448
857.989 0.162307
858.301 0.224258
858.613 0.332056
858.926 0.544994
859.082 0.739065
859.238 1.05913
859.394 1.64072
859.472 2.12660
859.550 2.85646
859.628 4.01895
859.706 5.99564
859.784 9.63027
859.862 16.6151
859.931 26.5923
860.000 33.2332
860.069 26.5788
860.138 16.6176
860.186 11.7576
860.235 8.52146
860.283 6.36681
860.332 4.90019
860.429 3.12105
860.526 2.14616
860.623 1.56054
860.720 1.18430
860.914 0.747751
861.107 0.514878
861.301 0.376538
861.689 0.227631
862.077 0.153502
862.465 0.111385
863.240 0.0678464
864.016 0.0469905
864.791 0.0354463
866.342 0.0238379
869.444 0.0156472
872.547 0.0130604
878.751 0.0119875
884.955 0.0126469
897.364 0.0163528
909.772 0.0239371
915.976 0.0304427
922.181 0.0404302
928.385 0.0568611
934.589 0.0867187
937.691 0.111778
940.793 0.149894
943.895 0.212017
946.998 0.323539
948.549 0.416021
950.100 0.555038
951.651 0.777940
952.426 0.943625
953.202 1.16857
953.977 1.48477
954.753 1.94878
955.528 2.66888
956.304 3.87281
956.692 4.80256
957.080 6.10692
957.467 8.01311
957.855 10.9437
958.243 15.7530
958.631 24.3160
958.824 31.2282
959.018 41.1432
959.212 55.6335
959.406 76.7262
959.703 122.694
960.000 153.274
960.297 122.601
960.594 76.6361
960.902 46.3750
961.210 29.7758
961.518 20.3613
961.826 14.6749
962.133 11.0267
962.441 8.56631
963.057 5.57509
963.673 3.90534
964.288 2.88363
965.520 1.75325
966.751 1.17629
967.983 0.843197
969.214 0.633799
970.446 0.493713
972.908 0.323859
975.371 0.228778
977.834 0.170270
980.297 0.131739
985.223 0.0857653
990.149 0.0604443
995.074 0.0450398
1000.00 0.0349825
1009.06 0.0237971
1018.11 0.0174455
1036.22 0.0109018
1054.34 0.00780293
1072.45 0.00612696
1108.67 0.00456578
1144.89 0.00407236
1181.11 0.00424881
1217.34 0.00557140
1235.45 0.00758755
1244.50 0.00963078
1253.56 0.0133897
1258.09 0.0165792
1262.62 0.0214804
1267.14 0.0295784
1271.67 0.0443976
1273.93 0.0569283
1276.20 0.0761235
1278.46 0.107703
1280.73 0.165153
1281.86 0.213420
1282.99 0.286901
1284.12 0.406766
1285.25 0.622127
1285.82 0.800812
1286.39 1.06950
1286.95 1.50044
1287.52 2.25586
1288.08 3.76455
1288.37 5.15679
1288.65 7.48363
1288.93 11.7976
1289.08 15.4907
1289.22 21.1241
1289.36 30.4205
1289.50 46.8198
1289.64 78.8308
1289.71 106.456
1289.78 145.916
1289.89 233.866
1290.00 291.764
1290.11 232.997
1290.22 145.913
1290.32 91.5291
1290.43 60.3434
1290.53 42.0308
1290.64 30.6882
1290.74 23.2815
1290.85 18.2176
1291.06 11.9998
1291.27 8.46150
1291.48 6.27718
1291.90 3.84477
1292.32 2.58990
1292.74 1.86323
1293.16 1.40353
1293.58 1.09584
1294.41 0.721069
1295.25 0.510576
1296.09 0.380717
1296.93 0.295100
1298.61 0.192556
1300.29 0.135936
1301.96 0.101375
1303.64 0.0787665
1307.00 0.0519340
1310.35 0.0372403
1313.71 0.0283310
1317.06 0.0225272
1323.77 0.0156826
1330.48 0.0119643
1343.90 0.00829437
1357.32 0.00664367
1370.75 0.00579958
1397.59 0.00510552
1451.27 0.00513150
1504.95 0.00598205
1558.64 0.00765852
1612.32 0.0110353
1639.16 0.0144460
1652.59 0.0173043
1666.01 0.0219446
1679.43 0.0309004
1686.14 0.0393322
1692.85 0.0542554
1699.56 0.0854289
1702.91 0.116092
1706.27 0.171561
1707.95 0.218056
1709.62 0.288713
1711.30 0.403970
1712.98 0.610933
1713.82 0.782832
1714.66 1.04153
1715.50 1.45700
1716.33 2.18557
1716.75 2.77778
1717.17 3.64651
1717.59 5.00138
1718.01 7.26902
1718.43 11.5090
1718.64 15.1485
1718.85 20.7464
1719.06 30.0409
1719.27 46.6867
1719.38 60.3231
1719.48 80.0937
1719.59 109.366
1719.69 152.128
1719.85 243.972
1720.00 304.762
1720.16 243.306
1720.31 152.109
1720.49 88.0734
1720.66 54.9593
1720.84 36.8775
1721.01 26.2354
1721.19 19.5347
1721.36 15.0745
1721.71 9.72493
1722.06 6.77085
1722.41 4.98440
1723.11 3.02269
1723.81 2.02723
1724.51 1.45590
1725.21 1.09771
1725.91 0.858555
1727.32 0.569019
1728.72 0.407336
1730.12 0.308041
1731.52 0.242812
1734.32 0.165173
1737.12 0.122690
1742.72 0.0805858
1748.33 0.0616902
1753.93 0.0521463
1765.13 0.0446994
1787.55 0.0469913
1809.96 0.0611006
1832.37 0.0903529
1843.57 0.115298
1854.78 0.152885
1865.98 0.212450
1877.19 0.312965
1888.40 0.494857
1894.00 0.639589
1899.60 0.837315
1909.80 1.33226
1920.00 1.65226
1930.20 1.31389
1940.40 0.819466
1947.85 0.572001
1955.30 0.409980
1962.75 0.303658
1970.20 0.231998
1985.10 0.146339
2000.00 0.0999542
2018.73 0.0671256
2037.46 0.0481507
2056.19 0.0363029
2074.92 0.0285232
2112.38 0.0204925
2121.75 0.0205064
2131.11 0.0237242
2135.80 0.0295109
2138.14 0.0356195
2140.48 0.0470302
2142.82 0.0717060
2143.99 0.0963051
2145.16 0.140901
2145.75 0.178293
2146.33 0.234880
2146.92 0.326581
2147.50 0.489717
2147.79 0.623985
2148.09 0.824034
2148.38 1.14086
2148.67 1.68364
2148.97 2.73880
2149.11 3.67796
2149.26 5.19134
2149.40 7.87218
2149.55 13.1479
2149.62 17.8924
2149.70 25.4618
2149.77 38.1437
2149.84 59.8097
2149.92 95.6303
2150.00 119.486
2150.08 95.6314
2150.16 59.8121
2150.21 42.9942
2150.26 31.7465
2150.37 18.6423
2150.47 12.0292
2150.58 8.33667
2150.68 6.09452
2150.79 4.64047
2151.00 2.94073
2151.21 2.02702
2151.42 1.48147
2151.84 0.892354
2152.26 0.596948
2152.68 0.428930
2153.10 0.323938
2153.52 0.254287
2154.35 0.170203
2155.19 0.123371
2156.87 0.0757193
2158.55 0.0531334
2160.23 0.0406525
2163.58 0.0279565
2166.94 0.0218660
2170.30 0.0184141
2177.01 0.0147084
2190.44 0.0114718
2203.86 0.00984598
2257.57 0.00672396
2311.27 0.00518390
2364.97 0.00428637
2418.68 0.00380155
2472.38 0.00376001
2499.23 0.00409594
2526.08 0.00529739
2539.51 0.00704766
2552.93 0.0120607
2559.65 0.0190354
2563.00 0.0260041
2566.36 0.0387278
2569.72 0.0658761
2571.40 0.0927902
2573.07 0.141543
2573.91 0.182328
2574.75 0.244160
2575.59 0.344451
2576.43 0.523162
2576.85 0.670426
2577.27 0.889548
2577.69 1.23798
2578.11 1.83757
2578.53 3.00819
2578.74 4.06027
2578.95 5.75838
2579.16 8.78274
2579.26 11.2465
2579.37 14.8632
2579.47 20.4285
2579.58 29.4716
2579.68 45.0047
2579.79 72.0304
2579.89 115.439
2580.00 144.009
2580.11 115.007
2580.22 72.0297
2580.29 51.5604
2580.36 37.8825
2580.43 28.5018
2580.51 22.1138
2580.65 14.2147
2580.80 9.82494
2580.94 7.16783
2581.09 5.44851
2581.37 3.44791
2581.66 2.36996
2581.95 1.72742
2582.24 1.31440
2582.53 1.03432
2583.11 0.687570
2583.69 0.490433
2584.27 0.367603
2584.85 0.285954
2586.01 0.187523
2587.17 0.132815
2588.33 0.0992556
2589.48 0.0772342
2591.80 0.0510041
2594.12 0.0365948
2598.75 0.0221223
2603.39 0.0153672
2608.02 0.0116868
2617.29 0.00803570
2635.83 0.00550912
2654.36 0.00476129
2691.44 0.00470076
2728.51 0.00563174
2765.59 0.00800556
2784.13 0.0103908
2802.66 0.0146636
2821.20 0.0234789
2830.47 0.0319371
2839.74 0.0467525
2849.01 0.0764372
2853.64 0.103993
2858.27 0.150424
2862.91 0.237738
2865.23 0.313306
2867.54 0.431311
2869.86 0.629222
2871.02 0.781694
2872.18 0.993635
2873.34 1.29797
2874.49 1.74828
2875.65 2.43356
2876.81 3.47623
2878.41 5.56151
2880.00 6.94942
2881.60 5.55376
2883.19 3.46892
2884.17 2.55969
2885.15 1.92268
2887.12 1.16257
2889.08 0.764892
2891.04 0.537657
2893.00 0.397399
2894.97 0.305446
2898.89 0.196901
2902.82 0.138072
2906.74 0.102874
2914.59 0.0650094
2922.44 0.0466074
2930.29 0.0368535
2946.00 0.0296665
2961.70 0.0333990
2969.55 0.0408481
2977.40 0.0561235
2981.32 0.0694337
2985.25 0.0898965
2989.17 0.123310
2993.10 0.182878
2995.06 0.231749
2997.03 0.304305
2998.99 0.418561
3000.95 0.613326
3002.91 0.985879
3003.89 1.31368
3004.88 1.83430
3005.86 2.73004
3006.84 4.44026
3007.33 5.92511
3007.82 8.20342
3008.31 11.8461
3008.80 17.7044
3009.40 28.4241
3010.00 35.6016
3010.60 28.4057
3011.20 17.6926
3011.62 12.5582
3012.03 9.12811
3012.45 6.83623
3012.86 5.26860
3013.70 3.36476
3014.53 2.31774
3015.36 1.68697
3016.19 1.28059
3017.85 0.808735
3019.52 0.556362
3021.18 0.406305
3024.51 0.244450
3027.83 0.163688
3031.16 0.117703
3034.49 0.0890308
3037.81 0.0699580
3044.47 0.0469198
3051.12 0.0340403
3057.77 0.0260986
3064.43 0.0208462
3077.73 0.0145267
3091.04 0.0109986
3117.65 0.00738983
3144.26 0.00569316
3170.88 0.00480820
3224.10 0.00419474
3277.33 0.00465849
3303.94 0.00546802
3330.55 0.00709926
3357.16 0.0106892
3370.47 0.0142526
3383.78 0.0206527
3390.43 0.0259497
3397.08 0.0338865
3403.74 0.0465513
3410.39 0.0685809
3417.04 0.112033
3420.37 0.151599
3423.69 0.216734
3427.02 0.334851
3428.68 0.433188
3430.35 0.580739
3432.01 0.814855
3433.67 1.21153
3435.34 1.93566
3437.00 3.32037
3438.50 5.34554
3440.00 6.70515
3441.50 5.33726
3443.00 3.31508
3444.55 2.00267
3446.10 1.28620
3447.65 0.880207
3449.19 0.635215
3450.74 0.478003
3452.29 0.372010
3455.39 0.243092
3458.49 0.171107
3461.58 0.127032
3467.78 0.0782502
3473.97 0.0533348
3480.16 0.0389469
3486.36 0.0299046
3492.55 0.0238613
3504.94 0.0165518
3517.33 0.0124896
3542.10 0.00843602
3566.88 0.00665572
3591.65 0.00584819
3641.20 0.00568465
3690.75 0.00706845
3715.52 0.00865144
3740.30 0.0114233
3765.07 0.0166842
3777.46 0.0212542
3789.85 0.0284749
3802.24 0.0410805
3808.43 0.0514804
3814.62 0.0674817
3820.82 0.0953018
3823.91 0.118808
3827.01 0.156550
3830.11 0.226985
3831.66 0.290461
3833.20 0.397244
3834.75 0.603706
3835.53 0.790658
3836.30 1.09986
3837.08 1.66819
3837.46 2.15011
3837.85 2.88795
3838.24 4.09247
3838.62 6.22447
3838.82 7.94068
3839.01 10.3775
3839.20 13.9367
3839.40 19.0620
3839.70 30.4432
3840.00 37.9994
3840.30 30.4031
3840.60 19.0682
3840.80 13.7946
3841.00 10.2143
3841.40 6.07473
3841.80 3.98479
3842.20 2.82109
3842.60 2.11388
3843.00 1.65799
3843.79 1.12884
3844.59 0.850344
3845.39 0.690052
3846.98 0.532981
3848.58 0.476670
3850.17 0.469803
3853.36 0.548290
3856.55 0.752215
3859.73 1.17879
3861.33 1.55731
3862.92 2.14439
3864.52 3.08732
3866.11 4.61659
3868.06 7.42490
3870.00 9.31163
3871.95 7.40753
3873.89 4.59984
3875.86 2.80509
3877.83 1.81484
3879.80 1.24896
3881.77 0.905251
3883.74 0.683626
3885.71 0.533585
3889.65 0.350270
3893.60 0.247364
