S-33(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
78647.2 4.81904
78836.4 4.28389
79025.6 3.91761
79404.0 3.45254
79782.5 3.17156
80160.9 2.98410
80539.3 2.85024
80917.7 2.74986
81674.6 2.60905
82431.4 2.51461
83188.3 2.44647
83945.2 2.39467
85458.9 2.32032
86972.6 2.26860
88486.3 2.22974
90000.0 2.19888
92500.0 2.15868
95000.0 2.12658
100000 2.07437
106795 2.00994
110193 1.97362
113590 1.92855
116988 1.86466
118686 1.81876
120385 1.75514
121234 1.71256
122084 1.65881
122933 1.58857
123783 1.49277
124632 1.35511
125057 1.26225
125481 1.14769
125906 1.01119
126118 0.940856
126331 0.883767
126543 0.876020
126755 1.02236
126862 1.23780
126968 1.65261
127074 2.43088
127180 3.85445
127260 5.59164
127340 8.01598
127500 13.3489
127580 14.4931
127660 14.1680
127820 11.5573
128001 8.83291
128182 7.06760
128362 5.94336
128543 5.19441
128724 4.67014
128905 4.28694
129266 3.77023
129628 3.44125
129989 3.21509
130713 2.92585
131436 2.74941
132159 2.63075
132882 2.54544
133605 2.48107
135051 2.39011
136498 2.32859
137944 2.28387
139390 2.24965
142283 2.20010
145175 2.16523
148068 2.13872
150960 2.11743
156745 2.08408
162530 2.05763
174100 2.01294
180575 1.98842
187050 1.96134
193525 1.92824
200000 1.88224
202548 1.85747
205095 1.82624
207643 1.78497
210190 1.72704
211464 1.68800
212738 1.63856
214011 1.57378
215285 1.48529
216559 1.35794
217196 1.27177
217833 1.16469
218469 1.03374
219106 0.893417
219425 0.847556
219743 0.876552
219902 0.957665
220062 1.12636
220221 1.44261
220380 2.00119
220535 2.90045
220690 4.25048
221000 7.62688
221155 8.62146
221310 8.75755
221620 7.64114
221920 6.38493
222220 5.45005
222520 4.79358
222819 4.32589
223119 3.98218
223419 3.72189
224019 3.35751
224619 3.11706
225218 2.94761
226418 2.72578
227617 2.58751
228816 2.49321
230016 2.42478
231215 2.37280
233614 2.29892
236013 2.24870
238411 2.21214
240810 2.18418
245608 2.14383
250405 2.11567
255203 2.09454
260000 2.07785
260000 2.49902
330000 2.46770
400000 2.44272
500000 2.44313
525000 2.44769
600000 2.46017
650000 2.47393
700000 2.48674
800000 2.51882
865698 2.54164
900000 2.55389
1.00000E+06 2.59022
1.25000E+06 2.68457
1.50000E+06 2.76421
1.75000E+06 2.83403
2.00000E+06 2.89593
2.02614E+06 2.90138
2.02615E+06 2.90138
2.20000E+06 2.93158
2.38376E+06 2.96130
2.38376E+06 2.96130
2.50000E+06 2.97041
2.75000E+06 2.98872
2.95368E+06 3.00254
3.00000E+06 3.00318
3.02376E+06 3.00336
3.05983E+06 3.00346
3.15491E+06 3.00135
3.25000E+06 2.99932
3.31851E+06 2.99788
3.40000E+06 2.99204
3.60000E+06 2.97833
3.71012E+06 2.97112
3.71013E+06 2.97112
4.00000E+06 2.93981
4.03259E+06 2.93410
4.35506E+06 2.88056
4.67753E+06 2.83171
5.00000E+06 2.78688
5.57500E+06 2.67973
6.00000E+06 2.60976
6.15000E+06 2.58150
6.72500E+06 2.48176
7.00000E+06 2.43830
7.30000E+06 2.38789
7.33538E+06 2.38215
8.00000E+06 2.28147
8.64764E+06 2.18856
8.90781E+06 2.15597
9.00000E+06 2.14432
9.20000E+06 2.11974
9.86382E+06 2.04364
1.00000E+07 2.02899
1.10000E+07 1.93393
1.12060E+07 1.91665
1.20000E+07 1.85763
1.25000E+07 1.82755
1.30000E+07 1.80005
1.40000E+07 1.76188
1.45000E+07 1.74991
1.50000E+07 1.74254
1.60000E+07 1.74052
1.70000E+07 1.75298
1.80000E+07 1.77653
1.85000E+07 1.79203
1.90000E+07 1.80727
2.00000E+07 1.84198
