50-Sn_n-tot
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
2.423880e+01 4.91578544e+00
2.497600e+01 4.91334851e+00
2.556330e+01 4.91214710e+00
2.571010e+01 4.91241840e+00
2.585690e+01 4.91380714e+00
2.593030e+01 4.91570957e+00
2.600370e+01 4.91997591e+00
2.604040e+01 4.92417961e+00
2.607710e+01 4.93144148e+00
2.611380e+01 4.94492185e+00
2.615050e+01 4.97107729e+00
2.618280e+01 5.00833687e+00
2.621500e+01 5.03319045e+00
2.624730e+01 5.00823282e+00
2.627950e+01 4.97077626e+00
2.630960e+01 4.94793658e+00
2.633960e+01 4.93459350e+00
2.636970e+01 4.92661309e+00
2.639980e+01 4.92158641e+00
2.642370e+01 4.91933126e+00
2.645990e+01 4.91591862e+00
2.652000e+01 4.91295701e+00
2.664030e+01 4.91000568e+00
2.676050e+01 4.90850460e+00
2.724160e+01 4.90561833e+00
2.739250e+01 4.90504530e+00
2.750000e+01 4.90463672e+00
2.820360e+01 4.90202411e+00
2.963560e+01 4.89729512e+00
3.012780e+01 4.89572016e+00
3.108980e+01 4.89294021e+00
3.125000e+01 4.89257562e+00
3.205190e+01 4.89077512e+00
3.253290e+01 4.89031531e+00
3.284740e+01 4.89092406e+00
3.301390e+01 4.89128376e+00
3.325450e+01 4.89343319e+00
3.349500e+01 4.89954034e+00
3.361520e+01 4.90718781e+00
3.370000e+01 4.91975313e+00
3.373550e+01 4.92501297e+00
3.379560e+01 4.94419258e+00
3.385580e+01 4.98168953e+00
3.388580e+01 5.01498645e+00
3.391590e+01 5.06738024e+00
3.394590e+01 5.15357162e+00
3.397600e+01 5.29757091e+00
3.401000e+01 5.54413957e+00
3.404400e+01 5.70878567e+00
3.407800e+01 5.54484298e+00
3.411200e+01 5.29848620e+00
3.414820e+01 5.13323538e+00
3.418430e+01 5.04396379e+00
3.422040e+01 4.99390244e+00
3.425660e+01 4.96392407e+00
3.432890e+01 4.93201031e+00
3.440120e+01 4.91656553e+00
3.454570e+01 4.90296081e+00
3.469030e+01 4.89759113e+00
3.497950e+01 4.89428525e+00
3.500000e+01 4.89431149e+00
3.526860e+01 4.89465949e+00
3.584690e+01 4.90150170e+00
3.605930e+01 4.90815641e+00
3.642520e+01 4.91976779e+00
3.671440e+01 4.93734198e+00
3.700350e+01 4.96607231e+00
3.729270e+01 5.01590172e+00
3.758180e+01 5.11037900e+00
3.766520e+01 5.15715898e+00
3.772640e+01 5.19152716e+00
3.787100e+01 5.31628523e+00
3.801550e+01 5.52038933e+00
3.816010e+01 5.88448308e+00
3.830470e+01 6.62200915e+00
3.837700e+01 7.30699235e+00
3.844930e+01 8.45295218e+00
3.852150e+01 1.05697486e+01
3.855770e+01 1.23609224e+01
3.859380e+01 1.50846710e+01
3.863000e+01 1.94778211e+01
3.864810e+01 2.27281306e+01
3.866610e+01 2.70857425e+01
3.868420e+01 3.30519304e+01
3.870230e+01 4.13821758e+01
3.872030e+01 5.31663478e+01
3.873840e+01 6.97401516e+01
3.875000e+01 8.36945012e+01
3.875380e+01 8.82657540e+01
3.876920e+01 1.09571594e+02
3.880000e+01 1.36873963e+02
3.881540e+01 1.29620187e+02
3.883080e+01 1.11334859e+02
3.886160e+01 7.19457971e+01
3.888340e+01 5.25240531e+01
3.890510e+01 3.95624949e+01
3.892690e+01 3.09085717e+01
3.894860e+01 2.49969463e+01
3.899210e+01 1.78161784e+01
3.903560e+01 1.38578618e+01
3.907920e+01 1.14701973e+01
3.912270e+01 9.92644963e+00
3.920970e+01 8.12258185e+00
3.927110e+01 7.43593917e+00
3.929670e+01 7.14967746e+00
3.938370e+01 6.56536612e+00
3.947070e+01 6.18655622e+00
3.955780e+01 5.92660200e+00
3.973180e+01 5.60165036e+00
3.990580e+01 5.41299569e+00
4.000750e+01 5.34300835e+00
4.007410e+01 5.29717573e+00
4.007990e+01 5.29319189e+00
4.025390e+01 5.21224072e+00
4.060200e+01 5.11219629e+00
4.087700e+01 5.06666896e+00
4.095010e+01 5.05474597e+00
4.129810e+01 5.01909637e+00
4.164620e+01 4.99522673e+00
4.168000e+01 4.99382297e+00
4.234240e+01 4.96972312e+00
4.248300e+01 4.96722077e+00
4.250000e+01 4.96705130e+00
4.288440e+01 4.96329634e+00
4.303850e+01 4.96335482e+00
4.316130e+01 4.96454766e+00
4.328590e+01 4.96576146e+00
4.368740e+01 4.97723178e+00
4.373470e+01 4.98043345e+00
4.394970e+01 4.99611555e+00
4.408890e+01 5.00627976e+00
4.428960e+01 5.03273651e+00
4.443080e+01 5.06196878e+00
4.449040e+01 5.07456147e+00
4.469110e+01 5.14458260e+00
4.473810e+01 5.17412638e+00
4.489180e+01 5.27077366e+00
4.499220e+01 5.37507441e+00
4.509260e+01 5.53083538e+00
4.513240e+01 5.62873634e+00
4.519300e+01 5.77782115e+00
4.529330e+01 6.20281824e+00
4.532950e+01 6.49952274e+00
4.539370e+01 7.02575519e+00
4.544390e+01 7.75971978e+00
4.549410e+01 8.94114887e+00
4.552660e+01 1.02816884e+01
4.554430e+01 1.10117881e+01
4.559440e+01 1.50898450e+01
4.561950e+01 1.87426516e+01
4.564460e+01 2.45415925e+01
4.566970e+01 3.41966480e+01
4.569480e+01 5.05689510e+01
4.572240e+01 7.80310901e+01
4.572370e+01 7.88949269e+01
4.575000e+01 9.63710630e+01
4.577760e+01 7.80746556e+01
4.580520e+01 5.06235725e+01
4.582220e+01 4.03110342e+01
4.582310e+01 3.97650791e+01
4.583800e+01 3.07265330e+01
4.587080e+01 2.07042387e+01
4.590350e+01 1.53667705e+01
4.592080e+01 1.37379944e+01
4.593630e+01 1.22787909e+01
4.596910e+01 1.03572178e+01
4.600180e+01 9.08970510e+00
4.601940e+01 8.68533443e+00
4.606740e+01 7.58301733e+00
4.606860e+01 7.56794055e+00
4.611790e+01 6.94923563e+00
4.613290e+01 6.76139551e+00
4.616720e+01 6.50336047e+00
4.619850e+01 6.26968995e+00
4.621650e+01 6.19716349e+00
4.624110e+01 6.10016065e+00
4.625000e+01 6.06599989e+00
4.626570e+01 6.00574296e+00
4.629040e+01 5.91513412e+00
4.631500e+01 5.83152722e+00
4.632960e+01 5.78699400e+00
4.634750e+01 5.76911897e+00
4.638000e+01 5.72474785e+00
4.641250e+01 5.63262073e+00
4.644500e+01 5.52852671e+00
4.646060e+01 5.48430644e+00
4.647280e+01 5.46063103e+00
4.650060e+01 5.41465563e+00
4.652830e+01 5.37355721e+00
4.655610e+01 5.33508068e+00
4.659170e+01 5.28852115e+00
4.661170e+01 5.27134269e+00
4.666720e+01 5.22637012e+00
4.672270e+01 5.18262217e+00
4.672280e+01 5.18254448e+00
4.677830e+01 5.15330551e+00
4.685390e+01 5.11409684e+00
4.688940e+01 5.10271666e+00
4.700050e+01 5.06767001e+00
4.711160e+01 5.03288002e+00
4.711610e+01 5.03147775e+00
4.721540e+01 5.01381266e+00
4.733380e+01 4.99293119e+00
4.737830e+01 4.98513036e+00
4.764040e+01 4.95625936e+00
4.777810e+01 4.94599265e+00
4.790260e+01 4.93676210e+00
4.812500e+01 4.92641875e+00
4.822250e+01 4.92191724e+00
4.842700e+01 4.91251228e+00
4.860770e+01 4.90751689e+00
4.895130e+01 4.89832142e+00
4.947570e+01 4.88891329e+00
5.000000e+01 4.88200258e+00
5.078130e+01 4.87509105e+00
5.148460e+01 4.87038874e+00
5.156250e+01 4.86993182e+00
5.296920e+01 4.86389005e+00
5.304530e+01 4.86367975e+00
5.312500e+01 4.86350328e+00
5.365120e+01 4.86285528e+00
5.445380e+01 4.86185333e+00
5.468750e+01 4.86231361e+00
5.593840e+01 4.86533961e+00
5.609050e+01 4.86645089e+00
5.612750e+01 4.86673462e+00
