Hg-198(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 99.6938
1.25000E-05 89.1689
1.50000E-05 81.3997
2.00000E-05 70.4942
2.75000E-05 60.1177
3.50000E-05 53.2887
4.25000E-05 48.3587
5.00000E-05 44.5846
6.25000E-05 39.8777
7.50000E-05 36.4032
0.000100000 31.5261
0.000125000 28.1979
0.000150000 25.7411
0.000200000 22.2925
0.000275000 19.0112
0.000350000 16.8517
0.000425000 15.2927
0.000500000 14.0993
0.000625000 12.6109
0.000750000 11.5122
0.00100000 9.97002
0.00125000 8.91760
0.00150000 8.14075
0.00200000 7.05032
0.00275000 6.01283
0.00350000 5.33006
0.00425000 4.83718
0.00500000 4.45988
0.00625000 3.98936
0.00750000 3.64206
0.0100000 3.15463
0.0125000 2.82204
0.0150000 2.57657
0.0200000 2.23210
0.0253000 1.98525
0.0314750 1.78060
0.0376500 1.62870
0.0500000 1.41444
0.0625000 1.26613
0.0750000 1.15675
0.100000 1.00340
0.125000 0.898924
0.150000 0.821935
0.200000 0.714137
0.275000 0.612010
0.350000 0.545166
0.500000 0.460662
0.750000 0.382472
1.00000 0.336903
1.50000 0.284811
2.00000 0.255664
2.75000 0.230595
3.50000 0.216796
5.00000 0.205999
7.50000 0.215084
10.0000 0.251770
12.5000 0.329427
15.0000 0.496658
16.2500 0.657453
17.5000 0.936826
18.7500 1.48812
19.3750 1.99245
20.0000 2.83135
20.3741 3.63245
20.7482 4.84816
21.1223 6.82544
21.4964 10.3690
21.6834 13.3054
21.8704 17.7185
22.0575 24.7978
22.2445 37.2206
22.3381 47.2941
22.4316 62.1077
22.5251 85.1676
22.6186 123.905
22.6654 153.962
22.7121 196.331
22.7355 224.313
22.7589 258.640
22.7823 301.341
22.8057 355.305
22.8290 424.736
22.8524 515.907
22.8758 638.430
22.8992 807.425
22.9226 1047.24
22.9459 1397.49
22.9693 1920.81
22.9927 2702.05
23.0264 4318.12
23.0600 5391.79
23.0769 5072.16
23.0937 4308.76
23.1274 2689.78
23.1537 1834.19
23.1799 1289.97
23.2061 941.546
23.2324 711.397
23.2849 441.710
23.3374 298.467
23.3898 214.298
23.4423 160.980
23.5473 100.042
23.6523 67.9928
23.7572 49.1348
23.8622 37.1262
23.9672 29.0181
24.1771 19.0976
24.3871 13.4970
24.5970 10.0323
24.8069 7.74258
25.2268 5.00285
25.6467 3.49098
26.0666 2.57082
26.4865 1.97031
27.3263 1.26147
28.1660 0.876080
29.0058 0.644243
29.8456 0.494414
31.5251 0.319663
33.2046 0.226109
34.8842 0.170675
36.5637 0.135432
39.9228 0.0955026
43.2819 0.0754330
50.0000 0.0596730
54.9657 0.0582977
59.9315 0.0631533
64.8972 0.0756428
69.8629 0.101656
72.3458 0.124441
74.8286 0.159753
77.3115 0.218253
79.7944 0.325266
81.0358 0.415613
82.2772 0.553865
83.5187 0.781155
84.7601 1.19471
85.3808 1.54255
86.0015 2.07304
86.6222 2.94108
87.2429 4.50907
87.5533 5.81787
87.8637 7.79834
88.1740 11.0035
88.4844 16.6982
88.6396 21.3720
88.7947 28.3267
88.9499 39.3242
89.0275 47.3918
89.0663 52.3885
89.1051 58.2151
89.1245 61.4994
89.1439 65.0687
89.1633 68.9566
89.1827 73.1997
89.2021 77.8473
89.2215 82.9495
89.2603 94.7679
89.2991 109.286
89.3379 127.375
89.3767 150.302
89.4155 179.915
89.4543 219.052
89.4930 272.132
89.5318 346.444
89.5706 454.344
89.6094 618.082
89.6482 879.007
89.6870 1315.62
89.7258 2060.43
89.7679 3294.68
89.8100 4116.14
89.8522 3291.15
89.8943 2055.73
89.9338 1302.19
89.9733 864.800
90.0127 605.431
90.0522 443.661
90.1312 264.555
90.2101 174.376
90.2891 123.171
90.3680 91.4689
90.5259 56.0177
90.6838 37.7427
90.8417 27.1255
90.9996 20.4222
91.1575 15.9237
91.4733 10.4522
91.7891 7.38002
92.1049 5.48571
92.4207 4.23637
93.0523 2.74367
93.6839 1.92043
94.3156 1.41914
94.9472 1.09161
96.2104 0.704104
97.4736 0.492579
98.7368 0.364754
100.000 0.281741
101.563 0.214016
103.125 0.168909
106.250 0.114563
109.375 0.0844311
112.500 0.0660952
118.750 0.0460642
125.000 0.0361782
137.500 0.0278167
150.000 0.0254377
175.000 0.0276657
200.000 0.0367801
212.754 0.0453226
225.507 0.0586251
238.261 0.0805889
251.015 0.120489
257.391 0.153976
263.768 0.204987
270.145 0.288457
276.522 0.439595
279.710 0.566267
282.899 0.758946
286.087 1.07334
289.275 1.63946
290.870 2.11076
291.667 2.42758
292.065 2.61374
292.265 2.71503
292.464 2.82232
292.663 2.93621
292.862 3.05720
293.062 3.18588
293.261 3.32286
293.460 3.46900
293.660 3.62507
294.058 3.97070
294.457 4.36869
294.855 4.82994
295.254 5.36888
295.652 6.00366
296.051 6.75882
296.449 7.66631
296.848 8.77059
297.246 10.1321
297.645 11.8382
298.044 14.0142
298.442 16.8507
298.841 20.6412
299.239 25.8664
299.638 33.3417
300.036 44.5586
300.435 62.4355
300.833 93.3312
301.033 117.835
301.232 152.866
301.431 204.976
301.631 285.830
301.830 416.337
302.029 629.236
302.265 1005.61
302.500 1255.34
302.736 1002.94
302.972 626.120
303.132 448.223
303.292 328.070
303.452 246.938
303.611 191.048
303.931 122.599
304.251 84.6393
304.570 61.6825
304.890 46.8426
305.529 29.5533
306.169 20.2878
306.808 14.7694
307.447 11.2244
308.087 8.81504
309.365 5.84661
310.644 4.15904
311.923 3.10988
313.201 2.41425
315.759 1.57972
318.316 1.11948
320.873 0.841696
323.431 0.664541
328.545 0.477105
333.660 0.450388
336.217 0.539363
337.496 0.651212
338.774 0.870321
340.053 1.35350
340.692 1.83686
341.332 2.71214
341.651 3.44200
341.971 4.54337
342.291 6.31700
342.610 9.44122
342.770 11.9842
342.930 15.7319
343.090 21.5840
343.250 31.4540
343.330 39.1519
343.370 44.1009
343.410 50.0274
343.450 57.2412
343.470 61.4409
343.490 66.0895
343.510 71.3059
343.530 77.1547
343.569 91.1484
343.609 109.267
343.649 133.109
343.689 165.411
343.729 210.161
343.769 274.385
343.809 368.985
343.849 512.653
343.889 729.942
343.945 1167.71
344.000 1459.43
344.028 1373.21
344.056 1167.44
344.111 729.644
344.147 530.847
344.183 394.094
344.254 234.216
344.325 152.269
344.397 106.048
344.468 77.7569
344.540 59.3514
344.682 37.7319
344.825 26.0505
344.968 19.0611
345.254 11.4784
345.540 7.67892
345.825 5.50999
346.111 4.15679
346.397 3.25622
346.968 2.16944
347.539 1.56318
348.111 1.19040
348.682 0.944607
349.825 0.650001
350.968 0.485973
353.253 0.317191
355.539 0.234748
357.824 0.187253
362.396 0.135823
366.967 0.109268
371.538 0.0939767
380.680 0.0815141
389.822 0.0893569
394.393 0.105563
398.965 0.139928
401.250 0.170571
403.536 0.218576
405.821 0.298772
408.107 0.446275
409.250 0.571032
410.392 0.761884
411.535 1.07500
412.678 1.64187
413.249 2.11581
413.821 2.83383
414.392 3.99734
414.964 6.06788
415.249 7.76950
415.535 10.3045
415.678 12.0660
415.749 13.1204
415.821 14.3193
415.892 15.6922
415.964 17.2697
415.999 18.1490
416.035 19.0971
416.071 20.1213
416.106 21.2299
416.178 23.7434
416.249 26.7246
416.321 30.3015
416.392 34.6427
416.464 39.9885
416.535 46.6510
416.606 55.1069
416.678 66.0516
416.749 80.5689
416.821 100.295
416.892 128.004
416.963 168.435
417.035 230.154
417.106 329.362
417.178 497.301
417.249 787.968
417.325 1260.60
417.400 1575.49
417.476 1260.19
417.551 787.540
417.632 467.806
417.714 296.562
417.795 200.969
417.876 143.979
417.957 107.694
418.039 83.4000
418.201 54.0472
418.363 37.7516
418.526 27.8244
418.851 16.8770
419.176 11.3071
419.501 8.09904
419.826 6.08501
420.150 4.73889
420.800 3.10804
421.450 2.19592
422.100 1.63482
422.750 1.26531
424.049 0.824275
425.349 0.581159
426.649 0.433027
427.948 0.336126
430.548 0.221148
433.147 0.158023
435.746 0.119586
438.346 0.0943895
443.544 0.0643005
448.743 0.0475464
459.140 0.0301884
459.140 1.58605
526.747 1.42528
594.355 1.29746
729.570 1.10619
864.785 0.969119
1000.00 0.865540
1281.25 0.752055
1562.50 0.672008
1843.75 0.611802
2125.00 0.564477
2687.50 0.494094
3250.00 0.443614
4375.00 0.374798
5500.00 0.329183
6625.00 0.296213
7750.00 0.271004
10000.0 0.234531
12812.5 0.214064
15625.0 0.198970
21250.0 0.177658
26875.0 0.162932
32500.0 0.151914
43750.0 0.136155
55000.0 0.125145
77500.0 0.110290
100000 0.100404
125000 0.0903045
150000 0.0828115
200000 0.0722325
275000 0.0620905
350000 0.0553689
413898 0.0511289
413898 0.0511289
413900 0.0511288
420000 0.0507746
425000 0.0504899
440000 0.0496647
460000 0.0486269
500000 0.0467382
593539 0.0414778
600000 0.0411663
649020 0.0410894
692820 0.0410256
800000 0.0408853
1.00000E+06 0.0438950
1.05380E+06 0.0419638
1.05384E+06 0.0419625
1.05384E+06 0.0419624
1.05384E+06 0.0419623
1.07836E+06 0.0411419
1.09320E+06 0.0406620
1.09324E+06 0.0406607
1.09324E+06 0.0406606
1.09324E+06 0.0406606
1.10288E+06 0.0403553
1.13243E+06 0.0394495
1.15192E+06 0.0388758
1.17162E+06 0.0383139
1.25000E+06 0.0362418
1.37500E+06 0.0357706
1.40864E+06 0.0356520
1.40864E+06 0.0356520
1.40870E+06 0.0356518
1.42663E+06 0.0355900
1.42663E+06 0.0355899
1.45435E+06 0.0354960
1.46331E+06 0.0354661
1.50000E+06 0.0353457
1.55639E+06 0.0344340
1.55639E+06 0.0344339
1.62062E+06 0.0334618
1.64390E+06 0.0331256
1.64393E+06 0.0331252
1.64394E+06 0.0331251
1.64394E+06 0.0331251
1.68843E+06 0.0325045
1.69188E+06 0.0324576
1.69190E+06 0.0324573
1.73041E+06 0.0319441
1.73294E+06 0.0319111
1.75000E+06 0.0316904
1.76892E+06 0.0314500
1.76897E+06 0.0314494
1.82196E+06 0.0307989
1.82505E+06 0.0307620
1.82505E+06 0.0307619
1.84184E+06 0.0305631
1.84420E+06 0.0305354
1.84425E+06 0.0305348
1.84425E+06 0.0305348
1.84595E+06 0.0305149
1.85661E+06 0.0303907
1.85661E+06 0.0303907
1.86827E+06 0.0302563
1.86827E+06 0.0302563
1.88318E+06 0.0300865
1.90898E+06 0.0297979
1.91109E+06 0.0297746
1.91943E+06 0.0296830
1.91943E+06 0.0296830
1.92054E+06 0.0296708
1.92074E+06 0.0296686
1.92212E+06 0.0296535
2.00000E+06 0.0288311
2.25000E+06 0.0224967
2.50000E+06 0.0180194
2.75000E+06 0.0147622
3.00000E+06 0.0123055
3.50000E+06 0.00818311
3.75000E+06 0.00681739
4.00000E+06 0.00574695
4.45173E+06 0.00388038
4.50000E+06 0.00372977
4.90347E+06 0.00272148
4.98116E+06 0.00256890
5.00000E+06 0.00253355
5.50000E+06 0.00158841
5.75000E+06 0.00127760
6.00000E+06 0.00103717
6.56970E+06 0.000591447
7.00000E+06 0.000399307
7.13941E+06 0.000353408
7.21711E+06 0.000330496
7.56970E+06 0.000245977
8.00000E+06 0.000174668
8.34298E+06 0.000113928
8.34298E+06 0.000113928
8.47767E+06 9.67903E-05
8.75724E+06 6.95663E-05
9.17149E+06 4.34581E-05
9.58575E+06 2.77186E-05
1.00000E+07 1.80192E-05
1.02500E+07 1.26438E-05
1.05000E+07 8.94800E-06
1.07500E+07 6.38423E-06
1.10000E+07 4.59052E-06
1.12500E+07 3.32533E-06
1.15000E+07 2.42597E-06
1.17500E+07 1.78189E-06
1.20000E+07 1.31734E-06
