Ba-137(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 180.976
1.25000E-05 161.870
1.50000E-05 147.766
2.00000E-05 127.969
2.75000E-05 109.133
3.50000E-05 96.7357
4.25000E-05 87.7862
5.00000E-05 80.9348
6.25000E-05 72.3903
7.50000E-05 66.0830
0.000100000 57.2295
0.000125000 51.1876
0.000150000 46.7276
0.000200000 40.4673
0.000275000 34.5105
0.000350000 30.5903
0.000425000 27.7602
0.000500000 25.5936
0.000625000 22.8915
0.000750000 20.8969
0.00100000 18.0972
0.00125000 16.1865
0.00150000 14.7761
0.00200000 12.7963
0.00275000 10.9125
0.00350000 9.67274
0.00425000 8.77771
0.00500000 8.09250
0.00625000 7.23793
0.00750000 6.60709
0.0100000 5.72156
0.0125000 5.11720
0.0150000 4.67106
0.0200000 4.04476
0.0253000 3.59576
0.0314750 3.22331
0.0376500 2.94671
0.0500000 2.55625
0.0625000 2.28568
0.0750000 2.08589
0.100000 1.80532
0.125000 1.61374
0.150000 1.47224
0.200000 1.27343
0.275000 1.08400
0.350000 0.959098
0.500000 0.799506
0.750000 0.648831
1.00000 0.558504
1.50000 0.450542
2.00000 0.385526
2.75000 0.322958
3.50000 0.281251
5.00000 0.227244
7.50000 0.175312
10.0000 0.143694
15.0000 0.105593
20.0000 0.0827788
27.5000 0.0613920
35.0000 0.0478172
50.0000 0.0317204
62.5000 0.0239264
75.0000 0.0187518
100.000 0.0125485
113.440 0.0105843
120.160 0.0101868
123.520 0.0115307
124.360 0.0132131
125.200 0.0181490
125.620 0.0250650
125.830 0.0319740
126.040 0.0445658
126.250 0.0712917
126.355 0.0976325
126.460 0.145004
126.513 0.184341
126.565 0.243541
126.618 0.338592
126.670 0.505470
126.723 0.839573
126.749 1.14946
126.775 1.66690
126.802 2.63456
126.815 3.46051
126.828 4.73477
126.841 6.85579
126.854 10.6401
126.867 18.1622
126.874 24.7748
126.880 34.3492
126.890 54.9503
126.900 68.6839
126.910 54.9545
126.920 34.3544
126.929 21.9624
126.938 14.7500
126.946 10.4121
126.955 7.67694
126.973 4.60585
126.991 3.05553
127.009 2.16529
127.027 1.61523
127.062 0.995783
127.098 0.675362
127.134 0.488742
127.170 0.370703
127.205 0.291554
127.277 0.194812
127.348 0.140388
127.419 0.106775
127.491 0.0845972
127.633 0.0580026
127.776 0.0433019
128.062 0.0284358
128.347 0.0214361
128.633 0.0175863
129.203 0.0136996
130.345 0.0108275
131.487 0.00974665
136.055 0.00840237
145.190 0.00747345
163.460 0.00635841
200.000 0.00512273
254.485 0.00477697
281.727 0.00529106
308.969 0.00662205
336.211 0.00981647
349.832 0.0130976
363.454 0.0191362
370.264 0.0242460
377.075 0.0320735
383.885 0.0449545
390.696 0.0684215
394.101 0.0881871
397.506 0.118376
400.912 0.167884
404.317 0.257611
406.020 0.332775
407.722 0.446911
409.425 0.632553
410.276 0.772458
411.128 0.964818
411.979 1.23959
412.830 1.65142
413.682 2.30925
414.533 3.45589
414.959 4.37899
415.384 5.72634
415.810 7.80296
416.235 11.2392
416.661 17.5192
416.874 22.7909
417.087 30.7664
417.300 43.5630
417.512 65.5981
417.725 106.758
417.832 140.522
417.938 187.808
418.119 300.154
418.300 374.788
418.482 299.507
418.663 186.983
418.822 121.850
418.981 82.6943
419.140 58.8013
419.299 43.5837
419.616 26.3792
419.934 17.5471
420.252 12.4690
420.569 9.30005
421.205 5.72845
421.840 3.87357
422.476 2.79095
423.111 2.10508
423.747 1.64376
425.018 1.08123
426.288 0.764575
427.559 0.568988
428.830 0.439828
431.372 0.285308
433.914 0.199976
436.456 0.147971
438.997 0.113975
444.081 0.0737424
449.164 0.0517917
454.248 0.0385509
459.332 0.0299838
469.499 0.0200251
479.666 0.0148089
