S-33(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 17.6067
1.25000E-05 15.7479
1.50000E-05 14.3758
2.00000E-05 12.4498
2.75000E-05 10.6173
3.50000E-05 9.41119
4.25000E-05 8.54052
5.00000E-05 7.87397
6.25000E-05 7.04269
7.50000E-05 6.42907
0.000100000 5.56774
0.000125000 4.97994
0.000150000 4.54604
0.000200000 3.93698
0.000275000 3.35747
0.000350000 2.97608
0.000425000 2.70075
0.000500000 2.48997
0.000625000 2.22709
0.000750000 2.03305
0.00100000 1.76067
0.00125000 1.57479
0.00150000 1.43758
0.00200000 1.24498
0.00275000 1.06173
0.00350000 0.941118
0.00425000 0.854050
0.00500000 0.787395
0.00625000 0.704267
0.00750000 0.642905
0.0100000 0.556771
0.0125000 0.497991
0.0150000 0.454601
0.0200000 0.393695
0.0253000 0.350037
0.0314750 0.313827
0.0376500 0.286939
0.0500000 0.248992
0.0625000 0.222704
0.0750000 0.203299
0.100000 0.176060
0.125000 0.157471
0.150000 0.143750
0.200000 0.124488
0.275000 0.106161
0.350000 0.0940983
0.500000 0.0787235
0.750000 0.0642708
1.00000 0.0556544
1.50000 0.0454323
2.00000 0.0393374
2.75000 0.0335367
3.50000 0.0297179
5.00000 0.0248484
7.50000 0.0202677
10.0000 0.0175343
15.0000 0.0142873
20.0000 0.0123478
27.5000 0.0104979
35.0000 0.00927690
50.0000 0.00771428
75.0000 0.00623514
100.000 0.00534568
150.000 0.00427855
200.000 0.00363314
275.000 0.00300967
350.000 0.00259286
500.000 0.00205241
750.000 0.00153451
1000.00 0.00122277
1500.00 0.000855837
2000.00 0.000644322
2750.00 0.000455004
3500.00 0.000341079
5000.00 0.000214630
6250.00 0.000158147
7500.00 0.000123651
8750.00 0.000103018
10000.0 9.46062E-05
10860.4 0.000100139
11290.6 0.000110691
11720.9 0.000133393
12151.1 0.000186031
12366.2 0.000240070
12581.3 0.000339891
12688.8 0.000424608
12796.4 0.000554585
12903.9 0.000768694
13011.5 0.00115873
13065.3 0.00148692
13119.1 0.00198733
13172.8 0.00280560
13226.6 0.00428113
13253.5 0.00551070
13280.4 0.00736766
13307.3 0.0103644
13334.2 0.0156634
13347.6 0.0199959
13361.0 0.0264089
13374.5 0.0364947
13387.9 0.0536504
13401.4 0.0864023
13408.1 0.115155
13414.8 0.160730
13421.5 0.238806
13424.9 0.300194
13428.3 0.387279
13431.6 0.515363
13435.0 0.711226
13438.3 1.02135
13441.7 1.51592
13445.9 2.41795
13450.0 3.01545
13454.2 2.41605
13458.3 1.51408
13461.5 1.03862
13464.7 0.734476
13467.9 0.537900
13471.1 0.407759
13477.5 0.254235
13483.9 0.172282
13490.3 0.123981
13496.6 0.0933077
13509.4 0.0581898
13522.2 0.0396548
13535.0 0.0287283
13547.8 0.0217595
13560.5 0.0170508
13586.1 0.0112742
13611.6 0.00800649
13637.2 0.00598027
13662.7 0.00463831
13713.8 0.00302761
13765.0 0.00213518
13816.1 0.00158987
13867.2 0.00123262
13969.4 0.000808439
14071.6 0.000575929
14173.8 0.000434854
14276.0 0.000342882
14480.5 0.000234177
14684.9 0.000174772
15093.7 0.000115224
15502.6 8.73054E-05
15911.4 7.19500E-05
16729.2 5.66104E-05
18364.6 4.78117E-05
20000.0 5.45834E-05
20975.8 7.22856E-05
21463.6 9.13510E-05
21951.5 0.000127010
22195.4 0.000157371
22439.4 0.000203956
22683.3 0.000280566
22927.3 0.000419602
23049.2 0.000536093
23171.2 0.000712951
23293.2 0.00100042
23415.1 0.00151440
23476.1 0.00193893
23537.1 0.00257445
23659.1 0.00535084
23720.1 0.00882941
23750.6 0.0119981
23781.0 0.0172210
23811.5 0.0267050
23826.8 0.0346202
23842.0 0.0465110
23857.3 0.0654242
23872.5 0.0975727
23880.1 0.122409
23887.8 0.156563
23895.4 0.204096
23903.0 0.269767
23916.5 0.431398
23930.0 0.538811
23943.5 0.430771
23957.0 0.269163
23969.7 0.170112
23982.4 0.112779
23995.2 0.0788592
24007.9 0.0577480
24033.3 0.0343961
24058.7 0.0226614
24084.2 0.0160020
24109.6 0.0118835
24160.5 0.00728050
24211.3 0.00490870
24262.2 0.00353149
24313.1 0.00266205
24363.9 0.00207884
24465.7 0.00136959
24567.4 0.000971443
24669.1 0.000725984
24770.9 0.000564111
24974.3 0.000370704
25177.8 0.000264008
25381.2 0.000199005
25584.7 0.000156499
25991.6 0.000106125
26398.5 7.85371E-05
27212.4 5.08651E-05
28026.2 3.79208E-05
28840.1 3.08372E-05
30467.8 2.38220E-05
33723.1 1.95718E-05
36978.5 2.02430E-05
40233.9 2.50561E-05
41861.6 3.00312E-05
43489.3 3.83120E-05
45116.9 5.30300E-05
46744.6 8.25493E-05
47558.5 0.000109921
48372.3 0.000156181
49186.2 0.000244446
49593.1 0.000322897
50000.0 0.000450199
