Cd-108(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2544.35 2.61036
2553.58 2.45047
2558.19 2.34467
2562.81 2.21234
2567.42 2.04097
2572.03 1.80907
2574.34 1.65935
2576.65 1.47831
2578.95 1.25739
2581.26 0.991872
2582.41 0.847247
2583.57 0.709825
2584.72 0.617905
2585.30 0.618458
2585.87 0.685133
2586.16 0.759227
2586.45 0.873559
2586.74 1.04446
2587.03 1.29316
2587.32 1.65469
2587.60 2.17689
2587.89 2.93936
2588.18 4.06933
2588.47 5.78922
2588.76 8.47170
2589.04 12.8507
2589.33 20.4293
2589.48 26.4009
2589.62 34.7212
2589.77 46.7417
2589.91 64.7512
2590.05 92.9247
2590.20 139.240
2590.34 219.294
2590.49 361.107
2590.64 612.119
2590.80 813.593
2590.96 690.720
2591.11 455.248
2591.23 326.843
2591.35 241.160
2591.47 184.127
2591.59 145.161
2591.82 97.6410
2592.06 71.1281
2592.29 54.8699
2592.53 44.1588
2593.00 31.2821
2593.47 24.0452
2593.95 19.5189
2594.42 16.4676
2594.89 14.2974
2595.83 11.4372
2596.78 9.66445
2597.72 8.46649
2598.66 7.60852
2600.55 6.46344
2602.44 5.73580
2604.32 5.23034
2606.21 4.85601
2609.99 4.32867
2613.76 3.96014
2617.54 3.67052
2621.31 3.41922
2625.08 3.18022
2628.86 2.93238
2632.63 2.65244
2636.41 2.30854
2638.30 2.09767
2640.18 1.84997
2642.07 1.55607
2643.96 1.21442
2644.90 1.03598
2645.84 0.876972
2646.79 0.795352
2647.26 0.826874
2647.73 0.956719
2648.20 1.26323
2648.44 1.52517
2648.67 1.89730
2648.91 2.42446
2649.15 3.17395
2649.38 4.24968
2649.62 5.80954
2649.85 8.14112
2650.09 11.7182
2650.33 17.4260
2650.56 27.0230
2650.80 44.3334
2650.92 58.3765
2651.03 78.6660
2651.15 108.952
2651.27 155.756
2651.39 230.348
2651.50 348.860
2651.66 595.849
2651.82 794.854
2651.98 677.028
2652.13 449.151
2652.27 309.296
2652.40 221.331
2652.54 165.631
2652.68 128.973
2652.95 85.8401
2653.22 62.5188
2653.49 48.4654
2653.76 39.2975
2654.31 28.3480
2654.85 22.2094
2655.40 18.3640
2655.94 15.7628
2656.48 13.9017
2657.57 11.4392
2658.66 9.89828
2659.75 8.85028
2660.84 8.09470
2663.01 7.07939
2665.19 6.43038
2667.36 5.97962
2669.54 5.64791
2673.89 5.19018
2678.24 4.88724
2682.59 4.66996
2686.94 4.50528
2695.65 4.26957
2700.00 4.18198
2704.35 4.10916
2708.70 4.05099
2713.05 4.01704
2715.23 4.02487
2716.32 4.04663
2717.41 4.09717
2718.49 4.21877
2719.04 4.34473
2719.58 4.57652
2719.85 4.77146
2720.13 5.06722
2720.40 5.54608
2720.67 6.39526
2720.81 7.09003
2720.94 8.12014
2721.08 9.74069
2721.21 12.5031
2721.35 17.7840
2721.42 22.4341
2721.49 29.8245
2721.55 42.5359
2721.62 66.8596
2721.66 87.9808
2721.69 120.489
2721.72 172.389
2721.76 253.814
2721.80 404.970
2721.84 503.384
2721.88 404.656
2721.92 253.374
2721.96 170.040
2721.99 117.735
2722.03 85.3799
2722.06 65.0432
2722.13 41.2878
2722.20 28.9160
2722.27 21.6589
2722.34 17.1790
2722.48 12.0955
2722.61 9.42434
2722.75 7.87233
2722.89 6.87994
2723.03 6.21611
2723.31 5.40150
2723.58 4.94152
2723.86 4.65631
2724.14 4.46761
