Pd-102(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 91.6620
1.25000E-05 81.9850
1.50000E-05 74.8417
2.00000E-05 64.8148
2.75000E-05 55.2742
3.50000E-05 48.9954
4.25000E-05 44.4626
5.00000E-05 40.9925
6.25000E-05 36.6648
7.50000E-05 33.4702
0.000100000 28.9860
0.000125000 25.9259
0.000150000 23.6670
0.000200000 20.4962
0.000275000 17.4792
0.000350000 15.4936
0.000425000 14.0602
0.000500000 12.9628
0.000625000 11.5943
0.000750000 10.5840
0.00100000 9.16599
0.00125000 8.19826
0.00150000 7.48391
0.00200000 6.48118
0.00275000 5.52707
0.00350000 4.89914
0.00425000 4.44582
0.00500000 4.09877
0.00625000 3.66594
0.00750000 3.34643
0.0100000 2.89793
0.0125000 2.59183
0.0150000 2.36587
0.0200000 2.04866
0.0253000 1.82126
0.0314750 1.63262
0.0376500 1.49253
0.0500000 1.29478
0.0625000 1.15775
0.0750000 1.05656
0.100000 0.914474
0.125000 0.817452
0.150000 0.745792
0.200000 0.645121
0.275000 0.549199
0.350000 0.485963
0.500000 0.405172
0.750000 0.328916
1.00000 0.283219
1.50000 0.228632
2.00000 0.195790
2.75000 0.164223
3.50000 0.143218
5.00000 0.116094
7.50000 0.0901598
10.0000 0.0745042
15.0000 0.0558946
20.0000 0.0449920
27.5000 0.0350844
35.0000 0.0290917
50.0000 0.0226957
75.0000 0.0196324
100.000 0.0222456
122.635 0.0314360
133.953 0.0413944
145.271 0.0599247
150.929 0.0756511
156.588 0.0997586
162.247 0.139444
167.906 0.211780
170.735 0.272757
173.565 0.366001
176.394 0.519220
179.223 0.797913
180.638 1.03229
182.053 1.38972
182.760 1.64351
183.114 1.79761
183.468 1.97460
183.644 2.07322
183.821 2.17941
183.998 2.29411
184.175 2.41811
184.352 2.55260
184.529 2.69863
184.705 2.85765
184.882 3.03125
185.059 3.22139
185.236 3.42998
185.590 3.91345
185.943 4.50751
186.297 5.24846
186.651 6.18964
187.004 7.40993
187.358 9.03172
187.712 11.2518
188.065 14.4068
188.419 19.1039
188.773 26.5369
189.126 39.3138
189.303 49.4647
189.480 64.0820
189.657 86.2234
189.834 121.948
190.011 184.866
190.099 235.678
190.187 309.675
190.276 422.339
190.364 602.805
190.453 906.830
190.541 1429.87
190.636 2287.06
190.730 2857.31
190.825 2284.64
190.919 1427.45
190.990 986.852
191.061 702.038
191.132 516.777
191.203 393.101
191.345 246.346
191.487 167.469
191.629 120.773
191.770 91.0244
192.054 56.8449
192.338 38.7724
192.622 28.0988
192.906 21.2827
193.189 16.6713
193.757 11.0120
194.324 7.80756
194.892 5.81957
195.460 4.50295
196.595 2.92260
197.730 2.04717
198.865 1.51242
200.000 1.16220
201.730 0.822818
203.459 0.612567
206.918 0.376700
210.377 0.254563
213.836 0.183375
217.295 0.138349
220.754 0.108117
227.672 0.0713839
234.591 0.0508454
241.509 0.0382749
255.345 0.0244735
269.181 0.0176576
283.017 0.0140299
310.690 0.0114339
338.362 0.0131160
352.198 0.0162263
366.034 0.0226013
372.952 0.0282012
379.871 0.0369143
386.789 0.0514098
393.707 0.0780369
397.166 0.100581
400.625 0.135146
404.084 0.192086
407.543 0.295903
409.273 0.383367
411.002 0.516916
412.732 0.735754
414.461 1.13174
415.326 1.46280
415.542 1.56840
415.758 1.68591
415.974 1.81717
416.191 1.96437
416.407 2.13034
416.623 2.31832
416.839 2.53238
417.055 2.77759
417.272 3.06030
417.488 3.38854
417.704 3.77265
417.920 4.22581
418.136 4.76616
418.352 5.41724
418.569 6.21145
418.785 7.19397
419.001 8.42924
419.217 10.0118
419.433 12.0846
419.650 14.8707
419.866 18.7413
420.082 24.3343
420.298 32.8336
420.514 46.6281
420.731 71.0990
420.839 91.0296
420.947 120.283
421.055 165.293
421.163 238.431
421.271 364.096
421.379 585.433
421.490 936.533
421.600 1170.33
421.711 935.991
421.821 584.896
421.897 416.127
421.974 303.062
422.050 227.183
422.126 175.238
422.279 111.973
422.432 77.0847
422.585 56.0761
422.737 42.5321
423.043 26.7906
423.348 18.3754
423.653 13.3696
423.959 10.1567
424.264 7.97466
424.875 5.28632
425.486 3.75769
426.097 2.80680
426.707 2.17564
427.929 1.41621
429.150 0.994407
430.372 0.736204
431.593 0.566825
434.037 0.365507
436.480 0.255036
438.923 0.187990
441.366 0.144281
446.252 0.0926705
451.138 0.0645372
456.024 0.0475412
460.911 0.0364983
470.683 0.0235005
480.455 0.0164343
490.228 0.0121700
500.000 0.00939913
518.902 0.00621026
537.803 0.00444171
556.705 0.00335857
575.607 0.00264788
613.410 0.00181027
651.214 0.00137913
689.017 0.00119524
726.820 0.00132683
745.722 0.00171203
755.173 0.00214031
764.624 0.00295633
769.349 0.00365982
774.075 0.00474948
778.800 0.00656131
783.525 0.00989714
785.888 0.0127300
788.251 0.0170864
790.614 0.0242910
792.976 0.0374978
794.158 0.0486808
795.339 0.0658378
796.520 0.0941342
797.702 0.145798
798.292 0.189378
798.883 0.255991
799.474 0.365272
800.064 0.563241
800.360 0.728977
800.655 0.980263
800.950 1.38826
801.246 2.11578
801.393 2.71527
801.541 3.61048
801.689 5.03277
801.836 7.48989
801.984 12.2948
802.021 14.2170
802.058 16.6232
802.095 19.6886
802.113 21.5509
802.132 23.6742
802.150 26.1370
802.169 28.9982
802.187 32.3469
802.206 36.2746
802.243 46.5859
802.279 61.8059
802.316 85.4013
802.335 102.299
802.353 124.146
802.372 153.140
802.390 191.697
802.409 243.868
802.427 313.079
802.464 500.914
802.500 626.122
802.518 589.091
802.537 500.882
802.573 313.043
802.607 198.599
802.641 132.192
802.675 92.6111
802.709 67.9551
802.777 40.5725
802.845 26.7815
802.913 18.9289
802.982 14.0645
803.118 8.62421
803.254 5.81525
803.390 4.18327
803.526 3.15151
803.662 2.45924
803.935 1.61628
804.207 1.14251
804.479 0.850122
804.751 0.657115
805.296 0.426237
805.841 0.298689
806.385 0.220894
806.930 0.169981
808.019 0.109607
809.108 0.0765412
810.197 0.0564937
811.287 0.0434316
813.465 0.0280089
815.643 0.0195995
817.822 0.0145157
820.000 0.0112100
820.000 2.06010
1000.00 2.60090
1500.00 1.99227
2000.00 1.65210
3000.00 1.28834
4000.00 1.09911
5000.00 1.00077
6000.00 0.902428
7000.00 0.849096
8000.00 0.795763
9000.00 0.760677
10000.0 0.725590
15000.0 0.618856
20000.0 0.551810
30000.0 0.464055
40000.0 0.408056
50000.0 0.372672
60000.0 0.337288
70000.0 0.314065
80000.0 0.290842
90000.0 0.275291
100000 0.259740
150000 0.217323
200000 0.195210
250000 0.192541
300000 0.189872
317763 0.189165
317764 0.189165
350000 0.187881
360119 0.187478
360119 0.187478
400000 0.185890
424025 0.181367
424025 0.181367
442738 0.177843
442738 0.177843
450000 0.176476
459907 0.174611
459907 0.174611
473722 0.172010
473722 0.172010
500000 0.167062
550000 0.158298
562039 0.156187
562039 0.156187
600000 0.149533
650000 0.144517
700000 0.139500
750000 0.137326
800000 0.135152
850000 0.134228
900000 0.133304
950000 0.133157
1.00000E+06 0.133010
1.10000E+06 0.134888
1.20000E+06 0.138483
1.28867E+06 0.141377
1.28867E+06 0.141377
1.30000E+06 0.141747
1.40000E+06 0.145010
1.50000E+06 0.145495
1.54976E+06 0.145736
1.54976E+06 0.145736
1.60000E+06 0.145980
1.60878E+06 0.145827
1.60878E+06 0.145827
1.67461E+06 0.144684
1.67461E+06 0.144684
1.70000E+06 0.144243
1.73198E+06 0.143688
1.73198E+06 0.143688
1.80000E+06 0.142506
1.90000E+06 0.138573
1.93799E+06 0.137079
1.93800E+06 0.137079
1.96363E+06 0.136071
1.96363E+06 0.136071
2.00000E+06 0.134640
2.10000E+06 0.130136
2.13242E+06 0.128676
2.13242E+06 0.128676
2.13268E+06 0.128664
2.13268E+06 0.128664
2.13887E+06 0.128385
2.13887E+06 0.128385
2.15926E+06 0.127467
2.15926E+06 0.127467
2.20000E+06 0.125632
2.27096E+06 0.122436
2.27096E+06 0.122436
2.30000E+06 0.121128
2.31738E+06 0.120345
2.31738E+06 0.120345
2.32414E+06 0.120041
2.32414E+06 0.120041
2.36620E+06 0.118146
2.36620E+06 0.118146
2.40000E+06 0.116624
2.41487E+06 0.115954
2.41487E+06 0.115954
2.45567E+06 0.114117
2.45567E+06 0.114117
2.49896E+06 0.112167
2.49896E+06 0.112167
2.50000E+06 0.112120
2.50485E+06 0.111953
2.50485E+06 0.111953
2.60000E+06 0.108674
2.70000E+06 0.105228
2.80000E+06 0.101781
2.90000E+06 0.0983352
3.00000E+06 0.0948890
3.10000E+06 0.0920360
3.20000E+06 0.0891831
3.50000E+06 0.0806242
4.00000E+06 0.0697170
4.50000E+06 0.0612301
5.00000E+06 0.0544790
5.50000E+06 0.0489298
5.62760E+06 0.0476733
5.62760E+06 0.0476732
5.78648E+06 0.0461087
5.78648E+06 0.0461087
5.81118E+06 0.0458654
5.81118E+06 0.0458654
5.93592E+06 0.0446370
5.93592E+06 0.0446370
5.98642E+06 0.0441398
5.98642E+06 0.0441398
6.00000E+06 0.0440060
6.11040E+06 0.0428544
6.11040E+06 0.0428544
6.38275E+06 0.0400136
6.38275E+06 0.0400136
6.38300E+06 0.0400110
6.38301E+06 0.0400110
6.48743E+06 0.0389218
6.48743E+06 0.0389218
6.50000E+06 0.0387906
6.52974E+06 0.0384922
6.52974E+06 0.0384922
6.53580E+06 0.0384314
6.53580E+06 0.0384314
6.53836E+06 0.0384057
6.53836E+06 0.0384057
6.54225E+06 0.0383668
6.54225E+06 0.0383668
6.61568E+06 0.0376299
6.61569E+06 0.0376299
6.63346E+06 0.0374516
6.63346E+06 0.0374516
6.67355E+06 0.0370493
6.67355E+06 0.0370493
6.69577E+06 0.0368264
6.69577E+06 0.0368264
6.96087E+06 0.0341666
6.96087E+06 0.0341666
7.00000E+06 0.0337740
7.00042E+06 0.0337705
7.00042E+06 0.0337705
7.11299E+06 0.0328322
7.11299E+06 0.0328322
7.17375E+06 0.0323257
7.17376E+06 0.0323256
7.50000E+06 0.0296062
7.87420E+06 0.0269253
7.87421E+06 0.0269252
8.00000E+06 0.0260240
8.50000E+06 0.0229095
9.00000E+06 0.0201590
9.50000E+06 0.0177398
1.00000E+07 0.0156650
1.05000E+07 0.0140175
1.06639E+07 0.0134775
1.06639E+07 0.0134774
1.10000E+07 0.0123700
1.15000E+07 0.0112145
1.20000E+07 0.0100590
1.24231E+07 0.00936524
1.24231E+07 0.00936521
1.25000E+07 0.00923905
1.30000E+07 0.00841910
1.34078E+07 0.00793124
1.34078E+07 0.00793118
1.35000E+07 0.00782090
1.40000E+07 0.00722270
1.45000E+07 0.00678400
1.50000E+07 0.00634530
1.55000E+07 0.00603865
1.56169E+07 0.00596696
1.60000E+07 0.00573200
1.65000E+07 0.00541390
1.70000E+07 0.00509580
1.75000E+07 0.00479873
1.78635E+07 0.00458276
1.80000E+07 0.00450165
1.85000E+07 0.00423124
1.90000E+07 0.00396084
1.90262E+07 0.00394814
1.90263E+07 0.00394812
1.95000E+07 0.00371897
2.00000E+07 0.00347711
2.10000E+07 0.00307597
2.20000E+07 0.00267482
2.30000E+07 0.00236952
2.40000E+07 0.00206422
2.50000E+07 0.00183451
2.60000E+07 0.00160480
2.70000E+07 0.00143233
2.80000E+07 0.00125986
2.90000E+07 0.00112993
3.00000E+07 0.00100000
