Cd-112(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 110.993
1.25000E-05 99.2750
1.50000E-05 90.6252
2.00000E-05 78.4837
2.75000E-05 66.9310
3.50000E-05 59.3280
4.25000E-05 53.8392
5.00000E-05 49.6372
6.25000E-05 44.3968
7.50000E-05 40.5285
0.000100000 35.0985
0.000125000 31.3930
0.000150000 28.6576
0.000200000 24.8180
0.000275000 21.1646
0.000350000 18.7602
0.000425000 17.0244
0.000500000 15.6956
0.000625000 14.0383
0.000750000 12.8149
0.00100000 11.0976
0.00125000 9.92558
0.00150000 9.06042
0.00200000 7.84594
0.00275000 6.69026
0.00350000 5.92958
0.00425000 5.38038
0.00500000 4.95988
0.00625000 4.43539
0.00750000 4.04814
0.0100000 3.50443
0.0125000 3.13323
0.0150000 2.85912
0.0200000 2.47414
0.0253000 2.19796
0.0314750 1.96870
0.0376500 1.79830
0.0500000 1.55748
0.0625000 1.39035
0.0750000 1.26675
0.100000 1.09279
0.125000 0.973645
0.150000 0.885388
0.200000 0.760892
0.237500 0.694240
0.275000 0.641487
0.350000 0.562173
0.500000 0.459852
0.750000 0.361848
1.00000 0.302246
1.50000 0.230103
2.00000 0.186348
2.75000 0.144437
3.50000 0.117017
5.00000 0.0830250
7.50000 0.0535107
10.0000 0.0380665
12.5000 0.0289218
15.0000 0.0230942
20.0000 0.0165336
27.5000 0.0125980
35.0000 0.0121697
42.5000 0.0149345
46.2500 0.0183650
50.0000 0.0246944
52.0931 0.0306166
54.1861 0.0397668
56.2792 0.0549079
58.3722 0.0826112
59.4187 0.106023
60.4653 0.141896
61.5118 0.201003
62.5583 0.308933
63.0816 0.400065
63.6048 0.539597
64.1281 0.769192
64.6514 1.18739
64.9130 1.53945
65.1746 2.07669
65.4363 2.95634
65.6979 4.54635
65.8287 5.87418
65.9595 7.88390
66.0903 11.1375
66.2211 16.9197
66.2866 21.6663
66.3193 24.8264
66.3520 28.7298
66.3683 31.0372
66.3847 33.6320
66.3929 35.0539
66.4010 36.5658
66.4092 38.1795
66.4174 39.9000
66.4337 43.7106
66.4501 48.0928
66.4664 53.1661
66.4828 59.0833
66.4991 66.0460
66.5155 74.3033
66.5318 84.2012
66.5482 96.2010
66.5645 110.947
66.5809 129.311
66.5972 152.577
66.6136 182.629
66.6300 222.354
66.6463 276.198
66.6627 351.527
66.6790 460.869
66.6954 626.621
66.7117 890.537
66.7281 1331.52
66.7444 2082.40
66.7622 3329.30
66.7800 4159.47
66.7978 3328.69
66.8156 2081.51
66.8308 1370.00
