Mo-96(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 34.6630
1.25000E-05 31.5026
1.50000E-05 29.1697
2.00000E-05 25.8950
2.75000E-05 22.7791
3.50000E-05 20.7285
4.25000E-05 19.2481
5.00000E-05 18.1148
6.25000E-05 16.7015
7.50000E-05 15.6581
0.000100000 14.1937
0.000125000 13.1942
0.000150000 12.4565
0.000200000 11.4210
0.000275000 10.4356
0.000350000 9.78718
0.000425000 9.31905
0.000500000 8.96067
0.000625000 8.51372
0.000750000 8.18380
0.00100000 7.72069
0.00125000 7.40465
0.00150000 7.17136
0.00200000 6.84390
0.00275000 6.53232
0.00350000 6.32726
0.00425000 6.17923
0.00500000 6.06590
0.00625000 5.92457
0.00750000 5.82024
0.0100000 5.67379
0.0125000 5.57385
0.0150000 5.50008
0.0200000 5.39652
0.0253000 5.32228
0.0314750 5.26071
0.0376500 5.21498
0.0500000 5.15042
0.0625000 5.10569
0.0750000 5.07266
0.100000 5.02625
0.125000 4.99455
0.150000 4.97112
0.200000 4.93816
0.275000 4.90665
0.350000 4.88579
0.500000 4.85891
0.750000 4.83306
1.00000 4.81709
1.50000 4.79699
2.00000 4.78384
2.75000 4.76970
3.50000 4.75884
5.00000 4.74160
7.50000 4.71827
10.0000 4.69739
15.0000 4.65726
20.0000 4.61635
27.5000 4.55038
35.0000 4.47644
50.0000 4.29406
62.5000 4.08986
75.0000 3.80872
87.5000 3.39763
93.7500 3.11315
100.000 2.74882
106.666 2.24252
109.999 1.95332
110.832 1.89329
111.666 1.87310
112.082 1.91735
112.499 2.10815
112.707 2.38851
112.811 2.66020
112.915 3.12792
113.020 4.02507
113.072 4.81205
113.124 6.05095
113.176 8.15866
113.228 12.1080
113.254 15.4686
113.280 20.5056
113.306 28.3090
113.332 40.4437
113.366 63.6480
113.400 79.0750
113.434 63.6593
113.468 40.4528
113.503 25.3007
113.537 16.9138
113.572 12.1097
113.607 9.18620
113.676 6.02018
113.745 4.46019
113.814 3.58207
