Ba-134(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
499.176 128.527
499.206 96.8320
499.235 75.4321
499.294 49.2857
499.353 34.5981
499.412 25.5963
499.529 15.5966
499.647 10.4782
499.765 7.51728
499.882 5.65326
500.000 4.40484
500.153 3.31832
500.305 2.58913
500.610 1.70212
500.916 1.20345
501.221 0.895793
501.831 0.551567
502.441 0.373597
503.051 0.269786
503.662 0.204017
504.882 0.128533
506.103 0.0885060
507.323 0.0647694
509.764 0.0392089
512.206 0.0264673
514.647 0.0192127
517.088 0.0146932
519.529 0.0116880
524.411 0.00806380
529.293 0.00604230
539.058 0.00397716
548.822 0.00298922
558.586 0.00243487
578.115 0.00185488
617.173 0.00138738
656.230 0.00118980
734.345 0.00106294
773.403 0.00122443
792.931 0.00196721
797.814 0.00273578
802.696 0.00492293
805.137 0.00797226
807.578 0.0166322
808.799 0.0286626
809.409 0.0406768
810.019 0.0626109
810.629 0.109386
810.934 0.155744
811.240 0.239679
811.392 0.309894
811.545 0.416313
811.697 0.588856
811.850 0.895868
811.926 1.14846
812.002 1.52496
812.079 2.12166
812.155 3.14791
812.231 5.14400
812.269 6.93529
812.308 9.82710
812.346 14.9505
812.365 19.1087
812.384 25.1519
812.403 34.4423
812.422 49.3308
812.441 74.7489
812.460 118.672
812.480 189.834
812.500 237.259
812.520 189.837
812.540 118.677
812.559 74.2355
812.579 48.9372
812.598 34.0851
812.617 24.8866
812.636 18.8799
812.655 14.7733
812.694 9.71298
812.732 6.84473
812.771 5.07894
812.847 3.10824
812.924 2.09313
813.001 1.50480
813.078 1.13311
813.155 0.884093
813.309 0.581047
813.462 0.410872
813.616 0.305905
813.770 0.236642
814.077 0.153815
814.384 0.108068
814.999 0.0619098
815.614 0.0402559
816.229 0.0283940
817.458 0.0165117
819.918 0.00795389
822.377 0.00494064
827.295 0.00278431
832.213 0.00203439
842.050 0.00151759
851.887 0.00136451
871.560 0.00134701
891.234 0.00152236
910.907 0.00197688
920.744 0.00244228
930.580 0.00329623
940.417 0.00512746
945.336 0.00695799
950.254 0.0103116
952.713 0.0131528
955.172 0.0175172
957.631 0.0247292
960.091 0.0379431
961.320 0.0491306
962.550 0.0662966
963.779 0.0946097
965.009 0.146318
965.624 0.189948
966.238 0.256659
966.853 0.366146
967.468 0.564661
967.775 0.730908
968.083 0.983219
968.390 1.39310
968.698 2.12516
968.851 2.72898
968.928 3.13248
969.005 3.63172
969.082 4.26127
969.159 5.06832
969.236 6.12927
969.312 7.55830
969.389 9.55254
969.466 12.4436
969.543 16.8700
969.581 20.0111
969.620 24.1060
969.658 29.5932
969.697 37.1243
969.735 47.8526
969.774 63.7978
969.812 88.7496
969.850 130.259
969.889 203.974
969.927 339.615
969.964 543.445
970.000 678.726
970.037 542.814
970.073 339.112
970.102 228.779
970.132 159.711
970.161 115.839
970.190 87.1914
970.249 53.8442
970.307 36.2928
970.365 26.0115
970.424 19.5284
970.541 12.1314
970.658 8.24921
970.775 5.96710
970.891 4.51435
971.008 3.53341
971.242 2.33262
971.476 1.65388
971.710 1.23335
971.944 0.954961
972.411 0.620985
972.879 0.435947
973.346 0.322863
973.814 0.248749
974.749 0.160726
975.684 0.112454
976.620 0.0831580
977.555 0.0640554
979.425 0.0414881
981.296 0.0291782
983.166 0.0217370
985.037 0.0169002
988.777 0.0112082
992.518 0.00811908
996.259 0.00626224
1000.00 0.00506365
1006.81 0.00376242
1013.62 0.00304237
1027.24 0.00235228
1040.86 0.00210147
1054.48 0.00206556
1068.10 0.00219692
1081.72 0.00258982
1088.53 0.00305007
1095.34 0.00419059
1098.75 0.00567285
1102.15 0.00975155
1103.85 0.0153574
1105.56 0.0311394
1106.41 0.0529716
1106.83 0.0747062
1107.26 0.114142
1107.68 0.197933
1107.90 0.280528
1108.11 0.428195
1108.22 0.551954
1108.32 0.736493
1108.43 1.03581
1108.54 1.55664
1108.59 1.98768
