Ni-61(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 126.182
1.25000E-05 112.860
1.50000E-05 103.027
2.00000E-05 89.2239
2.75000E-05 76.0904
3.50000E-05 67.4469
4.25000E-05 61.2071
5.00000E-05 56.4301
6.25000E-05 50.4727
7.50000E-05 46.0750
0.000100000 39.9021
0.000125000 35.6896
0.000150000 32.5800
0.000200000 28.2151
0.000275000 24.0619
0.000350000 21.3286
0.000425000 19.3554
0.000500000 17.8448
0.000625000 15.9609
0.000750000 14.5702
0.00100000 12.6182
0.00125000 11.2860
0.00150000 10.3027
0.00200000 8.92237
0.00275000 7.60902
0.00350000 6.74467
0.00425000 6.12069
0.00500000 5.64299
0.00625000 5.04724
0.00750000 4.60747
0.0100000 3.99018
0.0125000 3.56892
0.0150000 3.25796
0.0200000 2.82146
0.0253000 2.50857
0.0314750 2.24906
0.0376500 2.05636
0.0500000 1.78440
0.0625000 1.59600
0.0750000 1.45693
0.100000 1.26171
0.125000 1.12848
0.150000 1.03014
0.200000 0.892089
0.275000 0.760728
0.350000 0.674271
0.500000 0.564065
0.750000 0.460460
1.00000 0.398686
1.50000 0.325390
2.00000 0.281678
2.75000 0.240064
3.50000 0.212661
5.00000 0.177702
7.50000 0.144790
10.0000 0.125131
15.0000 0.101747
20.0000 0.0877522
27.5000 0.0743764
35.0000 0.0655264
50.0000 0.0541656
75.0000 0.0433629
100.000 0.0368391
150.000 0.0289889
200.000 0.0242427
275.000 0.0196893
350.000 0.0166935
500.000 0.0129510
750.000 0.00979315
999.999 0.00902305
1000.00 0.00902306
1000.01 0.00902308
1000.01 0.00902310
1000.02 0.00902314
1000.05 0.00902323
1000.09 0.00902340
1000.17 0.00902373
1000.35 0.00902440
1000.69 0.00902576
1001.38 0.00902850
1002.76 0.00903411
1005.52 0.00904589
1011.03 0.00907173
1022.06 0.00913312
1044.11 0.00930062
1088.22 0.00988117
1132.34 0.0110120
1176.45 0.0132883
1220.56 0.0184470
1242.61 0.0237244
1264.67 0.0334851
1275.70 0.0417830
1286.72 0.0545330
1297.75 0.0755614
1308.78 0.113886
1314.29 0.146118
1319.81 0.195213
1325.32 0.275316
1330.84 0.419217
1333.59 0.538559
1336.35 0.717905
1339.11 1.00527
1341.86 1.50817
1344.62 2.50975
1346.00 3.43151
1347.38 4.96547
1348.76 7.79620
1349.45 10.1938
1350.13 13.8555
1350.82 19.8047
1351.51 30.2502
1352.20 50.3355
1352.55 67.3126
1352.89 91.5835
1353.45 147.148
1354.00 184.382
1354.56 147.050
1355.11 91.5352
1355.74 52.8173
1356.37 32.8132
1357.00 21.9549
1357.63 15.5894
1358.26 11.5922
1358.89 8.93662
1360.15 5.75916
1361.41 4.00954
1362.67 2.94962
1365.19 1.78626
1367.71 1.19697
1370.23 0.858239
1372.74 0.645901
1375.26 0.504110
1380.30 0.332434
1385.34 0.236452
1390.38 0.177396
1395.42 0.138488
1405.49 0.0920073
1415.57 0.0663478
1425.65 0.0506884
1435.72 0.0404288
1455.88 0.0282298
1476.03 0.0215151
1516.33 0.0147295
1556.64 0.0115165
1596.94 0.00973056
1677.56 0.00789731
1838.78 0.00653430
2000.00 0.00611971
2284.86 0.00634408
2569.71 0.00802778
2712.14 0.0101945
2854.57 0.0149559
2925.78 0.0197387
2996.99 0.0285480
