Nd-148(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
288.305 129.516
289.110 80.7685
289.962 48.3374
290.813 30.7909
291.664 20.9383
292.516 15.0277
293.367 11.2562
294.219 8.72229
295.921 5.65519
297.624 3.95083
299.327 2.91130
302.733 1.76541
306.138 1.18301
309.544 0.847926
312.950 0.637939
316.355 0.497895
323.167 0.328892
329.978 0.235094
336.789 0.178181
343.601 0.141682
357.223 0.102579
370.846 0.0958348
377.657 0.112725
381.063 0.134452
384.468 0.177369
387.874 0.272689
389.577 0.368629
391.280 0.543473
392.131 0.690193
392.983 0.912954
393.834 1.27478
394.047 1.40073
394.260 1.54697
394.366 1.62919
394.473 1.71827
394.579 1.81505
394.685 1.92048
394.792 2.03570
394.898 2.16174
395.005 2.30011
395.111 2.45249
395.218 2.62098
395.324 2.80757
395.537 3.24697
395.750 3.80016
395.963 4.50927
396.175 5.43963
396.388 6.69211
396.601 8.43551
396.814 10.9595
397.027 14.8093
397.240 21.0825
397.346 25.8125
397.453 32.2906
397.559 41.4771
397.665 55.0496
397.772 76.1421
397.878 110.812
397.985 171.401
398.091 280.554
398.196 448.141
398.300 559.453
398.405 446.998
398.510 278.938
398.609 175.942
398.708 116.540
398.807 81.4486
398.907 59.6154
399.105 35.5065
399.303 23.3949
399.501 16.5240
399.699 12.2764
400.096 7.52964
400.492 5.08366
400.889 3.66327
401.285 2.76634
401.682 2.16455
402.475 1.43235
403.267 1.02099
404.060 0.767145
404.853 0.599554
406.439 0.398940
408.025 0.287908
409.611 0.219989
411.196 0.175362
414.368 0.122020
417.539 0.0923631
423.883 0.0617784
430.226 0.0467098
436.569 0.0379062
449.255 0.0281021
474.628 0.0193453
500.000 0.0155756
506.994 0.0157421
508.742 0.0165024
510.490 0.0189770
511.365 0.0225720
512.239 0.0329292
512.676 0.0473933
512.894 0.0618694
513.113 0.0883254
513.332 0.144855
513.441 0.200986
513.550 0.302688
513.659 0.517372
513.714 0.727447
513.769 1.10257
513.796 1.41325
513.823 1.87631
513.851 2.61311
513.878 3.88992
513.905 6.39423
513.919 8.67101
513.932 12.3692
513.946 19.0621
513.953 24.5450
513.960 32.6820
513.967 45.6282
513.973 66.8919
513.980 104.592
513.987 174.545
513.994 278.841
514.000 349.096
514.007 278.844
514.013 174.548
514.020 103.859
514.027 65.6907
514.034 44.4653
514.041 31.8196
514.048 23.7899
514.055 18.4126
514.069 11.9581
514.083 8.34888
514.097 6.15170
514.125 3.73858
514.153 2.50679
514.181 1.79975
514.209 1.35426
514.237 1.05760
514.292 0.697431
514.348 0.495941
514.460 0.290334
514.572 0.192884
514.684 0.139160
514.907 0.0850362
515.355 0.0457898
515.802 0.0318766
516.696 0.0218191
517.590 0.0182366
519.379 0.0155879
521.168 0.0145822
528.322 0.0133042
542.632 0.0125025
571.250 0.0122340
599.869 0.0135783
614.178 0.0152665
621.333 0.0167682
624.910 0.0187361
626.699 0.0240738
627.146 0.0292586
627.593 0.0437257
627.817 0.0636185
628.041 0.119175
628.152 0.194824
628.208 0.269057
628.264 0.401959
628.320 0.676529
628.348 0.940057
628.376 1.39733
628.404 2.30473
628.418 3.13391
628.432 4.49213
628.446 6.98072
628.453 9.06413
628.460 12.1512
628.467 17.1331
628.474 25.6501
628.481 41.3826
628.488 71.8358
628.494 114.951
628.500 143.627
628.506 114.952
628.512 71.8371
628.517 47.4142
628.523 32.4751
628.528 23.2490
628.533 17.3170
628.543 10.5551
628.554 7.05539
628.564 5.03324
628.575 3.76633
628.595 2.33352
628.616 1.58700
628.637 1.15022
628.679 0.686386
628.720 0.458411
628.762 0.329859
628.845 0.197769
629.011 0.0999224
629.178 0.0647131
629.511 0.0391528
629.843 0.0301338
631.175 0.0216122
633.837 0.0201406
639.162 0.0213953
649.811 0.0264111
660.460 0.0349712
671.109 0.0506434
676.434 0.0638065
681.758 0.0838028
684.421 0.0979380
685.752 0.106496
686.418 0.111230
687.083 0.116305
687.749 0.121758
688.414 0.127625
689.080 0.133949
689.745 0.140778
690.411 0.148170
691.077 0.156186
691.742 0.164899
692.408 0.174392
693.739 0.196120
695.070 0.222337
696.401 0.254373
697.732 0.294081
699.063 0.344124
700.395 0.408413
701.726 0.492918
703.057 0.607052
704.388 0.766444
705.719 0.998425
707.050 1.35448
708.381 1.94047
709.047 2.38608
709.713 3.00232
710.378 3.88626
711.044 5.21198
711.709 7.31328
712.375 10.8726
713.041 17.3595
713.373 22.5601
713.706 29.7114
714.303 47.4957
714.900 59.2947
715.498 47.3779
716.095 29.5883
716.589 19.7386
717.082 13.6429
717.576 9.83185
718.070 7.35839
719.057 4.51247
720.044 3.02650
721.031 2.16307
722.018 1.62018
723.993 1.00415
725.967 0.682237
727.942 0.493598
729.916 0.373798
731.891 0.293062
735.839 0.194463
739.788 0.138899
743.737 0.104578
747.686 0.0819422
755.584 0.0550215
763.481 0.0406573
